Table 1
	All f Hon	Log f Hon	Mah f Hon	Cf
1770				
1771	"£	5,119.15"	"£	182.00"	"£	4,936.25"	Cust 14/1B
1772	"£	31,542.50"	"£	0.00"	"£	31,542.50"	Cust 14/1B
1773	"£	5,415.50"	"£	273.00"	"£	5,142.50"	Cust 14/1B
1774	"£	29,444.28"	"£	301.00"	"£	29,129.38"	Cust 14/1B
1775	"£	0.16"	"£	0.00"	"£	0.00"	Cust 14/2
1776	"£	9,851.80"	"£	245.00"	"£	9,605.75"	Cust 14/2
1777				
1778				
1779				
1780				
1781				
1782				
1783	"£	1,240.00"	"£	140.00"	"£	1,100.00"	Cust 14/4
1784				
1785	"£	825.00"	"£	0.00"	"£	825.00"	Cust 14/5
1786				
1787	"£	3,868.97"	"£	55.21"	"£	3,813.78"	Cust 14/6
1788	"£	8,071.71"	"£	392.00"	"£	7,587.30"	Cust 14/7
1789	"£	11,974.65"	"£	510.46"	"£	11,439.61"	Cust 14/8
1790	"£	4,060.28"	"£	159.85"	"£	3,857.12"	Cust 14/9
1791	"£	15,899.26"	"£	360.50"	"£	15,382.13"	Cust 14/10
1792	"£	9,599.20"	"£	413.00"	"£	9,166.70"	Cust 14/11
1793	"£	4,763.41"	"£	145.25"	"£	4,565.00"	Cust 14/12
1794	"£	19,321.22"	"£	535.00"	"£	18,712.45"	Cust 14/12
1795				
1796	"£	2,963.15"	"£	238.00"	"£	2,725.15"	Cust 14/13A
1797				
1798				
1799				
1800	"£	6,642.18"	"£	294.24"	"£	6,341.82"	Cust 14/13A
1801	"£	232.26"	"£	0.00"	"£	232.26"	Cust 14/14
1802	"£	3,478.84"	"£	83.91"	"£	3,394.93"	Cust 14/15
1803	"£	12,668.33"	"£	582.65"	"£	12,073.69"	Cust 14/16
1804	"£	13,327.51"	"£	439.73"	"£	12,887.79"	Cust 14/17
1805	"£	11,678.64"	"£	587.48"	"£	11,091.15"	Cust 14/18
1806	"£	15,598.15"	"£	749.19"	"£	14,848.97"	Cust 14/19
1807	"£	11,859.58"	"£	435.03"	"£	11,395.25"	Cust 14/20
1808	"£	17,166.96"	"£	581.69"	"£	16,560.90"	Cust 14/21
1809				
1810	"£	17,144.81"	"£	425.18"	"£	16,677.50"	Cust 14/22
1811	"£	9,581.46"	"£	338.98"	"£	9,237.23"	Cust 14/23
1812	"£	20,547.96"	"£	951.60"	"£	19,596.36"	Cust 14/24
1813	"£	15,146.40"	"£	599.63"	"£	14,533.95"	Cust 14/25
1814	"£	13,061.37"	"£	307.15"	"£	12,752.45"	Cust 14/26
1815	"£	40,305.49"	"£	1,581.20"	"£	38,656.75"	Cust 14/27
1816	"£	21,991.35"	"£	611.77"	"£	21,375.83"	Cust 14/28
1817				
1818				
1819				
1820				
1821				
1822	"£	21,772.41"	"£	629.34"	"£	18,430.59"	Cust 14/34
1823				
1824				
1825				
1826				
1827				
1828				
1829				
1830				
