Table 1
	All f SWI	Log f SWI	Mah f SWI	Cf	All f Hon	Log f Hon	Mah f Hon	Cf	All f Mos	Log f Mos	Mah f Mos	Cf	
1700													
1701													
1702													
1703													
1704													
1705													
1706													
1707													
1708													
1709													
1710													
1711													
1712													
1713	"£	0.00"	"£	0.00"	"£	0.00"	Cust 3/15									
1714	"£	0.00"	"£	0.00"	"£	0.00"	Cust 3/16									
1715	"£	0.00"	"£	0.00"	"£	0.00"	Cust 3/17									
1716	"£	16,413.45"	"£	0.00"	"£	0.00"	Cust 3/18									
1717	"£	163,219.06"	"£	1,883.94"	"£	9.00"	Cust 3/19									
1718	"£	73,071.28"	"£	3,001.50"	"£	0.00"	Cust 3/20									
1719	"£	18,417.49"	"£	503.10"	"£	0.00"	Cust 3/21									
1720	"£	0.00"	"£	0.00"	"£	0.00"	Cust 3/22									
1721	"£	1,012.10"	"£	0.00"	"£	0.00"	Cust 3/23									
1722	"£	8,125.00"	"£	0.00"	"£	0.00"	Cust 3/24									
1723	"£	6,013.26"	"£	0.00"	"£	0.00"	Cust 3/25									
1724	"£	156,083.45"	"£	1,764.00"	"£	69.24"	Cust 3/26									
1725	"£	20,136.04"	"£	1,800.00"	"£	0.00"	Cust 3/27									
1726	"£	45,902.43"	"£	6,810.34"	"£	0.00"	Cust 3/28B									
1727	"£	42,050.53"	"£	0.00"	"£	0.60"	Cust 3/82									
1728													
1729													
1730	"£	125,956.78"	"£	2,004.00"	"£	0.00"	Cust 3/30									
1731	"£	147,958.80"	"£	2,520.00"	"£	0.52"	Cust 3/31									
1732	"£	51,543.42"	"£	406.28"	"£	3.85"	Cust 3/32									
1733	"£	11,608.89"	"£	5,541.60"	"£	0.95"	Cust 3/33									
1734	"£	25,629.12"	"£	0.00"	"£	0.00"	Cust 3/34									
1735	"£	16,989.78"	"£	1,153.72"	"£	4.00"	Cust 3/35									
1736	"£	4,037.76"	"£	0.00"	"£	0.00"	Cust 3/36									
1737	"£	1,695.56"	"£	720.00"	"£	1.90"	Cust 3/37									
1738	"£	3,432.50"	"£	0.00"	"£	0.00"	Cust 3/38									
1739	"£	62,914.55"	"£	60.00"	"£	0.72"	Cust 3/39									
1740	"£	202.44"	"£	0.00"	"£	0.00"	Cust 3/40									
1741	"£	2,519.15"	"£	0.00"	"£	0.00"	Cust 3/41									
1742													
1743	"£	0.00"	"£	0.00"	"£	0.00"	Cust 3/43									
1744													
1745													
1746													
1747													
1748													
1749													
1750													
1751	"£	0.00"	"£	0.00"	"£	0.00"	Cust 3/51									
1752													
1753													
1754													
1755													
1756													
1757													
1758													
1759													
1760													
1761													
1762													
1763													
1764	"£	9,398.56"	"£	3,714.00"	"£	0.00"	Cust 3/64									
1765	"£	11,874.28"	"£	8,220.00"	"£	123.00"	Cust 3/65									
1766					"£	11,601.13"	"£	8,098.84"	"£	2,091.20"	Cust 3/66					
1767	"£	15,216.73"	"£	13,838.78"	"£	7.00"	Cust 3/67	"£	394.68"	"£	387.30"	"£	7.38"	Cust 3/67					
1768	"£	0.00"	"£	0.00"	"£	0.00"	Cust 3/68	"£	4,000.06"	"£	3,336.00"	"£	664.06"	Cust 3/68					
1769					"£	7,456.50"	"£	7,239.98"	"£	211.85"	Cust 3/69	"£	74,037.63"	"£	59,532.00"	"£	6,275.00"	Cust 3/69	
1770	"£	79,409.53"	"£	67,320.00"	"£	0.90"	Cust 3/70	"£	6,249.83"	"£	6,082.50"	"£	167.33"	Cust 3/70	"£	1,597.60"	"£	394.23"	"£	1,200.00"	Cust 3/70	
1771					"£	34,087.48"	"£	14,232.98"	"£	18,717.00"	Cust 3/71	"£	5,275.56"	"£	2,688.00"	"£	1,858.00"	Cust 3/71	
1772					"£	51,079.69"	"£	37,052.93"	"£	13,820.92"	Cust 3/72	"£	15,580.15"	"£	2,088.00"	"£	11,641.00"	Cust 3/72	
1773					"£	21,377.69"	"£	8,727.28"	"£	9,852.00"	Cust 3/73	"£	14,563.59"	"£	1,620.00"	"£	7,361.00"	Cust 3/73	
1774					"£	25,253.98"	"£	9,091.65"	"£	14,906.64"	Cust 3/74	"£	8,694.48"	"£	888.00"	"£	3,754.00"	Cust 3/74	
