Table 1
	All f FWI	Log f FWI	Mah f FWI	Cf	All f BWI	Log f BWI	Mah f BWI	Cf	All f Hon	Log f Hon	Mah f Hon	Cf				
1770																
1771																
1772	"£	147,024.37"	"£	40,568.93"	"£	25,469.92"	Cust 17/1												
1773	"£	70,203.52"	"£	10,347.28"	"£	17,213.00"	Cust 17/2												
1774					"£	507,140.23"	"£	9,979.65"	"£	18,660.64"	Cust 17/3								
1775					"£	509,546.77"	"£	18,581.45"	"£	27,480.65"	Cust 17/4								
1776					"£	470,586.97"	"£	9,364.39"	"£	20,441.50"	Cust 17/4								
1777					"£	352,319.53"	"£	7,821.46"	"£	22,221.00"	Cust 17/5								
1778					"£	461,535.17"	"£	10,746.19"	"£	36,270.00"	Cust 17/5								
1779					"£	349,527.15"	"£	2,918.20"	"£	6,607.00"	Cust 17/6								
1780					"£	262,111.95"	"£	570.00"	"£	192.00"	Cust 17/6								
1781					"£	248,897.89"	"£	35.70"	"£	0.00"	Cust 17/7								
1782					"£	562,790.33"	"£	11.87"	"£	194.00"	Cust 17/7								
1783					"£	474,456.00"	"£	52.88"	"£	650.00"	Cust 17/8								
1784					"£	388,920.07"	"£	1,200.00"	"£	12,788.75"	Cust 17/8								
1785					"£	426,730.18"	"£	6,410.37"	"£	41,136.36"	Cust 17/9								
1786					"£	381,286.61"	"£	10,815.76"	"£	44,358.89"	Cust 17/9								
1787					"£	508,524.82"	"£	16,036.61"	"£	75,609.57"	Cust 17/10								
1788									"£	279,428.08"	"£	20,348.15"	"£	189,340.40"	Cust 17/10				
1789									"£	119,548.67"	"£	25,327.16"	"£	92,623.31"	Cust 17/11				
1790									"£	100,298.98"	"£	19,280.33"	"£	78,928.40"	Cust 17/12				
1791									"£	52,900.45"	"£	8,350.19"	"£	40,923.35"	Cust 17/13				
1792									"£	64,509.11"	"£	13,492.15"	"£	45,963.51"	Cust 17/14				
1793									"£	47,192.50"	"£	5,106.14"	"£	35,375.28"	Cust 17/15				
1794									"£	42,885.23"	"£	8,064.92"	"£	33,009.85"	Cust 17/16				
1795									"£	20,366.35"	"£	4,693.98"	"£	15,217.65"	Cust 17/17				
1796									"£	26,418.33"	"£	10,529.30"	"£	15,113.70"	Cust 17/18				
1797									"£	38,276.98"	"£	11,974.13"	"£	26,163.02"	Cust 17/19				
1798									"£	6,579.39"	"£	1,927.77"	"£	4,406.83"	Cust 17/20				
1799									"£	920.03"	"£	0.00"	"£	0.00"	Cust 17/21				
1800									"£	16,777.75"	"£	1,658.40"	"£	14,805.28"	Cust 17/22				
1801									"£	17,642.39"	"£	2,804.13"	"£	13,632.60"	Cust 17/23				
1802									"£	59,848.82"	"£	9,149.00"	"£	49,883.90"	Cust 17/24				
1803									"£	91,934.19"	"£	14,886.67"	"£	75,432.56"	Cust 17/25				
1804									"£	86,115.80"	"£	11,153.98"	"£	73,284.13"	Cust 17/26				
1805									"£	83,777.10"	"£	11,427.14"	"£	71,360.34"	Cust 17/27				
1806									"£	76,244.75"	"£	10,934.17"	"£	64,881.96"	Cust 17/28				
1807									"£	60,013.10"	"£	10,429.84"	"£	49,154.70"	Cust 17/29				
1808									"£	61,045.57"	"£	8,252.05"	"£	52,334.43"	Cust 17/30				
1809																
1810																
1811																
1812																
1813																
1814									"£	92,159.83"	"£	10,639.92"	"£	69,541.25"	Cust 4/9				
1815									"£	155,826.54"	"£	20,236.73"	"£	134,899.75"	Cust 4/10				
1816									"£	118,328.79"	"£	18,122.86"	"£	93,438.18"	Cust 4/11				
1817									"£	79,263.73"	"£	26,158.38"	"£	45,065.17"	Cust 4/12				
1818									"£	97,267.68"	"£	10,340.58"	"£	80,927.70"	Cust 4/13				
1819									"£	106,419.47"	"£	14,603.76"	"£	83,635.93"	Cust 4/14				
1820									"£	136,360.48"	"£	13,594.78"	"£	108,239.96"	Cust 4/15				
1821									"£	98,282.80"	"£	13,591.84"	"£	70,592.08"	Cust 4/16				
1822									"£	162,118.73"	"£	22,379.04"	"£	114,190.32"	Cust 4/17				
1823									"£	136,881.13"	"£	14,718.80"	"£	80,714.17"	Cust 4/18				
1824									"£	196,756.70"	"£	30,190.51"	"£	137,001.63"	Cust 4/19				
1825									"£	170,472.95"	"£	32,462.01"	"£	89,564.71"	Cust 4/20				
1826									"£	205,321.59"	"£	21,538.14"	"£	140,625.91"	Cust 4/21				
1827									"£	222,885.31"	"£	19,948.98"	"£	144,407.40"	Cust 4/22				
1828									"£	181,251.53"	"£	18,400.63"	"£	108,290.50"	Cust 4/23				
1829									"£	182,061.38"	"£	17,623.11"	"£	102,718.70"	Cust 4/24				
1830									"£	221,855.06"	"£	26,008.97"	"£	100,652.10"	Cust 4/25				
1831									"£	124,676.53"	"£	13,076.80"	"£	63,761.72"	Cust 4/26				
1832									"£	232,839.81"	"£	23,177.68"	"£	106,344.65"	Cust 4/27				
1833									"£	230,748.83"	"£	14,574.08"	"£	77,543.94"	Cust 4/28				
1834									"£	263,432.34"	"£	22,791.16"	"£	121,072.65"	Cust 4/29				
1835									"£	373,595.02"	"£	14,940.30"	"£	120,020.68"	Cust 4/30				
1836									"£	566,650.11"	"£	12,145.12"	"£	177,443.37"	Cust 4/31				
1837									"£	445,820.30"	"£	15,803.75"	"£	186,656.78"	Cust 4/32				
