Table 1
	Treasury Hon								Market							
	Sp $	US $	Hon $	Hon £	£	d	Cf	N	Sp $	Jam £	Jd 78	Jd 93	£	Par	Cf	N
1638	"BZD	1.00"				"£	0.21"	50	Lon 1978									
1639	"BZD	1.00"				"£	0.21"	50	Lon 1978									
1640	"BZD	1.00"				"£	0.21"	50	Lon 1978									
1641	"BZD	1.00"				"£	0.21"	50	Lon 1978									
1642	"BZD	1.00"				"£	0.21"	50	Lon 1978									
1643	"BZD	1.00"				"£	0.21"	50	Lon 1978									
1644	"BZD	1.00"				"£	0.21"	50	Lon 1978									
1645	"BZD	1.00"				"£	0.21"	50	Lon 1978									
1646	"BZD	1.00"				"£	0.21"	50	Lon 1978									
1647	"BZD	1.00"				"£	0.21"	50	Lon 1978									
1648	"BZD	1.00"				"£	0.21"	50	Lon 1978									
1649	"BZD	1.00"				"£	0.21"	50	Lon 1978									
1650	"BZD	1.00"				"£	0.21"	50	Lon 1978									
1651	"BZD	1.00"				"£	0.21"	50	Lon 1978									
1652	"BZD	1.00"				"£	0.21"	50	Lon 1978									
1653	"BZD	1.00"				"£	0.21"	50	Lon 1978									
1654	"BZD	1.00"				"£	0.21"	50	Lon 1978									
1655	"BZD	1.00"				"£	0.21"	50	Lon 1978									
1656	"BZD	1.00"			"£	0.20"	"£	0.20"		Lon 1978		"BZD	1.00"	"£	0.20"	48	48	"£	0.20"	100	"Lon 1978
Lon 1893"	Generally accepted value in 1600s in Jam
1657	"BZD	1.00"			"£	0.20"	"£	0.20"		Lon 1978		"BZD	1.00"	"£	0.20"	48	48	"£	0.20"	100	"Lon 1978
Lon 1893"	Jam currency = Sterl c 1660s
1658	"BZD	1.00"			"£	0.20"	"£	0.20"		Lon 1978		"BZD	1.00"	"£	0.20"	48	48	"£	0.20"	100	"Lon 1978
Lon 1893"	
1659	"BZD	1.00"			"£	0.20"	"£	0.20"		Lon 1978		"BZD	1.00"	"£	0.20"	48	48	"£	0.20"	100	"Lon 1978
Lon 1893"	
1660	"BZD	1.00"			"£	0.20"	"£	0.20"		Lon 1978		"BZD	1.00"	"£	0.20"	48	48	"£	0.20"	100	"Lon 1978
Lon 1893"	
1661	"BZD	1.00"			"£	0.20"	"£	0.20"		Lon 1978		"BZD	1.00"	"£	0.20"	48	48	"£	0.20"	100	"Lon 1978
Lon 1893"	
1662	"BZD	1.00"			"£	0.20"	"£	0.20"		Lon 1978		"BZD	1.00"	"£	0.20"	48	48	"£	0.20"	100	"Lon 1978
Lon 1893"	
