Table 1
	GDP	CF	N	GDP	t Hon f All	f Hon t All	Cf	N
1950								
1951					"£	0.26"	"£	0.13"	EIU	In millions
1952					"£	0.26"	"£	0.13"	EIU	"Exp = FOB, Imp = CIF"
1953					"£	0.25"	"£	0.16"	EIU	Imp Exp figs = monthly avg
1954					"£	0.24"	"£	0.15"	EIU	GDP = annual
1955				"BZD	22.5"	"£	0.30"	"£	0.17"	EIU	
1956				"BZD	25.5"	"£	0.33"	"£	0.21"	EIU	
1957				"BZD	27.7"	"£	0.33"	"£	0.20"	EIU	
1958				"BZD	29.9"	"BZD	18.5"	"BZD	9.1"	EIU	
1959				"BZD	30.6"	"BZD	19.6"	"BZD	9.6"	EIU	
1960	"$	28,071,889"	WB WDI	At current USD		"BZD	18.8"	"BZD	11.2"	EIU	
1961	"$	29,964,371"	WB WDI	BZD to USD using “official FX rates”		"BZD	22.7"	"BZD	12.4"	EIU	
1962	"$	31,856,923"	WB WDI	GDP based on production approach		"BZD	31.1"	"BZD	12.4"	EIU	
1963	"$	33,749,405"	WB WDI						
1964	"$	36,193,826"	WB WDI		"BZD	46.5"			EIU	
1965	"$	40,069,930"	WB WDI						
1966	"$	44,405,594"	WB WDI						
1967	"$	47,379,310"	WB WDI						
1968	"$	44,910,180"	WB WDI						
1969	"$	47,305,389"	WB WDI						
1970	"$	53,233,533"	WB WDI						
1971	"$	59,207,317"	WB WDI						
1972	"$	66,062,500"	WB WDI						
1973	"$	78,343,558"	WB WDI						
1974	"$	103,216,374"	WB WDI						
1975	"$	118,066,298"	WB WDI						
1976	"$	96,905,830"	WB WDI		"BZD	163.4"			EIU	
1977	"$	117,650,000"	WB WDI		"BZD	179.8"			EIU	
1978	"$	136,300,000"	WB WDI						
1979	"$	151,800,000"	WB WDI						
1980	"$	197,938,222"	WB WDI						
1981	"$	196,089,855"	WB WDI						
1982	"$	182,206,327"	WB WDI						
1983	"$	192,103,186"	WB WDI						
1984	"$	214,381,949"	WB WDI		"BZD	387.9"			EIU	GDP at market prices
1985	"$	212,643,743"	WB WDI		"BZD	396.6"			EIU	
1986	"$	231,638,321"	WB WDI		"BZD	431.3"			EIU	
1987	"$	281,082,559"	WB WDI		"BZD	487.6"			EIU	
1988	"$	320,093,360"	WB WDI						
1989	"$	369,133,891"	WB WDI						
1990	"$	412,086,445"	WB WDI						
1991	"$	444,720,750"	WB WDI						
1992	"$	518,239,100"	WB WDI			52.92	49.72	WB WITS	Figs in percentage of GDP
1993	"$	559,858,250"	WB WDI			50.18	46.69	WB WITS	"Imp Exp inc services, freight, insurance"
1994	"$	580,863,700"	WB WDI			52.44	49.83	WB WITS	
1995	"$	620,140,400"	WB WDI			49.11	47.96	WB WITS	
1996	"$	641,383,800"	WB WDI			50.27	50.00	WB WITS	
1997	"$	654,314,350"	WB WDI			55.71	52.78	WB WITS	
1998	"$	688,992,450"	WB WDI			56.93	52.58	WB WITS	
1999	"$	732,750,000"	WB WDI			67.35	54.32	WB WITS	
2000	"$	832,050,000"	WB WDI			73.67	52.97	WB WITS	
2001	"$	868,350,000"	WB WDI			69.10	50.87	WB WITS	
2002	"$	925,050,000"	WB WDI			66.13	52.56	WB WITS	
2003	"$	983,500,000"	WB WDI			65.94	53.19	WB WITS	
2004	"$	1,051,350,000"	WB WDI			58.51	50.56	WB WITS	
2005	"$	1,102,050,000"	WB WDI			62.70	54.66	WB WITS	
2006	"$	1,210,150,000"	WB WDI			61.65	61.13	WB WITS	
2007	"$	1,271,600,000"	WB WDI			61.22	61.09	WB WITS	
2008	"$	1,351,350,000"	WB WDI			69.65	62.37	WB WITS	
2009	"$	1,317,300,000"	WB WDI			56.30	51.69	WB WITS	
2010	"$	1,377,200,000"	WB WDI			58.65	59.06	WB WITS	
2011	"$	1,460,800,000"	WB WDI			64.33	62.62	WB WITS	
2012	"$	1,522,900,000"	WB WDI			63.80	64.45	WB WITS	
2013	"$	1,579,400,000"	WB WDI			66.59	65.36	WB WITS	
2014	"$	1,662,800,000"	WB WDI			65.27	62.32	WB WITS	
2015	"$	1,723,800,000"	WB WDI			66.26	58.82	WB WITS	
2016	"$	1,775,100,000"	WB WDI			61.61	52.60	WB WITS	
2017	"$	1,836,600,000"	WB WDI			58.44	54.98	WB WITS	
2018	"$	1,871,200,000"	WB WDI			58.01	57.70	WB WITS	
2019	"$	1,879,613,600"	WB WDI						
2020								
