Table 1
	t Eng	Qs	Cf	t King	Qs	Cf	t Bos	Qs	Cf	t NYC	Qs	Cf
1670												
1671	460	2.0	CO 1/43 f 59 [f Jam]									
1672	920	4.0	CO 1/43 f 59 [f Jam]									
1673	920	4.0	CO 1/43 f 59 [f Jam]									
1674	920	4.0	CO 1/43 f 59 [f Jam]									
1675	430	4.0	CO 1/43 f 59 [f Jam]									
1676	430	4.0	CO 1/43 f 59 [f Jam]									
1677	430	4.0	CO 1/43 f 59 [f Jam]									
1678	554	4.0	CO 1/43 f 59 [f Jam]									
1679												
1680												
1681												
1682	623	4.0	CO 142/13 [f Jam]									
1683	506	4.0	CO 142/13 [f Jam]	0.0	1.0	CO 142/13						
1684				300.0	1.0	CO 142/13						
1685				40.0	1.0	CO 142/13						
1686	651	4.0	CO 142/13 [f Jam]	221.5	4.0	CO 142/13						
1687	506	4.0	CO 142/13 [f Jam]	141.0	4.0	CO 142/13						
1688	"1,079"	4.0	CO 142/13 [f Jam]	881.0	4.0	CO 142/13						
1689	"1,132"	4.0	CO 142/13 [f Jam]	520.0	4.0	CO 142/13						
1690				160.0	4.0	CO 142/13						
1691				0.0	4.0	CO 142/13						
1692				30.0	1.0	CO 142/13						
1693												
1694												
1695												
1696												
1697	622.56	4.0	Cust 3/81									
1698	"1,067.00"	4.0	Cust 3/1									
1699	"2,843.09"	4.0	Cust 3/3									
1700	"6,618.30"	4.0	Cust 3/4									
1701	"4,791.55"	4.0	Cust 3/5									
1702	"4,434.48"	4.0	Cust 3/6									
1703	"2,421.88"	4.0	Cust 3/7									
1704	"1,209.03"	4.0	Cust 3/8									
1705												
1706	320.95	4.0	Cust 3/9									
1707	829.47	4.0	Cust 3/10									
1708	"1,289.52"	4.0	Cust 3/11									
1709	825.73	4.0	Cust 3/12	321.5	3.0	CO 142/14						
1710	653.33	4.0	Cust 3/13	372.0	4.0	CO 142/14						
1711	470.33	4.0	Cust 3/14	239.0	3.0	CO 142/14						
1712				0.0	3.0	CO 142/14						
1713	"2,189.80"	4.0	Cust 3/15	0.0	4.0	CO 142/14						
1714	"4,766.50"	4.0	Cust 3/16				"1,434.0"	4.0	CO 5/848			
1715	"5,859.67"	4.0	Cust 3/17				969.0	4.0	CO 5/848	440.0	2.0	CO 5/1222
1716	"2,055.62"	4.0	Cust 3/18				275.0	4.0	CO 5/848	127.0	4.0	CO 5/1222
1717	"1,148.45"	4.0	Cust 3/19				60.0	2.0	CO 5/848	60.0	4.0	CO 5/1222
1718	"1,174.86"	4.0	Cust 3/20	45.0	3.0	CO 142/14	0.0	1.5	CO 5/848	13.5	4.0	CO 5/1222
1719	739.63	4.0	Cust 3/21	40.0	4.0	CO 142/14	0.0	2.5	CO 5/848	60.0	4.0	CO 5/1222
1720	342.75	4.0	Cust 3/22	35.0	2.0	CO 142/14				12.0	4.0	CO 5/1222
1721	"1,798.03"	4.0	Cust 3/23	0.0	1.0	CO 142/14				92.0	4.0	CO 5/1222
1722	"1,130.40"	4.0	Cust 3/24							266.0	4.0	CO 5/1222-3
1723	"2,273.60"	4.0	Cust 3/25							223.0	4.0	CO 5/1223
1724	"3,347.48"	4.0	Cust 3/26							125.0	4.0	CO 5/1223
1725	"3,220.81"	4.0	Cust 3/27							15.0	3.0	CO 5/1223
1726	"3,588.07"	4.0	Cust 3/28B									
1727	"3,108.98"	4.0	Cust 3/82	40.0	1.0	CO 142/15						
1728				"1,240.0"	2.0	CO 142/15						
1729	989.05	4.0	Cust 3/29	88.0	4.0	CO 142/15						
1730	"1,505.12"	4.0	Cust 3/30	275.0	1.0	CO 142/15						
1731	780.73	4.0	Cust 3/31									
1732	"1,189.41"	4.0	Cust 3/32									
1733	"1,461.12"	4.0	Cust 3/33									
1734	"1,261.73"	4.0	Cust 3/34									
1735	"1,594.55"	4.0	Cust 3/35									
1736	"2,231.85"	4.0	Cust 3/36									
1737	"2,176.78"	4.0	Cust 3/37									
1738	"2,520.25"	4.0	Cust 3/38									
1739	"1,945.37"	4.0	Cust 3/39									
1740	"1,997.20"	4.0	Cust 3/40									
1741	"1,289.17"	4.0	Cust 3/41									
1742	"1,030.73"	4.0	Cust 3/42	155.0	1.0	CO 142/15						
1743	"1,299.07"	4.0	Cust 3/43	356.0	3.0	CO 142/15						
1744	495.11	4.0	Cust 3/44	285.0	3.8	CO 142/15						
1745	574.38	4.0	Cust 3/45	0.0	3.0	CO 142/15						
1746	136.55	4.0	Cust 3/46	60.0	1.0	CO 142/15						
1747	596.29	4.0	Cust 3/47	79.0	2.5	CO 142/15						
1748	"1,747.10"	4.0	Cust 3/48	0.0	2.0	CO 142/15						
1749	"1,233.65"	4.0	Cust 3/49									
1750	"4,659.84"	4.0	Cust 3/50									
1751	"7,386.18"	4.0	Cust 3/51									
1752	"5,368.41"	4.0	Cust 3/52	"1,062.5"	4.0	CO 142/15	0.0	1.0	CO 5/849			
