Table 1
	f All	t All	t All Re	f GB	t GB	Cf	N	f All	t All	t All Re	f GB	t GB	Cf	N
1820														
1821														
1822														
1823														
1824	"£	262,988"	"£	272,826"		"£	235,335"	"£	218,522"	Martin 1839 p 140-1								
1825	"£	289,871"	"£	295,111"		"£	244,131"	"£	232,052"	Martin 1839 p 140-1								
1826	"£	412,727"	"£	350,370"		"£	303,882"	"£	283,076"	Martin 1839 p 140-1								
1827	"£	313,502"	"£	394,132"		"£	271,209"	"£	374,394"	Martin 1839 p 140-1								
1828	"£	233,756"	"£	301,255"		"£	185,929"	"£	219,798"	Martin 1839 p 140-1								
1829	"£	244,464"	"£	255,282"		"£	209,199"	"£	219,662"	Martin 1839 p 140-1								
1830	"£	234,379"	"£	316,151"		"£	193,692"	"£	195,192"	Martin 1839 p 140-1								
1831	"£	278,627"	"£	197,860"		"£	216,617"	"£	106,280"	Martin 1839 p 140-1								
1832	"£	153,830"	"£	182,267"		"£	108,797"	"£	145,497"	Martin 1839 p 140-1								
1833	"£	235,156"	"£	242,330"		"£	194,950"	"£	154,344"	Martin 1839 p 140-1								
1834	"£	318,234"	"£	286,800"		"£	272,609"	"£	209,118"	Martin 1839 p 140-1								
1835	"£	182,614"	"£	267,811"		"£	122,630"	"£	205,603"	Martin 1839 p 140-1								
1836	"£	340,554"	"£	493,115"		"£	278,699"	"£	399,546"	Martin 1839 p 140-1; BB 36 p 138								
1837	"£	369,623"	"£	345,305"				BB 37 p 138								
1838														
1839														
1840														
1841														
1842				"£	414,103"	"£	864,502"	HCP 49	Exp Imp in official values							
1843														
1844														
1845	"£	273,074"	"£	281,850"		"£	194,129"	"£	239,337"	BB 45 p 158								
1846	"£	213,726"					CP 869 p 103								
1847	"£	281,459"	"£	309,792"		"£	212,040"	"£	269,364"	CP 1005 p 164; CP 1126 p 269								
1848	"£	166,612"	"£	353,783"		"£	110,851"	"£	292,083"	CP 1126 p 269								
1849	"£	237,861"	"£	301,888"				CP 1539 p 48								
1850	"£	196,554"	"£	261,015"		"£	141,379"	"£	211,145"	CP 3508; CP 1539 p 48	"Exp Imp of bullion, specie not specified"							
1851	"£	289,819"	"£	411,443"		"£	209,541"	"£	96,071"	CP 3508; CP 1693 p 38								
1852	"£	262,112"	"£	391,223"		"£	109,695"	"£	340,908"	CP 3508								
1853	"£	198,186"	"£	345,377"		"£	120,762"	"£	276,520"	CP 3508								
1854	"£	241,764"	"£	452,313"		"£	152,411"	"£	384,640"	CP 3508								
1855	"£	245,486"	"£	462,591"		"£	159,969"	"£	391,527"	CP 3508								
1856	"£	254,994"	"£	446,649"		"£	160,659"	"£	357,153"	CP 3508								
1857	"£	268,691"	"£	440,271"		"£	169,927"	"£	329,052"	CP 3508								
1858	"£	207,908"	"£	380,377"		"£	121,934"	"£	286,612"	CP 3508	"< 1858, Exp exc re-Exp, Imp exc items not dutiable; CP 2711 p 7"							
1859	"£	175,203"	"£	288,161"		"£	101,595"	"£	183,113"	CP 3508								
1860	"£	200,869"	"£	315,918"		"£	128,081"	"£	224,065"	CP 3508								
1861	"£	231,744"	"£	292,576"		"£	149,887"	"£	214,688"	CP 3508								
1862	"£	211,358"	"£	356,390"		"£	108,843"	"£	210,379"	CP 3508; C.2093								
1863	"£	265,752"	"£	390,644"		"£	147,809"	"£	235,205"	CP 3508; C.2093								
1864	"£	291,144"	"£	373,197"		"£	196,373"	"£	218,131"	C.2093								
1865	"£	210,675"	"£	323,170"		"£	130,426"	"£	220,077"	C.2093								
1866	"£	169,033"	"£	277,156"		"£	107,734"	"£	169,013"	C.2093								
1867	"£	190,495"	"£	186,169"		"£	112,051"	"£	102,806"	C.2093								
1868	"£	177,684"	"£	203,659"		"£	105,100"	"£	115,482"	C.2093								
1869	"£	151,189"	"£	175,033"		"£	95,737"	"£	91,788"	C.2093								
1870	"£	184,338"	"£	171,988"		"£	131,348"	"£	79,925"	C.2093								
1871	"£	180,662"	"£	207,672"		"£	125,380"	"£	116,119"	C.2093								
1872	"£	167,809"	"£	203,560"		"£	113,574"	"£	105,898"	C.2093								
1873	"£	236,615"	"£	216,993"		"£	159,542"	"£	129,317"	C.2093								
1874	"£	178,398"	"£	240,628"		"£	98,301"	"£	134,655"	C.2093								
1875	"£	175,321"	"£	202,512"		"£	95,936"	"£	104,331"	C.2093		"BZD	876,603"	"BZD	1,012,560"		"BZD	475,179"	"BZD	521,653"	C.6160	
1876	"£	163,403"	"£	206,420"		"£	99,946"	"£	127,547"	C.2093		"BZD	865,903"	"BZD	1,093,873"		"BZD	529,640"	"BZD	675,902"	C.6160	
1877								"BZD	878,382"	"BZD	659,773"		"BZD	447,998"	"BZD	501,031"	C.6160	Exp exc Re
1878								"BZD	971,856"	"BZD	664,884"		"BZD	562,322"	"BZD	479,158"	C.6160	Exp exc Re
1879								"BZD	811,441"	"BZD	952,475"		"BZD	402,382"	"BZD	598,346"	C.6160	
1880								"BZD	1,203,856"	"BZD	1,283,284"		"BZD	623,561"	"BZD	595,254"	C.6160	
1881								"BZD	1,024,229"	"BZD	1,255,615"		"BZD	556,000"	"BZD	697,889"	C.6160	
1882								"BZD	1,181,919"	"BZD	1,271,958"		"BZD	597,768"	"BZD	679,964"	C.6160	
1883								"BZD	1,334,726"	"BZD	1,502,937"		"BZD	738,555"	"BZD	880,734"	C.6160	
1884								"BZD	1,178,738"	"BZD	1,575,280"		"BZD	633,202"	"BZD	1,017,431"	C.6160	
1885								"BZD	1,274,280"	"BZD	1,221,398"		"BZD	553,383"	"BZD	708,802"	Cd.307	
1886								"BZD	1,179,799"	"BZD	1,400,235"		"BZD	470,139"	"BZD	903,374"	Cd.307	
1887								"BZD	1,097,719"	"BZD	1,349,712"		"BZD	477,607"	"BZD	785,499"	Cd.307	
1888								"BZD	1,808,321"	"BZD	1,865,869"		"BZD	837,101"	"BZD	887,895"	Cd.307	
1889								"BZD	2,278,152"	"BZD	2,635,436"		"BZD	1,096,940"	"BZD	1,427,711"	Cd.307	
1890								"BZD	1,829,481"	"BZD	1,866,097"		"BZD	855,217"	"BZD	1,108,249"	Cd.307	
1891								"BZD	2,478,428"	"BZD	2,554,061"		"BZD	1,020,656"	"BZD	1,407,760"	Cd.307	
1892								"BZD	2,034,794"	"BZD	2,016,494"		"BZD	790,015"	"BZD	921,618"	Cd.307	
1893								"BZD	1,515,457"	"BZD	2,214,788"		"BZD	580,567"	"BZD	1,230,493"	Cd.307	
1894								"BZD	789,215"	"BZD	1,274,788"				C.7944-14	
