Table 1
				to GB			to Eng			to Scot			Log			Mah			Log to E			Mah to E					
Yr	No	ff	Desc	L	s	d	L	s	d	L	s	d	L	s	d	L	s	d	L	s	d	L	s	d			
1695																											
1696																											
1697																											
1698																											
1699																											
1700																											
1701																											
1702																											
1703																											
1704																											
1705																											
1706																											
1707																											
1708																											
1709																											
1710																											
1711																											
1712																											
1713																											
1714																											
1715																											
1716																											
1717																											
1718																											
1719																											
1720																											
1721																											
1722																											
1723																											
1724																											
1725																											
1726																											
1727																											
1728																											
1729																											
1730																											
1731																											
1732																											
1733																											
1734																											
1735																											
1736																											
1737																											
1738																											
1739																											
1740																											
1741																											
1742																											
1743																											
1744																											
1745																											
1746																											
1747																											
1748																											
1749																											
1750																											
1751																											
1752																											
1753																											
1754																											
1755																											
1756																											
1757																											
1758																											
1759																											
1760																											
1761																											
1762																											
1763																											
1764																											
1765																											
1766																											
1767																											
1768																											
1769																											
1770																											
1771																											
1772																											
1773																											
1774																											
1775																											
1776																											
1777																											
1778																											
1779																											
1780																											
1781																											
1782																											
1783																											
1784																											
1785																											
1786																											
1787																											
1788																											
1789																											
1790																											
1791																											
1792																											
1793																											
1794																											
1795																											
1796																											
1797																											
1798																											
1799																											
1800																											
1801																											
1802																											
1803																											
1804																											
1805																											
1806																											
1807																											
1808																											
1809	5	179	Hon				59816	12	4										10063	19	7	48599	13	10	cf scot led for scotland		
1810	6	202	Hon				74979	18	5										12205	8	6	61878	12	7			
1811	7	172	Hon				95795	0	5										16079	8	1	78330	4	5			
1812	8	176	Hon				71670	4	2										11665	17	5	59537	13	3			
1813																											
1814	9	130	Hon				67249	7	10	24910	8	8	10639	18	5	69541	4	11									
1815	10	130	Hon				115521	1	0	40305	9	9	20236	14	7	134899	15	1									
1816	11	125	Hon				96337	8	10	21991	7	0	18122	17	2	93438	3	6									
1817	12	129	Hon				74211	6	2	5052	8	5	26158	7	8	45065	3	5									
1818	13	144	Hon				60142	13	3	37125	0	4	10340	11	8	80927	14	1									
1819	14	139	Hon				80091	7	7	26328	1	10	14603	15	3	83635	18	7									
1820	15	133	Hon				125939	19	7	10420	9	11	13594	15	8	108239	19	2									
1821	16	137	Hon				89135	14	3	9147	1	10	13591	16	9	70592	1	6									
1822	17	72	Hon	162118	14	6							22379	0	9	114190	6	5									
1823	18	74	Hon	136881	2	8	113290	5	0	23590	17	8	14718	15	11	80714	3	5									
1824	19	75	Hon	196756	14	0	142814	19	7	53941	14	5	30190	10	2	137001	12	8									
1825	20	91	Hon	170472	18	11	158480	1	4	11992	17	7	32462	0	2	89564	14	2									
1826	21	82	Hon	205321	11	9	158126	7	10	47195	3	11	21538	2	10	140625	18	3									
1827	22	79	Hon	222885	6	2	197129	3	4	25756	2	10	19948	19	6	144407	8	1									
1828	23	78	Hon	181251	10	6	161011	6	6	20240	4	0	18400	12	8	108290	10	0									
1829	24	81	Hon	182061	7	7	163608	6	2	18453	1	5	17623	2	2	102718	14	0									
1830	25	117	Hon	221855	1	3							26008	19	5	100652	1	11									
1831	26	115	Hon	124676	10	7							13076	15	11	63761	14	4									
1832	27	114	Hon	232839	16	2							23177	13	7	106344	13	1									
1833	28	115	Hon	230748	16	6							14574	1	6	77543	18	10									
1834	29	126	Hon	263432	6	10							22791	3	2	121072	13	1									
1835	30	123	Hon	373595	0	5							14940	6	1	120020	13	8									
1836	31	126	Hon	566650	2	2							12145	2	4	177443	7	5									
1837	32	119	Hon	445820	6	0							15803	15	1	186656	15	8									
1838	33	121	Hon	474219	8	7							23260	17	9	167204	19	4									
1839	34	122	Hon	589182	12	3							31510	19	4	154219	6	4									
1840	35	118	Hon	650920	17	0							48761	5	10	143728	5	7									
1841	36	122	Hon	910242	1	0							46579	15	8	134832	19	7									
1842	37	128	Hon	864502	7	11							37749	13	0	92546	1	6									
1843	38	138	Hon	730757	1	9							34849	15	7	132439	6	7									
1844	39	135	Hon	883141	11	10							47823	8	10	138743	13	5									
1845	40	139	Hon	774242	5	7							45973	5	0	189453	13	2									
1846	41	145	Hon	857453	13	9							48282	9	9	203071	14	1									
1847	42	147	Hon	1208494	1	5							44309	13	4	242160	2	8									
1848	43	142	Hon	1093055	1	5							50206	18	9	218349	11	7									
1849	44	149	Hon	1126970	8	7							43121	18	5	171238	3	0									
1850	45	187	Hon	1243225	15	1							55274	13	1	172216	14	4									
1851	46	177	Hon	1518056	1	7							52044	16	5	157446	3	11									
1852	47	151	Hon	886657	10	9							70750	13	2	188325	11	6									
1853	48	187	Hon	357340	9	1							51659	2	10	115488	10	7									
1854	49																								by articles		
1855	50	188	Hon	1143942									48357			219736									lists market value too		
1856	51	192	Hon	956806									48077			170471									no official value		
1857	52	201	Hon	424364									29760			203577									no official value		
1858	53	198	Hon	337820									12369			161984									no official value		
1859	54	203	Hon	286671									21908			184079									no official value		
1860	55	188	Hon	309029									31969			216389									no official value		
1861	56																										
1862	57																										
1863	58																										
1864	59																										
1865	60																										
