Table 1
Ath Yr	Yr	fm All	to All	to All Re	fm GB	to GB	Rev			Exp			Exp Ln	Debt	Notes	FX
Cmd. 4586	1913						590982			609441					Figs likely given in for financial year starting in given year and ending year following.	B$
	1914						513149			596979					Actual figs used. Est. figs also available	
	1915						518447			555593					"Rev, Exp inc. loan & grant moneys"	
	1916						640462			613788					"Imp, exp likely for calendar year"	
	1917						676227			675235						
	1918						721233			670737						
	1919						1065622			981816						
	1920						1129932			928817						
	1921						1105207			1410780						
	1922						885449			1098915						
	1923						937019			924318						
	1924						938969			920998						
	1925						996288			971197						
	1926						1116432			1040490						
	1927	4534804	4547528				1068212			1112083						
	1928	4481748	4041502				1039666			1046877						
	1929	5056673	4876875				1036067			1023602						
	1930	4925330	4534963				1160445			1087047						
	1931	4435358	2911066				875046			1035600						
	1932	2301838	1447484				893716			940985						
																
HCP 607	1824						13821	8	9	13821	8	9			Figs < 1828 in Jamaica currency	B$ 100 = 71.8.6
	1825						17452	1	10	17452	1	10			Figs ≥ 1828 in Sterling	B$ 100 = 71.8.6
	1826						13755	15	8	13755	15	8				B$ 100 = 71.8.6
	1827						25088	15	3	25088	15	3				B$ 100 = 71.8.6
	1828						10760	2	6.25	10760	2	6.25				?
	1829						11759	13	8	11759	13	8				?
	1830						15823	10	3.5	15823	10	3.5				?
	1831						13943	7	9	13943	7	9				?
	1832						16997	18	10	16997	18	10				?
	1833						16950	17	10	16950	17	10				?
	1834						17507	2	11	17507	2	11				?
	1835						18068	2	2	18068	2	2				?
																
C.5249-38	1879						201620			253500						B$
	1880						216170			189615						
	1881						218210			203560						
	1882						231920			222500						
	1883	1344865	1514345		744155		261385			201715						
	1884	1187690	1587245		638010		259330			267925						
	1885	1274280	1221400		553385		261225			316175						
	1886	1170813	1400234		470147		271806			312773						
	1887	1097721	1349709		477606		280139			294298						
																
C.5897-1	1887	1097721	1349709				280139.86			294298.32					"In colonial currency = Guatemalan silver dollar “of 900 fitness and 385.80 grains weight” by HM proclamation 15 Sep 1887, per C.6857-23; fixed at B$ 1 = 0.3.1 Sterling; per C.6269"	B$
	1888	1479048	1526115		207071		311719.20			297935.92						
																
C.6269	1889	1863327	2155554				361956.44			325877.36					"In colonial currency, fixed at B$ = 0.2.10 Sterling for 1889"	B$
																
C.6857-23	1890						332135.87			344452.54					In colonial currency	B$
	1891						357634.01			348282.98				114128.38		
																
C.7319-14	1890	1829480	1866099		855221	1108246	332135.87			293510.46					"Rev, exp exc local gov body rev, exp"	Cf Notes
	1891	1853365	1909930		763249	1052725	357362.01			308220.92					"Debt in Sterling, other figs in Guatemalan dollars; market rate avg Jun to Dec 1894 B$ 1 = 0.2.1; Treasury rate used for figs shown – 0.3.1 in 1888
0.2.10 in 89
0.2.10 in 90
0.3.1 in 91
0.3.0 in 92
0.2.9 in 93
0.2.5 in 94"	
	1892	1741235	1741235		682174	795811	338659.98			333646.72						
	1893	1460941	2133117		559686	1186228	301922.07			365519.15				35150		
																
C.7944-14	1844	273073	281850				22372			18302					Figs in Sterling	?
	1854	241764	452315				26327			19375					Local currency changed to gold US dollar on 15 Oct 1894 at B$ 4.86 = 1.0.0L	?
	1864	291144	373197				31544			28364						?
