Table 1
INSTITUTION	EST	PLACE	DATE	CF	NOTE		
Parliament	Public Meeting	Barcadares	1630 t 1663				
Crown	English Crown	London	927				
Cabinet	Magistracy	Barcadares	1720 t 1724				
Courts	Public Meeting	Barcadares	1630 t 1663				
Armed Forces	Buccaneer Crews	-	1630 t 1642		"Possibly Place = Tortuga
Alt = Royal Navy Jamaica Station, Port Royal, 27 May 1655
Alt = Baymen’s Militia, Barcadares, 1694 t 1703"		
Civil Service	Superintendency	London	1 Dec 1784		"Alt = Superintendency, Belize, Jun 1786"		
Schools	-	Belize	30 Jun 1807				
Hospitals	Medical Department	Belize	7 Apr 1817				
Libraries							
Press	-	Belize	6 Dec 1825		"Alt = James Cruickshank Press, Belize, 1 Jul 1826"		
Foreign Service	London Agent	London	1779 t 1789				
Privy Council	Privy Council of England	London	927				
Church	See of Rome	Rome	29 t 100				
