Table 1
	S$ to Lsd	G$ to Lsd	Population	Exports All	Imports All	Exports to UK	Imports from UK	Spending	Loan spending	Debt outstanding	Spending USD
1817											
1818											
1819											
1820											
1821											
1822											
1823											
1824											
1825											
1826											
1827											
1828											
1829			4643			190795	792278				
1830											
1831					-0.111887190300474						
1832	0/6/8		3794								
1833											
1834											
1835											
1836			2543								
1837											
1838											
1839											
1840											
1841			8235								
1842			10000			864502	414103				
1843											
1844											
1845											
1846											
1847											
1848											
1849											
1850											
1851								13622		0	
1852								18543		0	
1853								17385		0	
1854				452313	241686			19875		0	
1855				462591	245486			21511		0	
1856								26263		0	
1857								26469		0	
1858								24127		0	
1859								25778		0	
1860								30270		0	
1861			25635					28897		0	
1862								32175		0	
1863								28642		5625	
1864								28365		21562	
1865								35614		28289	
1866								31064			
1867								30507		34515	
1868								39720			
1869								30404			
1870								26220			
1871			24710					25454			
1872								29350			
1873								34407			
1874								40063			
1875								40839			
1876								36615			
1877	0/3/6.5							35354		4463	199646.117647059
1878	0/3/4.5							43111		3806	255472.592592593
1879	0/3/4.5							42777		937	253493.333333333
1880	0/3/4.5							31998		0	189617.777777778
1881	0/3/4.5		27452					34351		0	203561.481481481
1882	0/4/1.33333333							37547		0	182661.081093423
1883	0/3/3.33333333							33200	0	0	202576.271203608
1884	0/3/3.33333334							44096	0	0	269060.338937447
1885	0/3/2							50061	9684	0	316174.736842105
1886	0/2/11							45613		8130	312774.857142857
1887	0/2/11							42918		8130	294294.857142857
1888	0/2/9.5							41587	7105	16782	297936.71641791
1889	0/2/9.5							43516	1280	16782	311756.417910448
1890	0/3/1							45249	7854	17595	293507.027027027
1891	0/2/11.25		31471					45270	5884	17000	308221.276595745
1892	0/2/7.5							43791	5259	16317	333645.714285714
1893	0/2/3.8							42339	3380	30458	365516.54676259
1894		0/4/1.33333333						45057	2327	34736	219196.216216364
1895		0/4/1.33333333						56537	2097	34736	275044.864865051
1896		0/4/1.33333333						55416	114	34736	269591.351351534
1897		0/4/1.33333333						65716	743	34736	319699.459459675
1898		0/4/1.33333333						62019	0	34736	301714.054054258
1899		0/4/1.33333333						53994	0	34736	262673.513513691
1900		0/4/1.33333333						50659	0	34736	246449.189189356
1901		0/4/1.33333333	37479					52809	0	34736	256908.648648822
1902		0/4/1.33333333						51850	0	34736	252243.243243414
1903		0/4/1.33333333						54686	0	34736	266040.00000018
1904		0/4/1.33333333						58020	0	34736	282259.45945965
1905		0/4/1.33333333						61739	0	34736	300351.891892095
1906		0/4/1.33333333	41007					66074	1142	34701	321441.081081298
1907		0/4/1.33333333						69457	36754	34736	337898.918919147
1908		0/4/1.33333333						69169	41005	34736	336497.837838065
1909		0/4/1.33333333						88545	33169	34736	430759.459459751
1910		0/4/1.33333333						100722	10856	34736	489998.91891925
1911		0/4/1.33333333	40458					90308	18983	194736	439336.216216513
1912		0/4/1.33333333						99647	25974	194736	484769.189189517
1913		0/4/1.33333333						106144	19130	194736	516376.216216565
1914		0/4/1.33333333						113071	9642	194736	550075.135135507
1915		0/4/1.33333333						110501	325	194736	537572.432432796
1916		0/4/1.33333333						126089	79	179820	613405.94594636
1917		0/4/1.33333333						138810	105	179820	675291.891892348
1918		0/4/1.33333333						137874	547	179820	670738.378378832
1919		0/4/1.33333333						201818	220	179820	981817.297297961
1920		0/4/1.33333333						190923	8642	179820	928814.594595222
1921		0/4/1.33333333	45317					289994	28898	136763	1410781.62162257
1922		0/4/1.33333333						225888	43107	220595	1098914.59459534
1923		0/4/1.33333333						247329	57330	232708	1203222.16216298
1924		0/4/1.33333333						189000	28000	153000	919459.459460081
1925		0/4/1.33333333						9000	8000	153000	43783.7837838134
1926		0/4/1.33333333						214000	15000	153000	1041081.08108178
1927		0/4/1.33333333						204000	14000	153000	992432.432433103
1928		0/4/1.33333333						215000	7000	363000	1045945.94594665
1929		0/4/1.33333333						210000	1000	384000	1021621.62162231
1930		0/4/1.33333333						223000	1000	384000	1084864.8648656
1931		0/4/1.33333333	51347					213000	2000	384000	1036216.21621692
1932		0/4/1.33333333						193000	124000	534000	938918.918919553
1933		0/4/1.33333333						197000	93000	555000	958378.378379026
1934											
1935											
1936								B1125030.10			1125030.1
1937								B1177760.09			1177760.09
1938								B1317326.50			1317326.5
1939								B1500182.36			1500182.36
1940								B1363796.34			1363796.34
1941								B1217122.31			1217122.31
1942								B1640387			1640387
1943											
1944											
1945											
1946			59220								
1947								B2909985			2909985
1948								B3394916			3394916
1949								B3847374		B1160503	3847374
1950								B5415752			3791026.4
1951								B4441305			3108913.5
1952								B4907330			3435131
1953								B5528355			3869848.5
1954								B5339679			3737775.3
1955								B5694732			3986312.4
1956								B6702208			4691545.6
1957								B8002687		B3723124	5601880.9
1958								B9262267		B4177868	6483586.9
1959								B10401434			7281003.8
1960								B9365721			6556004.7
1961								B9316775		B4617754.63	6521742.5
1962								B11958069			8370648.3
1963								B17219056		B4519847.39	12053339.2
1964								B12676880			8873816
1965								B13507637		B6585272.34	9455345.9
1966								B15661783			10963248.1
1967								B15480044		B7513862	10836030.8
1968											
1969											
