Table 1
	S$ to Lsd	G$ to Lsd	Population	Exports All	Imports All	Exports to UK	Imports from UK	Spending	Loan spending	Debt outstanding	Spending USD	GDP USD	Spending pc	CPI US	Spending USD 2020	Spending £	CPI £	Spending £ 2015	USD to £
1817																			
1818																			
1819																			
1820																			
1821																			
1822																			
1823																			
1824																			
1825																			
1826																			
1827																			
1828																			
1829			4643			190795	792278												
1830																			
1831					-0.111887190300474														
1832	0/6/8		3794																
1833																			
1834																			
1835																			
1836			2543																
1837																			
1838																			
1839																			
1840																			
1841			8235																
1842			10000			864502	414103												
1843																			
1844																			
1845																			
1846																			
1847																			
1848																			
1849																			
1850																	8.4		
1851								13622		0						13622	8.1	"1,715,363.0"	
1852								18543		0						18543	8.1	"2,335,044.4"	
1853								17385		0						17385	8.9	"1,992,438.2"	
1854				452313	241686			19875		0						19875	10.2	"1,987,500.0"	
1855				462591	245486			21511		0						21511	10.5	"2,089,640.0"	
1856								26263		0						26263	10.5	"2,551,262.9"	
1857								26469		0						26469	10.0	"2,699,838.0"	
1858								24127		0						24127	9.1	"2,704,345.1"	
1859								25778		0						25778	9.0	"2,921,506.7"	
1860								30270		0						30270	9.3	"3,319,935.5"	
1861			25635					28897		0						28897	9.5	"3,102,625.3"	
1862								32175		0						32175	9.3	"3,528,871.0"	
1863								28642		5625						28642	9.0	"3,246,093.3"	
1864								28365		21562						28365	8.9	"3,250,820.2"	
1865								35614		28289						35614	9.0	"4,036,253.3"	
1866								31064								31064	9.5	"3,335,292.6"	
1867								30507		34515						30507	10.1	"3,080,905.0"	
1868								39720								39720	10.0	"4,051,440.0"	
1869								30404								30404	9.5	"3,264,429.5"	
1870								26220								26220	9.5	"2,815,200.0"	
1871			24710					25454								25454	9.6	"2,704,487.5"	
1872								29350								29350	10.0	"2,993,700.0"	
1873								34407								34407	10.4	"3,374,532.7"	
1874								40063								40063	10.0	"4,086,426.0"	
1875								40839								40839	9.8	"4,250,589.8"	
1876								36615								36615	9.8	"3,810,949.0"	
1877	0/3/6.5							35354		4463	199646.117647059					35354	9.7	"3,717,637.1"	
1878	0/3/4.5							43111		3806	255472.592592593					43111	9.5	"4,628,760.0"	
1879	0/3/4.5							42777		937	253493.333333333					42777	9.1	"4,794,784.6"	
1880	0/3/4.5							31998		0	189617.777777778					31998	9.4	"3,472,123.4"	
1881	0/3/4.5		27452					34351		0	203561.481481481					34351	9.3	"3,767,529.0"	
1882	0/4/1.33333333							37547		0	182661.081093423					37547	9.4	"4,074,248.9"	
1883	0/3/3.33333333							33200	0	0	202576.271203608					33200	9.3	"3,641,290.3"	
1884	0/3/3.33333334							44096	0	0	269060.338937447					44096	9.1	"4,942,628.6"	
1885	0/3/2							50061	9684	0	316174.736842105					50061	8.8	"5,802,525.0"	
1886	0/2/11							45613		8130	312774.857142857					45613	8.7	"5,347,731.0"	
1887	0/2/11							42918		8130	294294.857142857					42918	8.6	"5,090,274.4"	
1888	0/2/9.5							41587	7105	16782	297936.71641791					41587	8.7	"4,875,717.2"	
1889	0/2/9.5							43516	1280	16782	311756.417910448					43516	8.8	"5,043,900.0"	
1890	0/3/1							45249	7854	17595	293507.027027027					45249	8.8	"5,244,770.5"	
1891	0/2/11.25		31471					45270	5884	17000	308221.276595745					45270	8.9	"5,188,247.2"	
1892	0/2/7.5							43791	5259	16317	333645.714285714					43791	8.9	"5,018,743.8"	
1893	0/2/3.8							42339	3380	30458	365516.54676259					42339	8.8	"4,907,475.0"	
1894		0/4/1.33333333						45057	2327	34736	219196.216216364					45057	8.7	"5,282,544.8"	
1895		0/4/1.33333333						56537	2097	34736	275044.864865051			8.33333333333333	8537172.56951929	56537	8.6	"6,705,551.2"	
1896		0/4/1.33333333						55416	114	34736	269591.351351534			8.33333333333333	8367899.87287054	55416	8.5	"6,649,920.0"	
1897		0/4/1.33333333						65716	743	34736	319699.459459675			8.33333333333333	9923215.46206075	65716	8.7	"7,704,634.5"	
1898		0/4/1.33333333						62019	0	34736	301714.054054258			8.33333333333333	9364962.86660093	62019	8.7	"7,271,193.1"	
1899		0/4/1.33333333						53994	0	34736	262673.513513691			8.33333333333333	8153175.72065416	53994	8.8	"6,258,395.5"	
1900		0/4/1.33333333						50659	0	34736	246449.189189356			8.33333333333333	7649585.67308626	50659	9.2	"5,616,541.3"	
