Table 1
	USA	UK	Belize
1850		8.4	
1851		8.1	
1852		8.1	
1853		8.9	
1854		10.2	
1855		10.5	
1856		10.5	
1857		10.0	
1858		9.1	
1859		9.0	
1860		9.3	
1861		9.5	
1862		9.3	
1863		9.0	
1864		8.9	
1865		9.0	
1866		9.5	
1867		10.1	
1868		10.0	
1869		9.5	
1870		9.5	
1871		9.6	
1872		10.0	
1873		10.4	
1874		10.0	
1875		9.8	
1876		9.8	
1877		9.7	
1878		9.5	
1879		9.1	
1880		9.4	
1881		9.3	
1882		9.4	
1883		9.3	
1884		9.1	
1885		8.8	
1886		8.7	
1887		8.6	
1888		8.7	
1889		8.8	
1890		8.8	
1891		8.9	
1892		8.9	
1893		8.8	
1894		8.7	
1895	8.33333333333333	8.6	
1896	8.33333333333333	8.5	
1897	8.33333333333333	8.7	
1898	8.33333333333333	8.7	
1899	8.33333333333333	8.8	
1900	8.33333333333333	9.2	
1901	8.33333333333333	9.2	
1902	8.66666666666667	9.2	
1903	9	9.3	
1904	9	9.3	
1905	9	9.3	
1906	9	9.3	
1907	9.33333333333333	9.4	
1908	9	9.4	
1909	9	9.5	
1910	9.33333333333333	9.6	
1911	9.33333333333333	9.6	
1912	9.66666666666667	9.9	
1913	9.9	9.8	
1914	10.0	9.8	
1915	10.1	11.0	
1916	10.9	13.0	
1917	12.8	16.3	
1918	15.1	19.9	
1919	17.3	21.9	
1920	20.0	25.3	
1921	17.9	23.1	
1922	16.8	19.9	
1923	17.1	18.7	
1924	17.1	18.6	
1925	17.5	18.6	
1926	17.7	18.5	
1927	17.4	18.0	
1928	17.1	18.0	
1929	17.1	17.8	
1930	16.7	17.3	
1931	15.2	16.6	
1932	13.7	16.2	
1933	13.0	15.8	
1934	13.4	15.8	
1935	13.7	15.9	
1936	13.9	16.0	
1937	14.4	16.6	
1938	14.1	16.8	
1939	13.9	17.3	
1940	14.0	20.2	
1941	14.7	22.4	
1942	16.3	24.0	
1943	17.3	24.8	
1944	17.6	25.5	
1945	18.0	26.2	
1946	19.5	27.0	
1947	22.3	28.9	
1948	24.1	31.1	
1949	23.8	32.0	
1950	24.1	33.0	
1951	26.0	36.0	
1952	26.5	39.3	
1953	26.7	40.5	
1954	26.9	41.3	
1955	26.8	43.1	
1956	27.2	45.3	
1957	28.1	46.9	
1958	28.9	48.4	
1959	29.1	48.6	
1960	29.6	49.1	
1961	29.9	50.8	
1962	30.3	53.0	
1963	30.6	54.0	
1964	31.0	55.8	
1965	31.5	58.4	
1966	32.5	60.7	
1967	33.4	62.3	
1968	34.8	65.2	
1969	36.7	68.7	
1970	38.8	73.1	
1971	40.5	80.0	
1972	41.8	85.7	
1973	44.4	93.5	
1974	49.3	108.5	
1975	53.8	134.8	
1976	56.9	157.1	
1977	60.6	182.0	
1978	65.2	197.1	
1979	72.6	223.5	
1980	82.4	263.7	
1981	90.9	295.0	
1982	96.5	320.4	
1983	99.6	335.1	
1984	103.9	351.8	
1985	107.6	373.2	
1986	109.6	385.9	
1987	113.6	402.0	
1988	118.3	421.7	
1989	124.0	454.5	
1990	130.7	497.5	
1991	136.2	526.7	66.4
1992	140.3	546.4	68.0 
1993	144.5	555.1	69.0 
1994	148.2	568.5	70.8 
1995	152.4	588.2	72.8 
1996	156.9	602.4	77.5 
1997	160.5	621.3	78.3 
1998	163.0	642.6	77.7 
1999	166.6	652.5	76.7 
2000	172.2	671.8	77.2 
2001	177.1	683.7	78.1 
2002	179.9	695.1	79.8 
2003	184.0	715.2	81.9 
2004	188.9	736.5	84.4 
2005	195.3	757.3	87.5 
2006	201.6	781.5	91.2 
2007	207.342	815.0	93.3 
2008	215.303	847.5	99.3 
2009	214.537	843.0	98.2 
2010	218.056	881.9	99.1 
2011	224.939	927.8	100.7 
2012	229.594	957.6	102.0 
2013	232.957	986.7	102.5 
2014	236.736	"1,010.0"	103.7 
2015	237.017	"1,020.0"	102.8
2016	240.007	1030	104
2017	245.120	1057	105
2018	251.107	1080	105
2019	255.657	1100	105
2020	258.660	1109	105
