Table 1
	S$ to Lsd	G$ to Lsd	USD to GBP	Lsd to BHD	USD to BHD
1850					
1851					
1852					
1853					
1854					
1855					
1856					
1857					
1858					
1859					
1860					
1861					
1862					
1863					
1864					
1865					
1866					
1867					
1868					
1869					
1870				5.0	
1871					
1872					
1873					
1874					
1875					
1876					
1877	0/3/6.5				
1878	0/3/4.5				
1879	0/3/4.5				
1880	0/3/4.5				
1881	0/3/4.5				
1882	0/4/1.33333333				
1883	0/3/3.33333333				
1884	0/3/3.33333334				
1885	0/3/2				1.0
1886	0/2/11				1.0
1887	0/2/11			6.5	1.0
1888	0/2/9.5			6.5	1.0
1889	0/2/9.5				1.0
1890	0/3/1			6.5	1.0
1891	0/2/11.25				1.0
1892	0/2/7.5			7.3	1.0
1893	0/2/3.8			9.5	1.0
1894		0/4/1.33333333		4.866?	1.0
1895		0/4/1.33333333			1.0
1896		0/4/1.33333333		4.8	1.0
1897		0/4/1.33333333		4.8	1.0
1898		0/4/1.33333333		4.8	1.0
1899		0/4/1.33333333		4.8	1.0
1900		0/4/1.33333333		4.9	1.0
1901		0/4/1.33333333		4.9	1.0
1902		0/4/1.33333333		4.9	1.0
1903		0/4/1.33333333		4.9	1.0
1904		0/4/1.33333333		4.9	1.0
1905		0/4/1.33333333		4.9	1.0
1906		0/4/1.33333333		4.9	1.0
1907		0/4/1.33333333		4.9	1.0
1908		0/4/1.33333333		4.9	1.0
1909		0/4/1.33333333		4.9	1.0
1910		0/4/1.33333333		4.9	1.0
1911		0/4/1.33333333		4.9	1.0
1912		0/4/1.33333333		4.9	1.0
1913		0/4/1.33333333		4.9	1.0
1914		0/4/1.33333333		4.9	1.0
1915		0/4/1.33333333		4.9	1.0
1916		0/4/1.33333333		4.9	1.0
1917		0/4/1.33333333		4.9	1.0
1918		0/4/1.33333333		4.9	1.0
1919		0/4/1.33333333		4.9	1.0
1920		0/4/1.33333333		4.9	1.0
1921		0/4/1.33333333		4.9	1.0
1922		0/4/1.33333333		4.9	1.0
1923		0/4/1.33333333		4.9	1.0
1924		0/4/1.33333333		4.9	1.0
1925		0/4/1.33333333		4.9	1.0
1926		0/4/1.33333333		4.9	1.0
1927		0/4/1.33333333		4.9	1.0
1928		0/4/1.33333333		4.9	1.0
1929		0/4/1.33333333		4.9	1.0
1930		0/4/1.33333333		4.86	1
1931		0/4/1.33333333		4.9	1.0
1932		0/4/1.33333333		4.9	1.0
1933		0/4/1.33333333		4.9	1.0
1934				4.9	1.0
1935				4.9	1.0
1936				4.9	1.0
1937				4.9	1.0
1938				4.9	1.0
1939					1.0
1940				4.0	1.0
1941				4.0	1.0
1942				4.0	1.0
1943				4.0	1.0
1944				4.0	1.0
1945				4.0	1.0
1946				4.0	1.0
1947				4.0	1.0
1948				4.0	1.0
1949				4.0	1.0
1950				4.0	1.4
1951				4.0	1.4
1952				4.0	1.4
1953				4.0	1.4
1954				4.0	1.4
1955				4.0	1.4
1956				4.0	1.4
1957				4.0	1.4
1958				4.0	1.4
1959				4.0	1.4
1960			0.4	4.0	1.4
1961			0.4	4.0	1.4
1962			0.4	4.0	1.4
1963			0.4	4.0	1.4
1964			0.4	4.0	1.4
1965			0.4	4.0	1.4
1966			0.4	4.0	1.4
1967			0.4	4.0	1.4
1968			0.4	4.0	1.7
1969			0.4	4.0	1.7
1970			0.4	4.0	1.7
1971			0.4	4.0	1.7
1972			0.4	4.0	1.5
1973			0.4	4.0	1.5
1974			0.4	4.0	1.5
1975			0.5	4.0	1.5
1976			0.6	4.0	1.5
1977			0.6	4.0	1.5
1978			0.5		2.0
1979			0.5		2.0
1980			0.4		2.0
1981			0.5		2.0
1982			0.6		2.0
1983			0.7		2.0
1984			0.8		2.0
1985			0.8		2.0
1986			0.7		2.0
1987			0.6		2.0
1988			0.6		2.0
1989			0.6		2.0
1990			0.6		2.0
1991			0.6		2.0
1992			0.6		2.0
1993			0.7		2.0
1994			0.7		2.0
1995			0.6		2.0
1996			0.6		2.0
1997			0.6		2.0
1998			0.6		2.0
1999			0.6		2.0
2000			0.7		2.0
2001			0.7		2.0
2002			0.7		2.0
2003			0.6		2.0
2004			0.5		2.0
2005			0.6		2.0
2006			0.5		2.0
2007			0.5		2.0
2008			0.5		2.0
2009			0.6		2.0
2010			0.6		2.0
2011			0.6		2.0
2012			0.6		2.0
2013			0.6		2.0
2014			0.6		2.0
2015			0.7		2.0
2016			1		2
2017			1		2
2018			1		2
2019			1		2
2020			1		2
