Table 1
	S 1	D	C	S 2	D	C	S 3	D	C	S 4	D	C	S 5	D	C	S 6	D	C	S 7	D	C	A S 1	A S 2	A S 3	A S 4	A S 5	A S 6	A S 7	S S 1	S S 2	S S 3	S S 4	S S 5	S S 6	S S 7	R S 1	R S 2	R S 3	R S 4	R S 5	R S 6	R S 7
1850																																										
1851	U	150	0																										0							0						
1852	U	0	0																										208343.783835654							0.1						
1853																																										
1854																																										
1855																																										
1856																																										
1857	U	150	0	U	0	0																							0	201645.51020471						0	0.1					
1858	U	150	0																										0							0						
1859	U	50	0																										0							0						
1860	U	150	0																										0							0						
1861	U	0	0																										156976.966583767							0.1						
1862																																										
1863																																										
1864	U	0	1																										212308.141164548							0.1						
1865																																										
1866	U	50	1	U	150	0																							0	0						0	0					
1867																																										
1868																																										
1869																																										
1870	U	50	1																										0							0						
1871	U	0	0																										115053.485999949							0.1						
1872																																										
1873																																										
1874	U	50	0																										0							0						
1875																																										
1876	U	0	1																										107333.042518839							0.1						
1877																																										
1878																																										
1879	U	150	1	U	0	0																							0	108629.804186886						0	0.1					
1880	U	0	0	U	150	1	U	150	0																				148280.299974784	0	0					0.1	0	0				
1881	U	150	0																										0							0						
1882																																										
1883	U	150	0																										0							0						
1884																																										
1885																																										
1886																																										
1887	U	150	2	U	0	0	U	50	2	U	150	0	U	150	3														0	118041.408073852	0	0	0			0	0.1	0	0	0		
1888	U	150	0	U	50	0																							0	0						0	0					
1889	U	150	2	U	150	3	U	0	0																				0	0	181309.68964697					0	0	0.1				
1890																																										
1891	U	150	2	U	0	0	U	50	0																				0	176641.424218265	0					0	0.1	0				
1892	U	150	0	U	0	2																							0	146732.527095479						0	0.1					
1893	U	0	1	U	150	0																							134630.608812459	0						0.1	0					
1894	U	0	0																										129331.324961653							0.1						
1895	U	0	0	U	150	0	U	150	0																				186297.444974604	0	0					0.1	0	0				
1896																																										
1897																																										
1898	U	0	1	U	0	0	U	150	0	U	150	0	U	150	2	U	0	0											170289.628192676	170289.628192676	0	0	0	170289.628192676		0.1	0.1	0	0	0	0.1	
1899																																										
1900																																										
1901																																										
1902																																										
1903																																										
1904	U	0	1																										227644.987728							0.1						
1905	U	150	0																										0							0						
1906	U	0	1																										265263.523263839							0.1						
1907																																										
1908																																										
1909	U	150	0																										0							0						
1910																																										
1911																																										
1912																																										
1913	U	150	0	U	150	0																							0	0						0	0					
1914																																										
1915																																										
1916	U	0	0	U	50	2	U	150	0																				231577.241353998	0	0					0.1	0	0				
1917	U	0	0																										200743.894435469							0.1						
1918	U	0	1																										212532.16146919							0.1						
1919																																										
1920	U	50	0																										0							0						
1921	U	0	0																										161691.727117477							0.1						
1922	U	50	0	U	150	2																							0	0						0	0					
1923																																										
1924	U	0	0	U	150	0	U	150	3																				227322.182256161	0	0					0.1	0	0				
1925																																										
1926	U	0	0	U	150	0																							284248.467434034	0						0.1	0					
1927	U	50	0																										0							0						
1928	U	150	0																										0							0						
1929																																										
1930																																										
1931	U	50	0	U	50	0	U	0	0	U	0	4	U	50	0	U	150	0	U	0	0				255256578.947368				0	0	273629.191230058	255256578.947368	0	0	273629.191230058	0	0	0.1	93.2855803139648	0	0	0.1
1932	U	0	0	U	0	0																							184524.186851671	184524.186851671						0.1	0.1					
1933	U	0	0	U	50	1	U	150	4																				114489.49174205	0	0					0.1	0	0				
1934	U	0	1																										121150.043934591							0.1						
1935	U	150	0	U	150	0																							0	0						0	0					
1936	U	50	0	U	50	0																							0	0						0	0					
1937																																										
1938	U	150	3	U	0	0																							0	252087.32785095						0	0.1					
1939	U	0	0																										223921.916829555							0.1						
1940	U	50	0																										0							0						
1941	U	0	1																										223983.569339695							0.1						
1942	U	0	0	U	0	0	U	0	2																				191630.387101739	191630.387101739	191630.387101739					0.1	0.1	0.1				
1943	U	0	0																										268252.723341294							0.1						
1944	U	150	1																										0							0						
1945	U	150	0	U	0	0	U	0	1																				0	343588.027122324	343588.027122324					0	0.1	0.1				
1946	U	50	0																										0							0						
1947	U	150	0																										0							0						
1948																																										
1949	U	150	0																										0							0						
1950																																										
1951	CHARLIE	150	4																										0							0						
1952	U	50	0																										0							0						
1953																																										
1954	GILDA	0	0																										321911.606554487							0.1						
1955	HILDA	150	3	JANET	50	5																	96514925.3731343						0	96514925.3731343						0	25.969827678461					
1956	FLOSSY	0	0																										405345.511759375							0.1						
1957																																										
1958	GERDA	0	0																										405540.36666319							0.1						
1959																																										
1960	ABBY	0	1																			1173030.04018461							1173030.04018461							0.238892759634679						
1961	ANNA	0	1	HATTIE	0	5																	1038389741						518578	1038389741						0	200					
1962																																										
1963																																										
1964	U	150	0	U	0	0																							0	603669						0	0					
1965	DEBBIE	150	0																										0							0						
1966																																										
1967																																										
1968	ABBY	150	0																										0							0						
1969	FRANCELIA	0	3	LAURIE	150	0																							667116	0						0	0					
1970	ELLA	150	0																										0							0						
1971	CHLOE	0	0	EDITH	0	1	U	150	0	LAURA	0	0																	756430	756430	0	756430				0	0	0	0			
1972	AGNES	150	0																										0							0						
1973	U	150	0																										0							0						
