Table 1
	S 1	D	C	S 2	D	C	S 3	D	C	S 4	D	C	S 5	D	C	S 6	D	C	S 7	D	C	A S 1	A S 2	A S 3	A S 4	A S 5	A S 6	A S 7	S S 1	S S 2	S S 3	S S 4	S S 5	S S 6	S S 7	R S 1	R S 2	R S 3	R S 4	R S 5	R S 6	R S 7
1850																																										
1851	U	150	0																										0							0.0						
1852	U	0	0																										0.2							0.0						
1853																																										
1854																																										
1855																																										
1856																																										
1857	U	150	0	U	0	0																							0	0.2						0.0	0.0					
1858	U	150	0																										0							0.0						
1859	U	50	0																										0							0.0						
1860	U	150	0																										0							0.0						
1861	U	0	0																										0.3							0.0						
1862																																										
1863																																										
1864	U	0	1																										0.3							0.0						
1865																																										
1866	U	50	1	U	150	0																							0	0						0.0	0.0					
1867																																										
1868																																										
1869																																										
1870	U	50	1																										0							0.0						
1871	U	0	0																										0.2							0.0						
1872																																										
1873																																										
1874	U	50	0																										0							0.0						
1875																																										
1876	U	0	1																										0.3							0.0						
1877																																										
1878																																										
1879	U	150	1	U	0	0																							0	0.3						0.0	0.0					
1880	U	0	0	U	150	1	U	150	0																				0.3	0	0					0.0	0.0	0.0				
1881	U	150	0																										0							0.0						
1882																																										
1883	U	150	0																										0							0.0						
1884																																										
1885																																										
1886																																										
1887	U	150	2	U	0	0	U	50	2	U	150	0	U	150	3														0	0.3	0	0	0			0.0	0.0	0.0	0.0	0.0		
1888	U	150	0	U	50	0																							0	0						0.0	0.0					
1889	U	150	2	U	150	3	U	0	0																				0	0	0.3					0.0	0.0	0.0				
1890																																										
1891	U	150	2	U	0	0	U	50	0																				0	0.3	0					0.0	0.0	0.0				
1892	U	150	0	U	0	2																							0	0.3						0.0	0.0					
1893	U	0	1	U	150	0																							0.3	0						0.0	0.0					
1894	U	0	0																										0.3							0.0						
1895	U	0	0	U	150	0	U	150	0																				0.3	0	0					0.0	0.0	0.0				
1896																																										
1897																																										
1898	U	0	1	U	0	0	U	150	0	U	150	0	U	150	2	U	0	0											0.4	0.4	0	0	0	0.4		0.0	0.0	0.0	0.0	0.0	0.0	
1899																																										
1900																																										
1901																																										
1902																																										
1903																																										
1904	U	0	1																										0.383727							0.01						
1905	U	150	0																										0							0						
1906	U	0	1																										0.389685							0.01						
1907																																										
1908																																										
1909	U	150	0																										0							0						
1910																																										
1911																																										
1912																																										
1913	U	150	0	U	150	0																							0	0						0	0					
1914																																										
1915																																										
1916	U	0	0	U	50	2	U	150	0																				0.428875	0	0					0.01	0	0				
1917	U	0	0																										0.433734							0.01						
1918	U	0	1																										0.438593							0.01						
1919																																										
1920	U	50	0																										0							0						
1921	U	0	0																										0.45317							0.01						
1922	U	50	0	U	150	2																							0	0						0	0					
1923																																										
1924	U	0	0	U	150	0	U	150	3																				0.47126	0	0					0.01	0	0				
1925																																										
1926	U	0	0	U	150	0																							0.48332	0						0.01	0					
1927	U	50	0																										0							0						
1928	U	150	0																										0							0						
1929																																										
1930																																										
1931	U	50	0	U	50	0	U	0	0	U	0	4	U	50	0	U	150	0	U	0	0				2500				0	0	0.51347	2500	0	0	0.51347	0	0	0.01	48.6883362221746	0	0	0.01
1932	U	0	0	U	0	0																							0.5	0.5						0.0	0.0					
1933	U	0	0	U	50	1	U	150	4																				0.5	0	0					0.0	0.0	0.0				
1934	U	0	1																										0.5							0.0						
1935	U	150	0	U	150	0																							0	0						0.0	0.0					
1936	U	50	0	U	50	0																							0	0						0.0	0.0					
1937																																										
1938	U	150	3	U	0	0																							0	0.6						0.0	0.0					
1939	U	0	0																										0.6							0.0						
1940	U	50	0																										0							0.0						
1941	U	0	1																										0.6							0.0						
1942	U	0	0	U	0	0	U	0	2																				0.6	0.6	0.6					0.0	0.0	0.0				
1943	U	0	0																										0.6							0.0						
1944	U	150	1																										0							0.0						
1945	U	150	0	U	0	0	U	0	1																				0	0.6	0.6					0.0	0.0	0.0				
1946	U	50	0																										0							0.0						
1947	U	150	0																										0							0						
1948																																										
1949	U	150	0																										0							0.0						
1950																																										
1951	CHARLIE	150	4																										0							0.0						
1952	U	50	0																										0							0.0						
1953																																										
1954	GILDA	0	0																										0.8							0.0						
1955	HILDA	150	3	JANET	50	5																	16						0	16						0.0	0.2					
1956	FLOSSY	0	0																										0.8							0.0						
1957																																										
1958	GERDA	0	0																										0.9							0.0						
1959																																										
1960	ABBY	0	1																			0							0							0.0						
1961	ANNA	0	1	HATTIE	0	5																	307						0.9	307						0.0	3.3					
1962																																										
1963																																										
1964	U	150	0	U	0	0																							0	1.0						0.0	0.0					
1965	DEBBIE	150	0																										0							0.0						
1966																																										
1967																																										
1968	ABBY	150	0																										0							0.0						
1969	FRANCELIA	0	3	LAURIE	150	0																							1.2	0						0.0	0.0					
1970	ELLA	150	0																										0							0.0						
1971	CHLOE	0	0	EDITH	0	1	U	150	0	LAURA	0	0																	1.2	1.2	0	1.2				0.0	0.0	0.0	0.0			
