Table 1
Name	Start	Parliament	150 mi	50 mi	0 mi	EM-DAT	EM-DAT Loss	EM-DAT Loss unit	EM-DAT Deaths	Max wind	Min press	Max cat w/in	Data	Loss	Loss unit	Deaths
U	29 Jun 1851	1	1							80	-1					
U	21 Sep 1852	1	1	1	1					55	-1					
U	16 Aug 1857	3	1							65	-1					
U	7 Sep 1857	3	1	1	1					55	-1					
U	10 Jun 1858	3	1							55	-1					
U	20 Jun 1859	3	1	1						80	990					
U	25 Jul 1860	3	1							75	-1					
U	28 Jul 1861	4	1	1	1					45	-1					
U	26 Aug 1864	4	1	1	1					70	-1	1				
U	13 Aug 1866	5	1	1						90	-1	1				
U	17 Aug 1866	5	1							65	-1					
U	30 Oct 1870	Council	1	1						70	-1	1				
U	16 Sep 1871	Council	1	1	1					45	-1					
U	25 Sep 1874	Council	1	1						80	980					
U	17 Jul 1876	Council	1	1	1					75	-1	1				
U	19 Aug 1879	Council	1							90	964	1				
U	10 Sep 1879	Council	1	1	1					80	-1					
U	9 Jun 1880	Council	1	1	1					45	-1					
U	4 Aug 1880	Council	1							95	-1	1				
U	5 Oct 1880	Council	1							70	-1					
U	16 Aug 1881	Council	1							70	-1					
U	16 Sep 1883	Council	1							50	-1					
U	20 Jul 1887	Council	1							85	-1	2				
U	2 Aug 1887	Council	1	1	1					55	-1					
U	6 Oct 1887	Council	1	1						65	-1	2				
U	6 Oct 1887	Council	1							50	-1					
U	9 Oct 1887	Council	1							100	-1	3				
U	19 Aug 1888	Council	1							45	-1					
U	8 Oct 1888	Council	1	1						60	-1					
U	12 Sep 1889	Council	1							95	-1	2				
U	14 Sep 1889	Council	1							100	-1	3				
U	15 Oct 1889	Council	1	1	1					50	-1					
U	5 Oct 1891	Council	1							120	951	2				
U	14 Oct 1891	Council	1	1	1					55	-1					
U	23 Oct 1891	Council	1	1						55	-1					
U	23 Sep 1892	Council	1							55	-1					
U	5 Oct 1892	Council	1	1	1					85	-1	2				
U	4 Jul 1893	Council	1	1	1					85	-1	1				
U	4 Sep 1893	Council	1							85	-1					
U	9 Sep 1894	Council	1	1	1					55	-1					
U	25 Sep 1895	Council	1	1	1					55	982					
U	28 Sep 1895	Council	1							50	-1					
U	2 Oct 1895	Council	1							35	-1					
U	2 Sep 1898	Council	1	1	1					75	-1	1				
U	12 Sep 1898	Council	1	1	1					50	-1					
U	20 Sep 1898	Council	1							50	-1					
U	21 Oct 1898	Council	1							40	-1					
U	27 Oct 1898	Council	1							85	-1	2				
U	27 Oct 1898	Council	1	1	1					50	-1					
U	28 Sep 1904	Council	1	1	1					70	-1	1				
U	24 Sep 1905	Council	1							45	-1					
U	8 Oct 1906	Council	1	1	1					105	953	1				
U	6 Aug 1909	Council	1							40	1004					
