Table 1
Start	Type	Damage	Description	Source for non-storm disasters		
1854	Biological		Outbreak of cholera (possible)	"Sir J.A. Burdon, Archives v 3, p. 174"		
1931		"BZD	255,256,578.95"	U			
1955		"BZD	96,514,925.37"	JANET			
1960		"BZD	1,173,030.04"	ABBY			
1961		"BZD	1,038,389,740.73"	HATTIE			
1974		"BZD	41,966,131.49"	FIFI			
1978		"BZD	198,257,537.05"	GRETA			
1998		"BZD	158,679.00"	MITCH			
2000		"BZD	841,311,627.80"	KEITH			
2001		"BZD	29,742,004.52"	CHANTAL			
2001		"BZD	644,295,433.70"	IRIS			
2007		"BZD	241,216,912.60"	DEAN			
2008		"BZD	187,415,194.90"	ARTHUR			
2010		"BZD	2,965,529.42"	ALEX			
2010		"BZD	74,554,351.45"	RICHARD			
2012		"BZD	784,010.43"	ERNESTO			
2016		"BZD	191,040,275.55"	EARL			
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
			0	Storms		
			"BZD	1,792,036,284.19"	Diseases		
			"BZD	1,954,533,712.96"	Hostilities		
			"BZD	1,957,040.47"	Other		
