Table 1
Start	Type	Subtype	R Deaths	E Deaths	R Damage	E Damage	Description	Source for non-storm disasters	Source for multiplier	
1701	Anthropological	Raid		0			"Raid on Belize River by the Spanish; “have burnt Houses, and drove away the People”"	"Flying Post, 24 to 27 May 1701 p. 1 issue 944"	"Houses est. at 15; cost at 100L; Account of logwood sold at 4/10/0 Jamaica 1712 currency per tonne, in Nathaniel Uring A history of the voyages and travels of Capt. Nathaniel Uring 1726 p. 246; later average given as 5/0/0 Jamaica 1719 currency per tonne, in ibid. p. 355; 1000 tonne, under 15L, in 1690, per M. A. Camille & R. Espejo-Saavedra Historical Geography of the Belizean Logwood Trade 1996 p 78"	
1715	Natural	Famine		38			Famine from unknown causes; “several Negroes dyed”	The Boston News-Letter 19 Sep 1715 p. 2		
1716	Anthropological	Raid		0			"Raid in Feb on Belize River by the Spanish; “captivated 150 Men Whites and Blacks, burnt all the Logwood, destroy’d the Craft, took a Pink and Sloop … burnt the Hulks and a Snow … took also a Vessel of Marooners that belonged to the Bay”"	The Boston News-Letter 7 May 1716 p. 2 issue 629; Mercurius Politicus for May 1716 v 1 p 132		
1716	Anthropological	Raid		0			"Raid in Nov. on Belize River by the Spanish; “took upwards of 20 Sail … drove the People … from their Settlements” (date given 1718 in AB); “Log-Wood Bay was cut off, Anno 1717”"	"The state of the island of Jamaica by A. B. 1726 p. 15; A summary, historical and political, of the first planting, progressive improvements, and present state of the British settlements in North-America by William Douglas v II part I p. 88; The Boston News-Letter 8 Apr 1717 p 2 issue 677"	"5863 tonnes logwood imported into Port London, at 5L per tonne; per A summary, historical and political, of the first planting, progressive improvements, and present state of the British settlements in North-America by William Douglas v II part I p. 88"	
1723	Anthropological	Raid		0			Raid in Feb Belize River by the Spanish; “seized 7 or 8 English Sloops … the Men were taken … as slaves”; “took upwards of 20 Sail … drove the People … from their Settlements” (date given 1724 in AB)	Parker’s London News / Impartial Intelligencer issue 883; Daily Post 27 Jun 1723 issue 1169; Weekly Journal / Saturday’s Post 27 Jul 1723 issue 248; New England Courant 13 to 20 May 1723 94; The state of the island of Jamaica by A. B. 1726 p. 15; The BOSTON News-Letter 16 May 1723 p. 4 issue 1007		
1723	Technological	Wreck		0			Shipwreck “Elizabeth” of Liverpool	Daily Courant 27 Jul 1723 6791		
1725	Anthropological	Engagement		0			Raid & confrontation with pirates; “took 10 or 12 English Ships” 	Weekly Journal / Saturday’s Post 30 Jan 1725 issue 327		
1726	Anthropological	Engagement		13			Confrontation with Spanish; “had taken several small Craft … murdered their [Crafts’] People”	British Journal 12 Feb 1726 179		
1725	Technological	Wreck		0			Shipwreck off Glover’s Reef	Daily Post 12 Jul 1725 1808		
1726	Anthropological	Engagement		0			"Confrontation with Spanish, losses recovered"	Daily Courant 22 Jun 1726 7701	"price of logwood given as 9L per tonne 1726 currency, 12000 tonnes export upper bound or average from settlement at Belize River, 108,000L in trade, in The state of the island of Jamaica by A. B. 1726 p. 16"	
1728	Anthropological	Engagement		0			Raid on Belize River by the Spanish; “sharp Engagement”	Daily Journal issue 28 Feb 1728 2224		
1728	Anthropological	Raid					Raid by Spanish; “taken six English Ships and Sloops”	Daily Journal issue 16 Jan 1729 2504		
1729	Anthropological	Raid		0			"Raid on New River & Hondo & in 1730 on Belize by Spanish; “taken all Vessels … burnt … about 12 to 16,000 Tons of Wood”; “they carried off about 30 White Men” from New River; “made a great many of the English and their Negroes Prisoners”; “several … ships and sloops … taken”; at least 1 ship, 2 brigantines, 2 sloops; expulsion of Baymen remaining in woods in Jun 1730 by 31 Jan 1731; by 23 May 1731 “all the Bay Men were gone except eight or nine”; “remains … 30 Persons”; in 8 Oct 1733 “two Families left in the Bay”; by 20 Oct 1735 “the Fleet was there [Belize River] … [and] had met no Disturbance from the Spaniards”; by 7 Sep 1736, letter signed by 7 settlers at “Rivers Mouth of Beleeze” re. counterfeit money used by William Bunn "	London Journal 11 Oct 1729 532 p. 5; Read’s Weekly Journal / British Gazetteer 375;  Grub Street Journal 70; London Evening Post 11 to 13 May 1731 p. 1 539; New England Weekly Journal 26 Jul 1731 issue CCXXVII p. 2; The Weekly Rehearsal 4 Oct 1731 p 2 issue 2; Universal Spectator / Weekly Journal 198; Read’s Weekly Journal / British Gazetteer 27 May 1732 375; The Boston Weekly News-Letter 21 Sep 1732 p 1 issue 1495; 5 Oct 1732 p 1 issue 1497; The Weekly Rehearsal 8 Oct 1733 p 2 issue 106; The Boston Gazette 20 Oct 1735 p 3 issue 824; The Boston Evening Post 22 Sep 1736 p 2 issue 67		
1730	Anthropological	Engagement		0			Confrontation in Feb with Spanish at Belize River; losses recovered	Daily Journal 13 Aug 1730 p. 2 2996	"English Ships taken at Bay between Feb 1715 to Jun 1730 = 74 vessels = c. 1,239,000L 1730 currency, plus same amount in cargo; in Galfridus Gray to the Council of Trade and Plantations in UK NA CO 388/89, ff. 182-185"	
1731	Anthropological	Engagement	2	2			Attack in March by Glover’s Reef on John & Jane ship by Spanish; “several were killed” of “about 30 Men … [and] some Women”	Daily Journal 24 Sep 1731 3345; London Evening Post 607		
1732	Technological	Wreck		0			Shipwreck	Daily Journal 11 Jul 1733 3910		
1733	Technological	Wreck		0			Shipwreck	Daily Journal 24 Nov 1733 4011		
1736	Biological	Outbreak		58			"Outbreak of illness (possibly); “It has been very sickly in the Bay, and abundance of Bay-Men have died (especially the chief of them) as well as those belonging to the vessels”"	New-York Weekly Journal 26 Sep 1737 p 3 issue 203		
1737	Anthropological	Engagement		0			Attack in April by Spanish in Belize River; “long and smart Fight”; “burnt abundance of Logwood”	"New England Weekly Journal 14 Jun 1737 p 2 issue 532; New York Weekly Journal 26 Sep 1737 p 3 issue 203, 10 Oct 1737 p 2 issue 205"		
1739	Anthropological	Raid		0			Ship seizures during War of Jenkins’ Ear; 6 “small Brigantines” seized; loss est. 3000L 1742 currency per ship	"The profit and loss of Great-Britain and Spain : from the commencement of the present war, to this time, impartially stated … by Philalethes 1742 p. 7; The Champion: containing a series of papers, humorous, moral, political and critical: volume 2 1740 p 290"	"7L 1739 currency per tonne, small ships being < 150 tonnes, est. by George Lyttleton 1739 in “Farther considerations on the present state of affairs, at home and abroad, as affected by the late convention, in a letter to the minister” p. 47; “chip’d Wood Eight Pounds per Ton” 1743 currency in Boston Evening-Post 9 Jan 1744 p 4 issue 440"	
