Table 1
Start	Type	Deaths	Damage	unit	Multiplier	Damage	unit	year	Damage 2020	Description	Source for non-storm disasters	Source for multiplier	
1701	Anthropological	0	90	pc houses	100	1350	Lsd	1856	"365,687"	"Raid on Belize River by the Spanish; “have burnt Houses, and drove away the People”"	"Flying Post, 24 to 27 May 1701 p. 1 issue 944"	"Houses est. at 15; cost at 100L; Account of logwood sold at 4/10/0 Jamaica 1712 currency per tonne, in Nathaniel Uring A history of the voyages and travels of Capt. Nathaniel Uring 1726 p. 246; later average given as 5/0/0 Jamaica 1719 currency per tonne, in ibid. p. 355"	
1715		7								Famine from unknown causes; “several Negroes dyed”	The Boston News-Letter 19 Sep 1715 p. 2		
1716		0			600	0			0	"Raid in Feb on Belize River by the Spanish; “captivated 150 Men Whites and Blacks, burnt all the Logwood, destroy’d the Craft, took a Pink and Sloop … burnt the Hulks and a Snow … took also a Vessel of Marooners that belonged to the Bay”"	The Boston News-Letter 7 May 1716 p. 2 issue 629		
1717					600	0			0	"Raid on Belize River by the Spanish; “took upwards of 20 Sail … drove the People … from their Settlements” (date given 1718 in AB); “Log-Wood Bay was cut off, Anno 1717”"	"The state of the island of Jamaica by A. B. 1726 p. 15; A summary, historical and political, of the first planting, progressive improvements, and present state of the British settlements in North-America by William Douglas v II part I p. 88"	"5863 tonnes logwood imported into Port London, at 5L per tonne; per A summary, historical and political, of the first planting, progressive improvements, and present state of the British settlements in North-America by William Douglas v II part I p. 88"	
1723	Anthropological	0	7	sloops	600	4200	Lsd	1826	"1,047,876"	Raid on Belize River by the Spanish; “seized 7 or 8 English Sloops … the Men were taken … as slaves”; “took upwards of 20 Sail … drove the People … from their Settlements” (date given 1724 in AB)	"Parker’s London News / Impartial Intelligencer issue 883; Daily Post, issue 1169; Weekly Journal / Saturday’s Post issue 248; New England Courant 13 to 20 May 1723 94; The state of the island of Jamaica by A. B. 1726 p. 15; The BOSTON News-Letter 16 May 1723 p. 4 issue 1007"		
1723	Technological	0	1	ships	600	600	Lsd	1826	"149,697"	Shipwreck “Elizabeth” of Liverpool	Daily Courant 6791		
1725	Anthropological	0	11	ships	600	6600	Lsd	1826	"1,646,663"	Raid & confrontation with pirates; “took 10 or 12 English Ships” 	Weekly Journal / Saturday’s Post its 327		
1725	Technological	0	3	ships	600	1800	Lsd	1826	"449,090"	Shipwreck off Glover’s Reef	Daily Post 1808		
1725	Anthropological	7	3	ships	600	1800	Lsd	1826	"449,090"	Confrontation with Spanish; “had taken several small Craft … murdered their [Crafts’] People”	British Journal 179		
1726	Anthropological	0	0	Lsd		0	Lsd	1826	0	"Confrontation with Spanish, losses recovered"	Daily Courant 7701	"price of logwood given as 5L per tonne 1726 currency, 12000 tonnes export upper bound or average from settlement at Belize River, 108,000L in trade, in The state of the island of Jamaica by A. B. 1726 p. 16"	
1728	Anthropological	0	6	ships	600	3600	Lsd	1826	"898,180"	Raid on Belize River by the Spanish; “sharp Engagement”	Daily Journal issue 2224; 2504		
1729	Anthropological	0	140 / 14000 / 500000	ship / tonnes wood / Quintals logwood	600	84000	Lsd	1826	"20,957,527"	"Raid on New River & Hondo & Belize by Spanish; “taken all Vessels … burnt … about 12 to 16,000 Tons of Wood”; “they carried off about 30 White Men” from New River"	London Journal 532; Read’s Weekly Journal / British Gazetteer 375		
1730	Anthropological	0	0	ships	600	0	Lsd	1826	0	"Confrontation with Spanish, losses recovered"	Daily Journal 2996		
1731	Anthropological	0	3	ships	600	1800	Lsd	1826	"449,090"	Raid by Spanish; “several … ships and sloops … taken”	Grub Street Journal 70		
1731	Anthropological	2	1	ship	600	600	Lsd	1826	"149,697"	Attack at sea on John & Jane ship by Spanish; “several were killed”	Daily Journal 3345; London Evening Post 607		
1732	Anthropological	0	6	ships	600	3600	Lsd	1826	"898,180"	Raid by Spanish; “all the Bay Men were gone except eight or nine”; “remains … 30 Persons”	Universal Spectator / Weekly Journal 198; Read’s Weekly Journal / British Gazetteer 27 May 1732 375		
1732	Technological	0	2	ships	600	1200	Lsd	1826	"299,393"	Shipwreck	Daily Journal 3910		
1733	Technological	0	3	ships	600	1800	Lsd	1826	"449,090"	Shipwreck	Daily Journal 4011		
