Table 1
	S$ to Lsd	G$ to Lsd	USD to GBP	Lsd to BHD	USD to BHD
1832					
1833					
1834					
1835					
1836					
1837					
1838					
1839					
1840					
1841					
1842					
1843					
1844					
1845					
1846					
1847					
1848					
1849					
1850					
1851					
1852					
1853					
1854				5.0000	
1855				5.0000	
1856				5.0000	
1857				5.0000	
1858				5.0000	
1859				5.0000	
1860				5.0000	
1861				5.0000	
1862				5.0000	
1863				5.0000	
1864				5.0000	
1865				5.0000	
1866				5.0000	
1867				5.0000	
1868				5.0000	
1869				5.0000	
1870				5.0000	
1871					
1872					
1873					
1874					
1875					
1876					
1877	0/3/6.5				
1878	0/3/4.5				
1879	0/3/4.5				
1880	0/3/4.5				
1881	0/3/4.5				
1882	0/4/1.33333333				
1883	0/3/3.33333333				
1884	0/3/3.33333334				
1885	0/3/2				1.000
1886	0/2/11				1.000
1887	0/2/11			6.4865	1.000
1888	0/2/9.5			6.4900	1.000
1889	0/2/9.5				1.000
1890	0/3/1			6.4900	1.000
1891	0/2/11.25				1.000
1892	0/2/7.5			7.2700	1.000
1893	0/2/3.8			9.5000	1.000
1894		0/4/1.33333333		4.866?	1.000
1895		0/4/1.33333333			1.000
1896		0/4/1.33333333		4.8485	1.000
1897		0/4/1.33333333		4.8485	1.000
1898		0/4/1.33333333		4.8485	1.000
1899		0/4/1.33333333		4.8485	1.000
1900		0/4/1.33333333		4.8600	1.000
1901		0/4/1.33333333		4.8600	1.000
1902		0/4/1.33333333		4.8600	1.000
1903		0/4/1.33333333		4.8600	1.000
1904		0/4/1.33333333		4.8600	1.000
1905		0/4/1.33333333		4.8600	1.000
1906		0/4/1.33333333		4.8600	1.000
1907		0/4/1.33333333		4.8600	1.000
1908		0/4/1.33333333		4.8600	1.000
1909		0/4/1.33333333		4.8600	1.000
1910		0/4/1.33333333		4.8600	1.000
1911		0/4/1.33333333		4.8600	1.000
1912		0/4/1.33333333		4.8600	1.000
1913		0/4/1.33333333		4.8600	1.000
1914		0/4/1.33333333		4.8600	1.000
1915		0/4/1.33333333		4.8600	1.000
1916		0/4/1.33333333		4.8600	1.000
1917		0/4/1.33333333		4.8600	1.000
1918		0/4/1.33333333		4.8600	1.000
1919		0/4/1.33333333		4.8600	1.000
1920		0/4/1.33333333		4.8600	1.000
1921		0/4/1.33333333		4.8600	1.000
1922		0/4/1.33333333		4.8600	1.000
1923		0/4/1.33333333		4.8600	1.000
1924		0/4/1.33333333		4.8600	1.000
1925		0/4/1.33333333		4.8600	1.000
1926		0/4/1.33333333		4.8600	1.000
1927		0/4/1.33333333		4.8600	1.000
1928		0/4/1.33333333		4.8600	1.000
1929		0/4/1.33333333		4.8600	1.000
1930		0/4/1.33333333		4.8600	1.000
1931		0/4/1.33333333		4.8600	1.000
1932		0/4/1.33333333		4.8600	1.000
1933		0/4/1.33333333		4.8600	1.000
1934				4.8600	1.000
1935				4.8600	1.000
1936				4.8600	1.000
1937				4.8600	1.000
1938				4.8600	1.000
1939					1.000
1940				4.0300	1.000
1941				4.0300	1.000
1942				4.0300	1.000
1943				4.0300	1.000
1944				4.0300	1.000
1945				4.0300	1.000
1946				4.0300	1.000
1947				4.0300	1.000
1948				4.0300	1.000
1949				4.0300	1.000
1950				4.0000	1.429
1951				4.0000	1.429
1952				4.0000	1.429
1953				4.0000	1.429
1954				4.0000	1.429
1955				4.0000	1.429
1956				4.0000	1.429
1957				4.0000	1.429
1958				4.0000	1.429
1959				4.0000	1.429
1960			0.3562	4.0000	1.429
1961			0.3569	4.0000	1.429
1962			0.3562	4.0000	1.429
1963			0.3571	4.0000	1.429
1964			0.3582	4.0000	1.429
1965			0.3577	4.0000	1.429
1966			0.3580	4.0000	1.429
1967			0.3649	4.0000	1.429
1968			0.4178	4.0000	1.667
1969			0.4183	4.0000	1.667
1970			0.4174	4.0000	1.667
1971			0.4092	4.0000	1.667
1972			0.4003	4.0000	1.540
1973			0.4080	4.0000	1.540
1974			0.4275	4.0000	1.540
1975			0.4524	4.0000	1.540
1976			0.5567	4.0000	1.540
1977			0.5730	4.0000	1.540
1978			0.5215		2.000
1979			0.4720		2.000
1980			0.4303		2.000
1981			0.4980		2.000
1982			0.5729		2.000
1983			0.6601		2.000
1984			0.7517		2.000
1985			0.7785		2.000
1986			0.6820		2.000
1987			0.6116		2.000
1988			0.5621		2.000
1989			0.6114		2.000
1990			0.5632		2.000
1991			0.5674		2.000
1992			0.5698		2.000
1993			0.6661		2.000
1994			0.6533		2.000
1995			0.6338		2.000
1996			0.6409		2.000
1997			0.6106		2.000
1998			0.6036		2.000
1999			0.6182		2.000
2000			0.6614		2.000
2001			0.6946		2.000
2002			0.6665		2.000
2003			0.6125		2.000
2004			0.5459		2.000
2005			0.5503		2.000
2006			0.5435		2.000
2007			0.4997		2.000
2008			0.5451		2.000
2009			0.6406		2.000
2010			0.6478		2.000
2011			0.6239		2.000
2012			0.6313		2.000
2013			0.6397		2.000
2014			0.6074		2.000
2015			0.6543		2.000
2016			0.7409		2.000
2017			0.7770		2.000
2018			0.7499		2.000
2019			0.7842		2.000
2020			0.7796		2.000
