Table 1
	Censuses	Estimates	
1700		257	
1701		0	
1702		257	
1703		257	
1704		256	
1705		256	
1706		255	
1707		255	
1708		254	
1709		254	
1710		253	
1711		253	
1712		20	
1713		203	
1714		190	
1715		220	
1716		250	
1717		0	
1718		250	
1719		306	
1720		363	
1721		419	
1722		475	
1723		0	
1724		363	
1725		380	
1726		395	
1727		410	
1728		425	
1729		440	
1730		455	
1731		19	
1732		17	
1733		14	
1734		12	
1735		363	
1736		401	
1737		440	
1738		479	
1739		518	
1740		557	
1741		596	
1742		634	
1743		673	
1744		712	
1745		751	
1746		790	
1747		829	
1748		867	
1749		906	
1750		945	
1751		984	
1752		"1,058"	
1753		"1,131"	
1754		0	
1755		"1,205"	
1756		"1,400"	
1757		"1,425"	
1758		184	
1759		117	
1760		"1,205"	
1761		"1,278"	
1762		"1,352"	
1763		"1,425"	
1764		"1,465"	
1765		"1,504"	
1766		"1,544"	
1767		"1,583"	
1768		"1,623"	
1769		"1,662"	
1770		"1,702"	
1771		"1,741"	
1772		"1,781"	
1773		"1,821"	
1774		"1,860"	
1775		"1,900"	
1776		"1,939"	
1777		"1,979"	
1778		"2,018"	
1779		0	
1780		0	
1781		0	
1782		"1,939"	
1783		"2,008"	
1784		"2,078"	
1785		"2,147"	
1786		"2,216"	
1787		"3,348"	
1788		"3,063"	
1789		"2,778"	
1790	2493	"2,493"	
1791		"2,606"	
1792		"2,719"	
1793		"2,831"	
1794		"2,944"	
1795		"3,057"	
1796		"3,170"	
1797		"3,282"	
1798		"3,395"	
1799		"3,508"	
1800		"3,621"	
1801		"3,733"	
1802		"3,846"	
1803		"3,959"	
1804		"3,914"	
1805		"3,869"	
1806	3824	"3,824"	
1807		"3,841"	
1808		"3,857"	
1809		"3,874"	
1810		"3,891"	
1811		"3,907"	
1812		"3,924"	
1813		"3,941"	
1814		"3,957"	
1815		"3,974"	
1816		"3,990"	
1817		"4,007"	
1818		"4,024"	
1819		"4,040"	
1820		"4,057"	
1821		"4,074"	
1822		"4,090"	
1823	4107	"4,107"	
1824		"4,622"	
1825		"5,138"	
1826	5653	"5,653"	
1827		"5,180"	
1828		"4,708"	
1829	4235	"4,235"	
1830		"4,336"	
1831		"4,436"	
1832	4537	"4,537"	
1833		"3,872"	
1834		"3,208"	
1835	2543	"2,543"	
1836		"3,492"	
1837		"4,440"	
1838		"5,389"	
1839		"6,338"	
1840		"7,286"	
1841	8235	"8,235"	
1842		"8,718"	
1843		"9,201"	
1844		"9,685"	
1845		"10,168"	
1846		"10,651"	
1847		"11,134"	
1848		"11,618"	
1849		"12,101"	
1850		"12,584"	
1851		"13,067"	
1852		"13,550"	
1853		"14,034"	
1854		"14,517"	
1855		"15,000"	
1856		"16,773"	
1857		"18,545"	
1858		"20,318"	
1859		"22,090"	
1860		"23,863"	
1861	25635	"25,635"	
1862		"25,543"	
1863		"25,450"	
1864		"25,358"	
1865		"25,265"	
1866		"25,173"	
1867		"25,080"	
1868		"24,988"	
1869		"24,895"	
1870		"24,803"	
1871	24710	"24,710"	
1872		"24,984"	
1873		"25,258"	
1874		"25,533"	
1875		"25,807"	
1876		"26,081"	
1877		"26,355"	
1878		"26,629"	
1879		"26,904"	
1880		"27,178"	
1881	27452	"27,452"	
1882		"27,854"	
1883		"28,256"	
1884		"28,658"	
1885		"29,060"	
1886		"29,462"	
1887		"29,863"	
1888		"30,265"	
1889		"30,667"	
1890		"31,069"	
1891	31471	"31,471"	
1892		"32,072"	
1893		"32,673"	
1894		"33,273"	
1895		"33,874"	
1896		"34,475"	
1897		"35,076"	
1898		"35,677"	
1899		"36,277"	
1900		"36,878"	
1901	37479	"37,479"	
1902		"37,777"	
1903		"38,075"	
1904		"38,373"	
1905		"38,671"	
1906		"38,969"	
1907		"39,266"	
1908		"39,564"	
1909		"39,862"	
1910		"40,160"	
1911	40458	"40,458"	
1912		"40,944"	
1913		"41,430"	
1914		"41,916"	
1915		"42,402"	
1916		"42,888"	
1917		"43,373"	
1918		"43,859"	
1919		"44,345"	
1920		"44,831"	
1921	45317	"45,317"	
1922		"45,920"	
1923		"46,523"	
1924		"47,126"	
1925		"47,729"	
1926		"48,332"	
1927		"48,935"	
1928		"49,538"	
1929		"50,141"	
1930		"50,744"	
1931	51347	"51,347"	
1932		"51,872"	
1933		"52,397"	
1934		"52,922"	
1935		"53,446"	
1936		"53,971"	
1937		"54,496"	
1938		"55,021"	
1939		"55,546"	
1940		"56,071"	
1941		"56,596"	
1942		"57,121"	
1943		"57,645"	
1944		"58,170"	
1945		"58,695"	
1946	59220.0	"59,220"	
1947		"59,998"	
1948		"60,776"	
1949		"65,354"	
1950		"68,915"	
1951		"70,741"	
1952		"73,171"	
1953		"75,778"	
1954		"78,094"	
1955		"80,888"	
1956		"82,333"	
1957		"85,098"	
1958		"88,156"	
1959		"89,486"	
1960	90505	"90,508"	
1961		"93,586"	
1962		"98,453"	
1963		"100,165"	
1964		"103,069"	
1965		"106,120"	
1966		"109,348"	
1967		"112,707"	
1968		"116,065"	
1969		"119,269"	
1970		"122,184"	
1971		"124,795"	
1972		"127,152"	
1973		"129,294"	
1974		"131,305"	
1975		"133,264"	
1976		"135,143"	
1977		"136,990"	
1978		"138,975"	
1979		"141,302"	
1980		"144,142"	
1981		"147,572"	
1982		"151,486"	
1983		"155,820"	
1984		"160,341"	
1985		"164,918"	
1986		"169,569"	
1987		"174,333"	
1988		"179,023"	
1989		"183,471"	
1990		"187,554"	
1991		"191,136"	
1992		"194,324"	
1993		"197,625"	
1994		"201,679"	
1995		"206,962"	
1996		"213,660"	
1997		"221,575"	
1998		"230,248"	
1999		"238,979"	
2000		"247,310"	
2001		"255,068"	
2002		"262,387"	
2003		"269,428"	
2004		"276,516"	
2005		"283,798"	
2006		"291,338"	
2007		"299,031"	
2008		"306,822"	
2009		"314,655"	
2010		"322,465"	
2011		"330,236"	
2012		"338,001"	
2013		"345,707"	
2014		"353,366"	
2015		"360,926"	
2016		"368,399"	
2017		"375,775"	
2018		"383,071"	
2019		"390,351"	
2020		"397,621"	
