Table 1
	S 1	D	C	S 2	D	C	S 3	D	C	S 4	D	C	S 5	D	C	S 6	D	C	S 7	D	C	A S 1	A S 2	A S 3	A S 4	A S 5	A S 6	A S 7	S S 1	S S 2	S S 3	S S 4	S S 5	S S 6	S S 7	R S 1	R S 2	R S 3	R S 4	R S 5	R S 6	R S 7
1850																													0							0.00						
1851	U	150	0																										0							0.00						
1852	U	0	0																										"4,812,741"							2.31						
1853																																										
1854																																										
1855																																										
1856																																										
1857	U	150	0	U	0	0																							0	"4,658,011"						0.00	2.31					
1858	U	150	0																										0							0.00						
1859	U	50	0																										0							0.00						
1860	U	150	0																										0							0.00						
1861	U	0	0																										"3,626,168"							2.31						
1862																																										
1863																																										
1864	U	0	1																										"4,904,318"							2.31						
1865																																										
1866	U	50	1	U	150	0																							0	0						0.00	0.00					
1867																																										
1868																																										
1869																																										
1870	U	50	1																										0							0.00						
1871	U	0	0																										"2,657,736"							2.31						
1872																																										
1873																																										
1874	U	50	0																										0							0.00						
1875																																										
1876	U	0	1																										"2,479,393"							2.31						
1877																																										
1878																																										
1879	U	150	1	U	0	0																							0	"2,509,348"						0.00	2.31					
1880	U	0	0	U	150	1	U	150	0																				"3,425,275"	0	0					2.31	0.00	0.00				
1881	U	150	0																										0							0.00						
1882																																										
1883	U	150	0																										0							0.00						
1884																																										
1885																																										
1886																																										
1887	U	150	2	U	0	0	U	50	2	U	150	0	U	150	3														0	"2,726,757"	0	0	0			0.00	2.31	0.00	0.00	0.00		
1888	U	150	0	U	50	0																							0	0						0.00	0.00					
1889	U	150	2	U	150	3	U	0	0																				0	0	"4,188,254"					0.00	0.00	2.31				
1890																																										
1891	U	150	2	U	0	0	U	50	0																				0	"4,080,417"	0					0.00	2.31	0.00				
1892	U	150	0	U	0	2																							0	"3,389,521"						0.00	2.31					
1893	U	0	1	U	150	0																							"3,109,967"	0						2.31	0.00					
1894	U	0	0																										"2,987,554"							2.31						
1895	U	0	0	U	150	0	U	150	0																				"4,303,471"	0	0					2.31	0.00	0.00				
1896																																										
1897																																										
1898	U	0	1	U	0	0	U	150	0	U	150	0	U	150	2	U	0	0											"3,933,690"	"3,933,690"	0	0	0	"3,933,690"		2.31	2.31	0.00	0.00	0.00	2.31	
1899																																										
1900																																										
1901																																										
1902																																										
1903																																										
1904	U	0	1																										"5,258,599"							2.31						
1905	U	150	0																										0							0.00						
1906	U	0	1																										"6,127,587"							2.31						
1907																																										
1908																																										
1909	U	150	0																										0							0.00						
1910																																										
1911																																										
1912																																										
1913	U	150	0	U	150	0																							0	0						0.00	0.00					
1914																																										
1915																																										
1916	U	0	0	U	50	2	U	150	0																				"5,349,434"	0	0					2.31	0.00	0.00				
1917	U	0	0																										"4,637,184"							2.31						
1918	U	0	1																										"4,909,493"							2.31						
1919																																										
1920	U	50	0																										0							0.00						
1921	U	0	0																										"3,735,079"							2.31						
1922	U	50	0	U	150	2																							0	0						0.00	0.00					
1923																																										
1924	U	0	0	U	150	0	U	150	3																				"5,251,142"	0	0					2.31	0.00	0.00				
1925																																										
1926	U	0	0	U	150	0																							"6,566,140"	0						2.31	0.00					
1927	U	50	0																										0							0.00						
1928	U	150	0																										0							0.00						
1929																																										
1930																																										
1931	U	50	0	U	50	0	U	0	0	U	0	4	U	50	0	U	150	0	U	0	0				255256578.947368				0	0	"6,320,834"	"255,256,579"	0	0	"6,320,834"	0.00	0.00	2.31	93.29	0.00	0.00	2.31
1932	U	0	0	U	0	0																							"4,262,509"	"4,262,509"						2.31	2.31					
1933	U	0	0	U	50	1	U	150	4																				"2,644,707"	0	0					2.31	0.00	0.00				
1934	U	0	1																										"2,798,566"							2.31						
1935	U	150	0	U	150	0																							0	0						0.00	0.00					
1936	U	50	0	U	50	0																							0	0						0.00	0.00					
1937																																										
1938	U	150	3	U	0	0																							0	"5,823,217"						0.00	2.31					
1939	U	0	0																										"5,172,596"							2.31						
1940	U	50	0																										0							0.00						
1941	U	0	1																										"5,174,020"							2.31						
1942	U	0	0	U	0	0	U	0	2																				"4,426,662"	"4,426,662"	"4,426,662"					2.31	2.31	2.31				
1943	U	0	0																										"6,196,638"							2.31						
1944	U	150	1																										0							0.00						
1945	U	150	0	U	0	0	U	0	1																				0	"7,936,883"	"7,936,883"					0.00	2.31	2.31				
1946	U	50	0																										0							0.00						
1947	U	150	0																										0							0.00						
1948																																										
1949	U	150	0																										0							0.00						
1950																																										
1951	CHARLIE	150	4																										0							0.00						
1952	U	50	0																										0							0.00						
1953																																										
1954	GILDA	0	0																										"7,436,158"							2.31						
1955	HILDA	150	3	JANET	50	5																	96514925.3731343						0	"96,514,925"						0.00	25.97					
1956	FLOSSY	0	0																										"9,363,481"							2.31						
1957																																										
1958	GERDA	0	0																										"9,367,982"							2.31						
1959																																										
1960	ABBY	0	1																			1173030.04018461							"1,173,030"							0.24						
1961	ANNA	0	1	HATTIE	0	5																	1038389740.730						"11,979,158"	"1,038,389,741"						2.31	200.24					
1962																																										
1963																																										
1964	U	150	0	U	0	0																							0	"13,944,746"						0.00	2.31					
1965	DEBBIE	150	0																										0							0.00						
1966																																										
1967																																										
1968	ABBY	150	0																										0							0.00						
1969	FRANCELIA	0	3	LAURIE	150	0																							"15,410,370"	0						2.31	0.00					
1970	ELLA	150	0																										0							0.00						
1971	CHLOE	0	0	EDITH	0	1	U	150	0	LAURA	0	0																	"17,473,543"	"17,473,543"	0	"17,473,543"				2.31	2.31	0.00	2.31			
1972	AGNES	150	0																										0							0.00						
1973	U	150	0																										0							0.00						
1974	CARMEN	50	4	FIFI	0	2	ORLENE	0	2														41966131.486						0	"41,966,131"	"25,014,943"					0.00	3.88	2.31				
1975	U	0	0	U	50	0	U	150	0																				"26,216,843"	0	0					2.31	0.00	0.00				
1976																																										
1977	FRIEDA	0	0																										"23,196,947"							2.31						
1978	GRETA	0	4																			198257537.047							"198,257,537"							18.34						
1979	U	50	0																										0							0.00						
1980	HERMINE	0	0	U	50	0																							"28,703,165"	0						2.31	0.00					
1981																																										
1982	PAUL	150	0																										0							0.00						
1983																																										
1984																																										
1985																																										
1986	U	0	0																										"25,254,460"							2.31						
1987																																										
1988																																										
1989	KAREN	150	0																										0							0.00						
1990	DIANA	50	0																										0							0.00						
1991	FABIAN	150	0																										0							0.00						
1992																																										
1993	GERT	0	0	U	0	0																							"46,313,407"	"46,313,407"						2.31	2.31					
1994	U	0	0																										"46,829,986"							2.31						
1995	OPAL	150	0	ROXANNE	150	3																							0	0						0.00	0.00					
1996	DOLLY	50	1	KYLE	50	0																							0	0						0.00	0.00					
1997																																										
1998	MITCH	150	5																			158679.004							"158,679"							0.01						
