Table 1
	Trade	Trade unit	GDP	GDP unit
1850	155271572.777179	BZD		
1851	155764398.079265	BZD		
1852	208343783.835654	BZD		
1853	173708345.995472	BZD		
1854	193541044.328151	BZD		
1855	191803614.606009	BZD		
1856	189247323.819785	BZD		
1857	201645510.20471	BZD		
1858	183869530.281939	BZD		
1859	145831554.153199	BZD		
1860	158028799.429348	BZD		
1861	156976966.583767	BZD		
1862	167511726.255791	BZD		
1863	207438333.65827	BZD		
1864	212308141.164548	BZD		
1865	168709006.80656	BZD		
1866	133585971.3552	BZD		
1867	106071409.28715	BZD		
1868	108462941.311374	BZD		
1869	97668662.265175	BZD		
1870	106680099.46291	BZD		
1871	115053485.999949	BZD		
1872	105626100.523318	BZD		
1873	124054626.277217	BZD		
1874	119180875.080807	BZD		
1875	109657769.944056	BZD		
1876	107333042.518839	BZD		
1877	85109797.8765775	BZD		
1878	96553721.8311285	BZD		
1879	108629804.186886	BZD		
1880	148280299.974784	BZD		
1881	137383929.158371	BZD		
1882	146301135.466778	BZD		
1883	174887777.766744	BZD		
1884	173463065.337003	BZD		
1885	161325054.640603	BZD		
1886	123006659.926155	BZD		
1887	118041408.073852	BZD		
1888	135173123.758269	BZD		
1889	181309689.64697	BZD		
1890	184434147.316244	BZD		
1891	176641424.218265	BZD		
1892	146732527.095479	BZD		
1893	134630608.812459	BZD		
1894	129331324.961653	BZD		
1895	186297444.974604	BZD		
1896	195622188.394644	BZD		
1897	190132913.298622	BZD		
1898	170289628.192676	BZD		
1899	153629780.755454	BZD		
1900				
1901	166333596.636657	BZD		
1902	164756837.091058	BZD		
1903	227959688.656965	BZD		
1904	227644987.728	BZD		
1905	233344469.275315	BZD		
1906	265263523.263839	BZD		
1907	287768885.541281	BZD		
1908	303427613.939658	BZD		
1909	302372204.985297	BZD		
1910	314467598.410805	BZD		
1911	339371549.32084	BZD		
1912	375181995.342062	BZD		
1913	376537058.815215	BZD		
1914	351933258.22279	BZD		
1915	233054354.443309	BZD		
1916	231577241.353998	BZD		
1917	200743894.435469	BZD		
1918	212532161.46919	BZD		
1919	244111407.899536	BZD		
1920	252401419.706633	BZD		
1921	161691727.117477	BZD		
1922	179742696.327567	BZD		
1923	226355236.122966	BZD		
1924	227322182.256161	BZD		
1925	254326366.197136	BZD		
1926	284248467.434034	BZD		
1927	293780483.847246	BZD		
1928	276027080.002736	BZD		
1929	325643747.35617	BZD		
1930	319606612.567294	BZD		
1931	273629191.230058	BZD		
1932	184524186.851671	BZD		
1933	114489491.74205	BZD		
1934	121150043.934591	BZD		
1935	160100065.535811	BZD		
1936	203185095.043866	BZD		
1937	227024845.572841	BZD		
1938	252087327.85095	BZD		
1939	223921916.829555	BZD		
1940	222047517.742385	BZD		
1941	223983569.339695	BZD		
1942	191630387.101739	BZD		
1943	268252723.341294	BZD		
1944	372316043.302037	BZD		
1945	343588027.122324	BZD		
1946	313814016.725668	BZD		
1947	361483671.196661	BZD		
1948	313453176.042087	BZD		
1949	224664015.702418	BZD		
1950	291733567.784199	BZD		
1951	368199419.79311	BZD		
1952	341269178.847861	BZD		
1953	338058879.632955	BZD		
1954	321911606.554487	BZD		
1955	371642532.896675	BZD		
1956	405345511.759375	BZD		
1957	364648374.086383	BZD		
1958	405540366.66319	BZD		
1959				
1960	434615768.689419	BZD	491027875	BZD
1961	491453236.52861	BZD	518578252	BZD
1962	584720773.152921	BZD	544800771	BZD
1963	607368647.18189	BZD	570097705	BZD
1964			603668677	BZD
1965			657888693	BZD
1966	678898210.821672	BZD	707735110	BZD
1967	621052081.145737	BZD	734756877	BZD
1968			667932941	BZD
1969			667115601	BZD
1970			709305119	BZD
1971			756430441	BZD
1972			817268693	BZD
1973			912808324	BZD
1974			1082897984	BZD
1975			1134928290	BZD
1976			880913582	BZD
1977			1004196860	BZD
1978			1080900092	BZD
1979			1082041695	BZD
1980			1242561245	BZD
1981			1115658000	BZD
1982			976776965	BZD
1983			997779319	BZD
1984			1067582896	BZD
1985			1022666820	BZD
1986			1093266655	BZD
1987			1279732710	BZD
1988			1400245483	BZD
1989			1540416867	BZD
1990			1631587933	BZD
1991			1689258558	BZD
1992			1910645810	BZD
1993			2004909396	BZD
1994			2027272115	BZD
1995			2105289501	BZD
1996			2115401131	BZD
1997			2108752359	BZD
1998			2186572717	BZD
1999			2275648987	BZD
2000			2499628955	BZD
2001			2536981299	BZD
2002			2660441229	BZD
2003			2765757934	BZD
2004			2879472595	BZD
2005			2919287421	BZD
2006			3105459707	BZD
2007			3172646112	BZD
2008			3246968252	BZD
2009			3176448053	BZD
2010			3267301692	BZD
2011			3359579691	BZD
2012			3431391561	BZD
2013			3507320732	BZD
2014			3633579559	BZD
2015			3762414578	BZD
2016			3826113798	BZD
2017			3876107731	BZD
2018			3854969501	BZD
2019			3803377662	BZD
2020				
