Table 1
	u	SE	u-SE	u+SE	Source tally	
96	-0.03	0.48	-0.51	0.45	1	
98	-0.09	0.38	-0.47	0.29	2	
00	-0.18	0.34	-0.52	0.16	2	
02	-0.24	0.34	-0.58	0.1	2	
03	-0.09	0.32	-0.41	0.23	2	
04	-0.29	0.29	-0.58	0	3	
05	-0.3	0.28	-0.58	-0.02	3	
06	-0.36	0.26	-0.62	-0.1	4	
07	-0.37	0.25	-0.62	-0.12	5	
08	-0.34	0.24	-0.58	-0.1	6	
09	-0.05	0.24	-0.29	0.19	6	
10	-0.11	0.24	-0.35	0.13	6	
11	-0.33	0.22	-0.55	-0.11	7	
12	-0.14	0.25	-0.39	0.11	6	
13	-0.1	0.25	-0.35	0.15	6	
14	-0.2	0.2	-0.4	0	6	
15	-0.22	0.2	-0.42	-0.02	7	
16	-0.24	0.2	-0.44	-0.04	6	
17	-0.27	0.21	-0.48	-0.06	4	
18	-0.14	0.2	-0.34	0.06	4	
19	-0.2	0.19	-0.39	-0.01	5	
						
						
	-0.088					
