Table 1
	u	SE	u-SE	u+SE	Source tally	
96	0.39	0.19	0.2	0.58	1	
98	0.09	0.27	-0.18	0.36	2	
00	0.06	0.28	-0.22	0.34	2	
02	0.06	0.26	-0.2	0.32	2	
03	-0.06	0.3	-0.36	0.24	2	
04	-0.26	0.3	-0.56	0.04	3	
05	-0.09	0.27	-0.36	0.18	3	
06	-0.33	0.28	-0.61	-0.05	4	
07	-0.45	0.27	-0.72	-0.18	5	
08	-0.51	0.27	-0.78	-0.24	5	
09	-0.45	0.26	-0.71	-0.19	5	
10	-0.43	0.26	-0.69	-0.17	5	
11	-0.38	0.24	-0.62	-0.14	6	
12	-0.32	0.26	-0.58	-0.06	5	
13	-0.33	0.25	-0.58	-0.08	5	
14	-0.66	0.29	-0.95	-0.37	4	
15	-0.68	0.26	-0.94	-0.42	5	
16	-0.68	0.25	-0.93	-0.43	5	
17	-0.64	0.29	-0.93	-0.35	3	
18	-0.59	0.32	-0.91	-0.27	3	
19	-0.68	0.28	-0.96	-0.4	4	
