Table 1
	u	SE	u-SE	u+SE	Source tally	
96	0.56	0.48	0.08	1.04	2	
98	0.6	0.44	0.16	1.04	2	
00	0.18	0.46	-0.28	0.64	2	
02	0.42	0.44	-0.02	0.86	2	
03	0.49	0.35	0.14	0.84	2	
04	0.4	0.33	0.07	0.73	3	
05	0.1	0.33	-0.23	0.43	3	
06	0.08	0.29	-0.21	0.37	4	
07	0.19	0.28	-0.09	0.47	4	
08	0.19	0.29	-0.1	0.48	4	
09	0.03	0.29	-0.26	0.32	4	
10	0.07	0.28	-0.21	0.35	4	
11	0.15	0.27	-0.12	0.42	5	
12	0.18	0.25	-0.07	0.43	4	
13	0.18	0.26	-0.08	0.44	4	
14	0.05	0.21	-0.16	0.26	5	
15	0.04	0.22	-0.18	0.26	5	
16	0.06	0.22	-0.16	0.28	5	
17	0.04	0.23	-0.19	0.27	5	
18	0.01	0.23	-0.22	0.24	5	
19	0.07	0.25	-0.18	0.32	5	
