Table 1
	u	SE	u-SE	u+SE	Source tally	
96	0.08	0.35	-0.27	0.43	3	
98	-0.04	0.3	-0.34	0.26	4	
00	0.13	0.26	-0.13	0.39	4	
02	-0.09	0.27	-0.36	0.18	5	
03	0.1	0.25	-0.15	0.35	5	
04	-0.19	0.23	-0.42	0.04	6	
05	-0.16	0.24	-0.4	0.08	6	
06	-0.04	0.2	-0.24	0.16	7	
07	-0.11	0.19	-0.3	0.08	8	
08	-0.21	0.17	-0.38	-0.04	9	
09	-0.37	0.17	-0.54	-0.2	9	
10	-0.34	0.17	-0.51	-0.17	9	
11	-0.49	0.16	-0.65	-0.33	10	
12	-0.46	0.17	-0.63	-0.29	9	
13	-0.47	0.17	-0.64	-0.3	9	
14	-0.75	0.18	-0.93	-0.57	8	
15	-0.72	0.17	-0.89	-0.55	9	
16	-0.86	0.19	-1.05	-0.67	7	
17	-0.96	0.2	-1.16	-0.76	5	
18	-0.82	0.19	-1.01	-0.63	5	
19	-0.78	0.17	-0.95	-0.61	6	
						
					-1.04347826086957	
