Table 1
	u	SE	u-SE	u+SE	Source tally	
96	0.14	0.36	-0.22	0.5	2	
98	0.14	0.35	-0.21	0.49	3	
00	0.02	0.32	-0.3	0.34	3	
02	0.02	0.3	-0.28	0.32	3	
03	0.12	0.24	-0.12	0.36	3	
04	-0.16	0.25	-0.41	0.09	4	
05	0.01	0.2	-0.19	0.21	4	
06	-0.34	0.23	-0.57	-0.11	5	
07	-0.41	0.24	-0.65	-0.17	5	
08	-0.44	0.23	-0.67	-0.21	5	
09	-0.44	0.23	-0.67	-0.21	5	
10	-0.41	0.23	-0.64	-0.18	5	
11	-0.51	0.22	-0.73	-0.29	6	
12	-0.47	0.23	-0.7	-0.24	5	
13	-0.48	0.23	-0.71	-0.25	5	
14	-0.5	0.23	-0.73	-0.27	5	
15	-0.46	0.21	-0.67	-0.25	6	
16	-0.51	0.22	-0.73	-0.29	6	
17	-0.54	0.25	-0.79	-0.29	5	
18	-0.65	0.26	-0.91	-0.39	5	
19	-0.54	0.22	-0.76	-0.32	6	
