Table 1
	1996	1998	2000	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
Economist								0.35	0.35	0.35	0.35	0.35	0.35	0.35	0.35	0.35	0.35	0.35	0.35	0.35	0.35
Heritage	0.6	0.6	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.45	0.45	0.5	0.53	0.5	0.53	0.53	0.53
IFAD						0.52	0.52	0.53	0.53	0.54	0.55	0.53	0.54	0.54	0.54		0.62	0.62	0.62	0.36	0.36
IHS	0.56	0.56	0.63	0.63	0.63	0.55	0.63	0.56	0.56	0.56	0.56	0.63	0.63	0.63	0.63	0.5	0.5	0.5	0.5	0.5	0.58
World Economic Forum													0.4								
World Justice Project																0.44	0.43	0.43	0.39	0.42	0.43
																					
																					
																					
																					
																					
Tally	2	2	2	2	2	3	3	4	4	4	4	4	5	4	4	4	5	5	5	5	5
Mean	0.58	0.58	0.565	0.565	0.565	0.523333333333333	0.55	0.485	0.485	0.4875	0.49	0.5025	0.484	0.4925	0.4925	0.4475	0.486	0.48	0.478	0.432	0.45
