Table 1
	1996	1998	2000	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
Cingranelli	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1						
Economist								0.47	0.47	0.41	0.38	0.38	0.38	0.34	0.34	0.31	0.31	0.31	0.31	0.31	0.31
Gallup									0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.51	0.51				
Heritage	0.7	0.5	0.7	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.4	0.4	0.3	0.3	0.3	0.3	0.35				
IFAD						0.39	0.39	0.42	0.42	0.43	0.42	0.42	0.44	0.44	0.44		0.46	0.46	0.46	0.54	0.54
IHS	0.56	0.56	0.56	0.56	0.63	0.56	0.63	0.63	0.63	0.63	0.56	0.63	0.56	0.56	0.56	0.44	0.44	0.44	0.39	0.44	0.44
LA Public Opinion										0.66	0.66	0.57	0.57	0.64	0.64	0.47	0.47				
US State Dept Trafficking				0	0.33	0.33	0	0.67	0.67	0.33	0.33	0.67	0.67	0.67	0.33	0	0	0	0	0.33	0.33
World Economic Forum													0.4								
World Justice Project																0.48	0.48	0.48	0.5	0.51	0.51
																					
Tally	3	3	3	4	4	5	5	6	7	8	8	8	9	8	8	7	8	5	5	5	5
Mean	0.753333333333333	0.686666666666667	0.753333333333333	0.515	0.615	0.556	0.504	0.615	0.598571428571429	0.5575	0.53125	0.57125	0.535555555555556	0.55625	0.51375	0.358571428571429	0.3775	0.338	0.332	0.426	0.426
