Table 1
	u	SE	u-SE	u+SE	Source tally	
96	0.82	0.29	0.53	1.11	3	
98	0.88	0.29	0.59	1.17	3	
00	0.98	0.29	0.69	1.27	3	
02	0.8	0.27	0.53	1.07	3	
03	0.84	0.27	0.57	1.11	3	
04	0.74	0.26	0.48	1	4	
05	0.69	0.26	0.43	0.95	4	
06	0.54	0.19	0.35	0.73	5	
07	0.53	0.19	0.34	0.72	6	
08	0.65	0.18	0.47	0.83	7	
09	0.74	0.18	0.56	0.92	7	
10	0.69	0.18	0.51	0.87	7	
11	0.70	0.17	0.53	0.87	8	
12	0.70	0.17	0.53	0.87	7	
13	0.71	0.16	0.55	0.87	8	
14	0.52	0.16	0.36	0.68	6	
15	0.58	0.17	0.41	0.75	7	
16	0.57	0.16	0.41	0.73	6	
17	0.57	0.17	0.4	0.74	5	
18	0.45	0.17	0.28	0.62	5	
19	0.53	0.16	0.37	0.69	5	
