Table 1
Sovereign debt in default by issuer	Data reliability on 1 to 4 = least reliable	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	00	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16	17	18	19			
Multi- and bilateral creditors	3	0.2	0.5	3.2	4.8	0.5	1.9	1.2	1.9	1.4	10.3	1.8	3.0	3.3	5.1	1.2	1.2	0.0	0.0	0.0	0.0	0.0	0.8	0.9	1.3	5.7	6.7	7.0	7.1	9.7	6.7	7.4	5.3	6.2	6.0	7.3	4.1	6.8	13.0	****			
Foreign currency bonds	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	547.0	550.0	0.0	0.0	0.0	0.0	544.0	555.0	0.0	0.0	0.0	526.0	0.0	0.0			
Overseas private creditors	3	0.0	0.0	0.0	1.4	0.0	0.8	1.3	1.7	1.3	1.7	0.0	0.1	1.4	3.2	0.3	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.1	0.1	3.0	1.4	1.3	1.1	1.0	1.1	0.9	0.9	4.4	0.0	0.0	0.0	0.2	0.6	****			
Sum		0.2	0.5	3.2	6.1	0.5	2.7	2.5	3.6	2.6	12.0	1.8	3.0	4.7	8.3	1.5	1.2	0.0	0.0	0.0	0.0	0.0	1.9	1.0	1.3	8.7	555.1	558.3	8.2	10.8	7.8	8.3	550.2	565.6	6.0	7.3	4.1	532.9	13.6	0			
																																											
																																											
cf	Bank of Canada / Bank of England sovereign defaults database 2020																																										
note	**** = na																																										
unit	nominal USD m																																										
note	figures include interruptions in scheduled debt servicing and changes in debt payment terms that result in losses for creditors. some figures estimated.																																										
copyright	2014 to 2020 Bank of Canada																																										
cf	DOI: 10.2139/ssrn.2609162																																										
