Table 1
T-Bills held by	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	00	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16	17	18	19	20				
Sum	3.65	12.10	7.70	15.00	16.89	19.00	37.63	44.98	48.97	59.26	62.16	62.16	62.16	62.16	62.05	64.15	64.16	70.00	70.00	70.00	70.00	70.00	70.00	70.00	70.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	175.00	175.00	175.00	175.00	175.00	200.00	215.00	245.00	245.00	245.00	245.00				
																																																
Disb. outstanding																																																
Advances																					59.75	64.76	54.29	56.71	96.10	35.22	119.78	141.9	115.5	129.0	151.1	152.0	139.4	46.0	59.3	68.4	64.5	54.6	69.4	52.8	141.5	145.3	149.4	167.0				
T-Bills																					69.98	70.00	70.00	70.02	70.00	100.00	100.00	100.0	100.0	100.0	100.0	100.0	100.0	175.0	175.0	175.0	175.0	175.0	200.0	215.0	245.0	245.0	234.0	245.0				
T-Notes																					22.00	24.00	24.00	24.00	24.00	24.00	24.00	24.0	24.0	55.8	55.8	65.8	70.8	136.8	136.5	136.5	136.5	136.5	225.0	480.0	640.0	655.0	720.0	877.8				
Bonds & Debentures																					22.20	21.20	21.20	21.20	21.20	15.00	15.00	15.0	15.0	15.0	15.0	15.0	10.0	10.0	10.0	10.0	10.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0				
																																																
Interest paid																																																
Advances																					6.20	5.22	5.94	6.54	7.28	7.20	7.01	11.18	11.33	17.44	15.98	14.65	14.88	7.24	5.33	6.46	6.18	5.93	4.80	6.36	4.73	4.02	5.49	4.05				
T-Bills																					2.44	2.56	5.56	3.62	5.34	2.62	2.72	2.47	3.30	3.21	3.22	2.85	3.23	4.17	4.55	3.40	2.26	1.08	0.16	0.07	1.45	1.93	2.84	2.16				
T-Notes																					1.80	2.22	1.13	0.00	2.16	0.96	2.16	1.13	2.44	1.30	5.00	5.22	5.92	5.97	7.67	6.69	7.13	6.87	9.73	10.33	26.62	28.58	27.63	23.34				
Bonds & Debentures																					2.02	2.42	0.74	0.82	1.47	0.74	0.00	1.25	1.88	1.25	1.24	1.25	1.25	0.80	0.80	0.80	0.80	0.80	0.80	0.00	0.00	0.00	0.00	0.00				
																																																
																																																
																																																
cf	CB																																															
unit	nominal BZD m																																															
note	04 to 20 may exclude debentures. Figure for last month available per year shown. Figs for GOB only shown																																															
