Table 1
	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	00	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16	17	18	19	20				
GOB pc	13.67	16.90	28.23	29.65	34.11	41.12	48.81	58.95	56.84	68.82	62.40	56.19	47.02	43.47	39.84	41.54	41.70	41.25	41.83	47.16	50.89	52.59	52.20	56.66	79.00	87.33	95.02	109.34	103.37	102.44	95.65	93.40	85.82	93.70	89.46	83.62	79.62	78.16	76.82	79.33	93.18	94.51	95.22						
GDP b	0.18	0.21	0.21	0.28	0.34	0.36	0.36	0.38	0.42	0.42	0.46	0.53	0.63	0.73	0.82	0.89	1.04	1.12	1.16	1.24	1.28	1.31	1.38	1.46	1.66	1.74	1.87	1.98	2.12	2.23	2.43	2.58	2.74	2.67	2.79	2.97	3.13	3.22	3.39	3.53	3.61	3.73	3.85						
GOB m	24.82	35.84	60.09	83.10	117.48	147.53	174.98	222.81	239.76	287.92	284.37	299.50	296.14	315.73	328.30	369.43	432.08	461.68	485.81	584.77	652.66	688.29	719.21	829.90	"1,314.67"	"1,522.87"	"1,772.14"	"2,165.83"	"2,187.08"	"2,282.74"	"2,329.07"	"2,410.89"	"2,348.99"	"2,502.22"	"2,499.12"	"2,486.05"	"2,490.14"	"2,514.33"	"2,601.07"	"2,796.43"	"3,366.79"	"3,520.70"	"3,665.51"						
																																																	
																																																	
																																																	
cf	IMF GDD																																																
unit	pc of nominal GDP / GDP b																																																
note																																																	
