Table 1
			R	R	R	R											
01	17																
15	17																
16	17																
17	17																
23	17																
25	17																
26	17																
28	17																
29	17																
30	17																
31	17		2														
37	17																
37	17																
39	17																
47	17																
51	17																
54	17																
65	17		4														
70	17																
71	17		80000														
72	17		1														
73	17																
73	17		4														
75	17																
79	17		2														
79	17		4														
84	17																
85	17																
85	17		7														
87	17																
87	17		143														
88	17		50														
92	17																
94	17		5														
98	17																
12	18																
13	18																
23	18		155														
30	18		4														
31	18		1														
52	18		9														
54	18		230	300													
54	18																
56	18																
57	18																
60	18																
63	18		2														
63	18		2														
64	18																
64	18																
66	18		0														
66	18		5														
66	18		2														
67	18		0														
67	18		0														
67	18		3														
67	18		580														
68	18		0														
72	18		1														
72	18		2														
86	18		68														
94	18		0														
05	19		8														
14	19		53														
18	19		1014														
18	19		1														
21	19		4														
31	19		0														
31	19		1500	2000	2500												
32	19		0														
39	19		10														
50	19		0														
53	19		1														
55	19		16														
60	19																
61	19		307														
74	19		1														
74	19																
78	19		4														
81	19		5														
86	19		1753														
98	19		9														
00	20		19														
01	20		24														
01	20																
05	20		3														
07	20																
08	20		5														
08	20		5														
09	20		1														
10	20		1														
10	20																
12	20																
16	20																
17	20		0														
19	20		277														
