Table 1
			mm	dd	U mm	U dd	Newspaper	State	Academic	Press		Hazard	By	On	Place	Place	Place	Source	Title	Place	ID	Collection	Source	Name	Title	R Deaths	R Deaths
27 May 1701	01	17			05	27	1					Raid	Spanish					"Flying Post, 24 to 27 May 1701 p. 1 issue 944"	Flying Post	London	944	Burney	Gale				
19 Sep 1715	15	17			09	19	1					Famine		Slaves	Campeachy			The Boston News-Letter 19 Sep 1715 p. 2	Boston News-Letter	Boston	596	Readex	NewsBank				
28 Feb 1716	16	17	02			28	1					Assault	Spanish		Campeachy			The Boston News-Letter 7 May 1716 p. 2 issue 629; Mercurius Politicus for May 1716 v 1 p 132	Boston News-Letter	Boston	629	Readex	NewsBank				
15 Nov 1716	16	17	11			15	1			1		Raid	Spanish		Campeachy			"The state of the island of Jamaica by A. B. 1726 p. 15; A summary, historical and political, of the first planting, progressive improvements, and present state of the British settlements in North-America by William Douglas v II part I p. 88; The Boston News-Letter 8 Apr 1717 p 2 issue 677"	Boston News-Letter	Boston	677	Readex	NewsBank				
15 Feb 1723	23	17	02			15	1			1		Assault	Spanish					Parker’s London News / Impartial Intelligencer issue 883; Daily Post 27 Jun 1723 issue 1169; Weekly Journal / Saturday’s Post 27 Jul 1723 issue 248; New England Courant 13 to 20 May 1723 94; The state of the island of Jamaica by A. B. 1726 p. 15; The BOSTON News-Letter 16 May 1723 p. 4 issue 1007	Daily Post	London	1723	Burney	Gale				
30 Jan 1725	25	17			01	30	1					Assault	Pirates					Weekly Journal / Saturday’s Post 30 Jan 1725 issue 327	Weekly Journal or Saturday’s Post	London	327	Burney	Gale				
21 Apr 1726	26	17			04	21	1					Assault	Spanish					British Journal 12 Feb 1726 179; Daily Courant 22 Jun 1726 7701	British Journal	London	179	Burney	Gale				
28 Feb 1728	28	17			02	28	1					Assault	Spanish					Daily Journal issue 28 Feb 1728 2224	Daily Journal	London	2224	Burney	Gale				
16 Dec 1728	28	17			12	16	1					Raid	Spanish					Daily Journal issue 16 Jan 1729 2504	Daily Journal	London	2504	Burney	Gale				
18 Aug 1729	29	17			08	18	1					Assault	Spanish		New	Hondo	Old	London Journal 11 Oct 1729 532 p. 5; Read’s Weekly Journal / British Gazetteer 375;  Grub Street Journal 70; London Evening Post 11 to 13 May 1731 p. 1 539; New England Weekly Journal 22 Jul 1731 issue CCXXVII p. 2; The Weekly Rehearsal 4 Oct 1731 p 2 issue 2; Universal Spectator / Weekly Journal 198; Read’s Weekly Journal / British Gazetteer 27 May 1732 375; The Boston Weekly News-Letter 21 Sep 1732 p 1 issue 1495; 5 Oct 1732 p 1 issue 1497; The Weekly Rehearsal 8 Oct 1733 p 2 issue 106; The Boston Gazette 20 Oct 1735 p 3 issue 824; The Boston Evening Post 22 Sep 1736 p 2 issue 67	London Journal	London	532	Burney	Gale				
28 Feb 1730	30	17	02			28	1					Assault	Spanish					Daily Journal 13 Aug 1730 p. 2 2996	Daily Journal	London	2996	Burney	Gale				
24 Mar 1731	31	17	03	24			1					Assault	Spanish		Reef			Daily Journal 24 Sep 1731 3345; London Evening Post 607	Daily Journal	London	3345	Burney	Gale			2	
30 Apr 1736	36	17	04			30	1					Outbreak						New-York Weekly Journal 26 Sep 1737 p 3 issue 203	New-York Weekly Journal	New York	203	Readex	NewsBank				
15 Apr 1737	37	17	04			15	1					Assault	Spanish					"New England Weekly Journal 14 Jun 1737 p 2 issue 532; New York Weekly Journal 26 Sep 1737 p 3 issue 203, 10 Oct 1737 p 2 issue 205"	New-England Weekly Journal	Boston	532	Readex	NewsBank				
22 Oct 1739	39	17	10	22						1		Raid	Spanish					"The profit and loss of Great-Britain and Spain : from the commencement of the present war, to this time, impartially stated … by Philalethes 1742 p. 7; The Champion: containing a series of papers, humorous, moral, political and critical: volume 2 1740 p 290"	The Profit and loss of Great-Britain …	London		Globe	Gale		War of Jenkins’ Ear		
