Table 1
	5 Jan 1768 to 69			mah british			mah foreign				dye wood exports			mah exports			Lon from Jam /// Out ports from Jam	Lon from Spain WI /// Out from Spain WI		
	tons	?	?	ft	pl	log	ft	pl	log		ton	?	?	?	ft	?				
St. John’s & Newfoundland										St. John’s & Nfld										
Quebec										Quebec										
Halifax										Halifax										
Piscataqua					22				12	Piscataqua										
Falmouth										Falmouth	2	8								
Salem & Stt’h’d					24		300	24		Boston	69	10		39	1925					
Boston	174	2	2							Mass.	71	18		39	1925					
Mass.	174	2	2		24		300	24		RI	120	10			10000					
RI	70	0	0	20000	65	15	40000	3	59	New Haven										
New London					49				11	New London										
New Haven									3	Conn.										
Connecticut					49				14	NY	1912	1		1587	4312					
NY	2300	4	0	130700			200216		19	Perth Amboy										
Perth Amboy										Philly	390	10	3	563						
Philadelphia	848	5	0		75		63300	1086		Pocomok										
New Castle										Chester										
Lewis										Patuxent	10									
Pennsylvania	848	5	0		75		63300	1086		N potomack										
Pocomoke										Maryland	10									
Chester										S potomack										
Patuxent	10								163	Rappahanock										
North Potomack									125	York River										
Maryland	10								288	Ja R lower	81	18		54	280					
Accamack										Ja’s R upper	5									
S Potomack										Virginia	86	18		54	280					
Rappahanock										Roanoke										
York River										Bath town										
Ja River lower part	13			22500	31				147	Beaufort										
Ja River upper part									207	Brunswick										
Virginia	13			22500	31				354	NC										
Currituck										Wynyaw										
Roanoke	35								14	Charles town	577	5		1054	31707	66				
Bath Town										Port Royal	12	7								
Beaufort									96	SC	589	12		1054	31707	66				
Brunswick					6				60	Savannah	24			119						
NC	35				6				170	Pensacola	566			23						
Wynyaw										Mobile										
Charles Twon	368			130000	343				187	W Fl	566			23						
Port Royal										Bahama	170			19	1900					
SC	368			130000	343				187	Bermuda	32				61000					
Savannah	23						3000	62	870											
Sunbury									101											
Georgia	23						3000	62	971											
Pensacola	100								130											
Bahama	38								13											
Bermuda	76			116000	81															
																				
																				
																				
																				
																				
																				
																				
1697																				
1698	f mich 97																log 782 t at 18 pt … fustick 89 t at 6.9 pt /// log 2451 t at 18 …. fus 1128 t at 6.6 pt	0 /// 44 t log at 18 pt		
1698	"c3/2, f mich 98 to xmas 98"																84 fust at 6/6 pt … 56 t log at 18 pt ///	0 ///		
1699																				
1700																				
1701																				
1702	cus 3/6																fus 616 at 8 to 10 … 2228 at 10 to 14 /// 6315 fus … 439 log	0 /// 0		
1703																				
1704																				
1705																				
1706	f chris 05																fus 2448 t at 8 to 10 pt … log 100 t at 10 to 14 pt ///	0 ///		
1707																				
1708																				
1709																				
1710																				
1711	f xmas 10																fus 252 t at 8 to 10 … log 133 at 10 to 14 /// fus 282 t …. log 117	0 /// log 2 at 9 to 15 		
1712																				
1713																				
1714																				
1715																				
1716																				
1717	cus 3/19																fus 356 t at 8 to 10 … log 465 at 10 to 14 /// 			
1718																				
1719																				
1720																				
1721	f chris 20																0 /// 000	/// 0		
1722																				
1723																				
1724																				
1725	f chris 24																			
1726																				
1727																				
1728																				
1729																				
1730																				
1731																				
1732																				
1733																				
1734																				
1735																				
1736																				
1737																				
1738																				
1739																				
1740																				
1741																				
1742																				
1743																				
1744																				
1745																				
1746																				
1747																				
1748																				
1749																				
1750																				
1751																				
1752																				
1753																				
1754																				
1755																				
1756																				
1757																				
1758																				
1759																				
1760																				
1761																				
1762																				
1763																				
1764																				
1765																				
1766																				
1767																				
1768																				
1769																				
1770																				
1771																				
1772																				
1773																				
1774																				
1775																				
1776																				
1777																				
1778																				
1779																				
1780																				
1781																				
1782																				
1783																				
1784																				
1785																				
1786																				
1787																				
1788																				
1789																				
1790																				
1791																				
1792																				
1793																				
1794																				
1795																				
1796																				
1797																				
1798																				
1799																				
1800																				
1801																				
1802																				
1803																				
1804																				
1805																				
1806																				
1807																				
1808																				
1809																				
1810																				
1811																				
1812																				
1813																				
1814																				
1815																				
1816																				
1817																				
1818																				
1819																				
1820																				
1821																				
1822																				
1823																				
1824																				
1825																				
1826																				
1827																				
1828																				
1829																				
1830																				
1831																				
