Table 1
No	Start	End	Value	cf	note	Canada	FL	NE	NY	PA	Vi & Mar	Car	Car N/S	GA	WI	WI	WI	Bar	Jam	WI	WI	Forn WI	Hon	Hon to Eng	Hon to Sco	Eng	Scot	GB	Tonnes Log
1	5 jan 72	5 jan 73	12	1 p36	0.20.0.0 = 1.0.0.0			1586/8/0	13152/16/6	2752/6/7		1834/6/4		18/0/0	360/0/0	617/7/7	48/0/0	240/0/0	18780/1/8			40568/18/8				79958/5/4	575/1/0	80533/6/4	
2	5 jan 73	5 jan 74	12	1 p37				201/5/5	2369/9/7	1577/17/6	1/16/0	1159/9/3		156/0/0	360/0/0	96/0/0		163/7/3	9257/19/8	481/7/6		10347/5/6				26171/17/8	409/10/0	26581/7/8	
3	5 jan 74	5 jan 75	12	1 p35					512/16/0	1026/8/0	24/0/0	1162/10/6		201/12/0	248/0/0				9959/15/3	9979/13/0						24084/14/9	409/10/0	24494/4/9	
4	5 jan 75	5 jan 76	12	1 p37					3341/7/10	675/6/6		940/15/9		360/0/0	48/0/0	12/0/0	144/0/0		8600/19/3	18581/9/5						32703/18/4	325/10/0	33029/8/4	
4	5 jan 76	5 jan 77	12	3 p39					81/8/1						57/17/1	120/0/0		241/11/6	9364/7/9	48/0/0	8236/7/5					18253/13/10	332/10/0	18587/3/10	
5	5 jan 77	5 jan 78	12	1 p36					4878/0/0						122/15/5	72/0/0	79/10/5		8829/10/8	480/0/0	7821/9/2					22285/12/6	77/0/0	22360/12/6	
5	5 jan 78	5 jan 79	12	3 p8	blurry	120/0/0	514/1/0		1485/0/6						192/12/0	22/0/0			14274/5/1	10746/3/10						27354/6/3	871/5/7	28225/11/10	2279.52604166667
6	5 jan 79	5 jan 80	12	1 p30	blurry		361/16/0		520/17/10						29/10/4	300/0/0	899/8/10		47319/17/3							49577/4/1	1132/5/0	50654/9/1	4131.43368055556
6	5 jan 80	5 jan 81	12	2 p62					2474/12/2			99/3/5		410/8/0				24/0/0	47879/15/6	50/0/0	570/0/0	12/0/0				51529/19/1	623/9/10	52153/8/11	4294.16284722222
7	5 jan 81	5 jan 82	12	1 p34			432/0/0					180/0/0			45/7/2	120/0/0	57/18/0		35690/0/6	95/14/0						36680/3/9	798/0/0	37478/3/9	3056.68229166667
7	5 jan 82	5 jan 83	12	2 p72 … 3 p1		159/0/0	1104/0/0		96/0/0			372/0/0						28/3/1	15276/2/6		11/17/5	240/0/0				17287/3/0	861/0/0	18148/3/0	1440.59583333333
8	5 jan 83	5 jan 84	12	1 p38			459/3/5	132/0/0	0276/12/10	2014/7/9	367/19/9	132/0/0			112/10/10	0/2/8	240/0/0	60/0/0	9479/6/6	57/17/8		358/6/1				13685/7/6	640/10/0	14325/17/6	1140.44791666667
8	5 jan 84	5 jan 85	12	3 p35					169/17/6	684/0/0		324/0/0			240/0/0	239/18/2			24002/17/0	1200/0/0						27880/12/8	1648/10/0	29529/2/8	2323.38611111111
9	5 jan 85	5 jan 86	12	1 p34		96/9/9	120/0/0		540/0/0	9243/16/7		36/0/0			246/0/0	96/0/0		808/12/4	122599/9/9	6410/7/4						140196/15/9	3216/10/0	143413/5/9	11683.065625
9	5 jan 86	5 jan 87	12	2 p65			1560/0/0	96/0/0	1175/6/0	2189/7/2		3401/12/6			1044/0/0	382/18/10	480/6/7		160119/15/10	10815/15/2		4393/6/6				185658/8/7	1820/14/0	187479/2/7	15471.5357638889
10	5 jan 87	5 jan 88	12	1 p36		4/16/0	2880/0/0	3/12/3	36/0/0	2414/2/7		2788/2/3			1999/8/11	2076/0/0			76967/17/5	101/13/4	16036/15/0	231/17/7				105540/9/2	2141/0/9	107681/9/11	8795.03819444444
10	5 jan 88	5 jan 89	12	3 p46 … p58			960/0/0	444/6/7	827/5/3	99/10/0					201/18/3				51716/8/7	379/19/5		2400/0/0	20348/3/0			76006/9/3	1487/6/1	77493/15/4	6333.871875
11	5 jan 89	5 jan 90	12	2 p28 … p44 … p60					156/0/0	309/1/11	420/0/0		1156/19/5	60/0/0	602/19/6	48/0/0	114/9/3		55750/17/3	420/0/0	600/0/0	3697/16/2		24816/14/0	510/9/3				
12	5 jan 90	5 jan 91	12	2 p6 … p14 … p22			336/0/0			796/19/10			1688/8/9		72/0/0	652/8/1	112/4/6		44235/2/7	808/16/8		4199/1/0	19280/6/6						
13																													
14																													
15																													
