Table 1
No	Start	End	Value		Sum	US	Jam	Span / Mosq	Mosq	Other			Car GA FL	NE NY Prov PA	Vi Mary	Canada	Jam	WI	Span WI	Prize		Car GA FL	NE NY Prov PA	Vi Mary	Can	Jam	WI	Span WI / Mosq	Mosq	Prize		Canada	Car	FL	NE	GA	Prov	NY	PA	Vi & Mar	Bar	Jam	WI / Hav	WI	WI	WI	WI	Span WI / Mosq	Mosq	Prize	Car	FL	NE	Prov /GA	NY	PA	Vi & Mar	Bar	Jam	WI	WI	WI	WI	Span WI / Mosq	Mosq	Prize		Canada	Car	FL	NE	GA	Prov	NY	PA	Vi & Mar	Bar	Jam	WI / Hav	WI	WI	WI	WI	Span WI / Mosq	Mosq	Prize	Car	FL	NE	Prov /GA	NY	PA	Vi & Mar	Bar	Jam	WI	WI	WI	WI	Span WI / Mosq	Mosq	Prize							
81	mich 96	lady day 97	8/10 Jam … 10 NE …	622.56	265	157.925	107	0	0	0			2400	2400	2400	2400	2040	2040	2040	2400		0	157.925	0	0	107	0	0	0	0		0/0/0	0/0/0	0/0/0	1461/15/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	705/10/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	117/10/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	204/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0					1461/15/0							705/10/0											117/10/0						204/0/0														
81	lady day 97	mich 97	10 Car NE NY Vi Mary … 8/10 Jam		358	211.675	145.670588235294	0	0	0.294117647058824			2400	2400	2400	2400	2040	2040	2040	2400		45.05	134.875	31.75	0	145.670588235294	0.294117647058824	0	0	0		0/0/0	450/10/0	0/0/0	15/0/0	0/0/0	0/0/0	1333/15/0	0/0/0	317/10/0	0/0/0	1140/19/7	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	97/4/5	2/10/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0			450/10/0		15/0/0			1333/15/0		317/10/0		1140/19/7																	97/4/5	2/10/0													
1	mich 97	mich 98	18 Jam Bar WI … 17/3 Car … 17/5 NE NY … 18 VM … 16/5 Canada		"1,067"	114.30017429332	904.559953703704	0	0	47.8916666666667			4116	4140	4320	3900	4320	4320	4320	4116		3.50923226433431	110.265942028986	0.525	25	904.559953703704	22.8916666666667	0	0	0		406/5/0	51/50/0	0/0/0	1603/3/5	0/0/0	0/0/0	29/6/6	0/0/0	9/9/0	3/7/6	14082/1/4	408/13/6	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	6/13/8	0/0/0	0/0/0	0/0/0	269/11/10	0/0/0	0/0/0	0/0/0	2200/0/3	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0		406/5/0	51/50/0		1603/3/5			29/6/6		9/9/0	3/7/6	14082/1/4	408/13/6								6/13/8				269/11/10				2200/0/3														
2	mich 98	mas 98	18 Jam Bar … 17/9 Car … 17/3 NE NY … 18 VM … 		92	25.3809224467519	56.8625	0	0	9.34375			4188	4116	4320	4116	4320	4320	4320	4188		0.321155682903534	6.5597667638484	18.5	0	56.8625	9.34375	0	0	0		0/0/0	5/12/1	0/0/0	78/0/0	0/0/0	0/0/0	0/0/0	0/0/0	331/13/0	103/10/0	1023/10/6	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	34/10/0	0/0/0	1/7/0	64/13/9	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0			5/12/1		78/0/0					331/13/0	103/10/0	1023/10/6													34/10/0		1/7/0	64/13/9															
3	mas 98	mas 99	12 to 14		"2,843"	691.891987179487	2151.19967948718	0	0	0			3120	3120	3120	3120	3120	3120	3120	3120		89.3875	602.504487179487	0	0	2151.19967948718	0	0	0	0		0/0/0	1162/0/9	0/0/0	4396/5/6	0/0/0	0/0/0	1347/2/6	0/0/0	0/0/0	0/0/0	18745/15/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	344/14/3	0/0/0	1744/8/11	0/0/0	0/0/0	0/0/0	9219/16/11	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0			1162/0/9		4396/5/6			1347/2/6				18745/15/0											344/14/3		1744/8/11				9219/16/11														
4	mas 99	mas 00	9 to 15		"6,618"	2086.83611111111	4445.84652777778	0	0	85.621875			2880	2880	2880	2880	2880	2880	2880	2880		371.774652777778	1707.03333333333	8.028125	0	4445.84652777778	85.621875	0	0	0		0/0/0	4461/5/11	0/0/0	8095/13/9	0/0/0	2076/0/0	6074/5/0	117/18/0	1/8/6	308/0/6	48988/13/0	361/10/0	108/12/0	126/9/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	3502/8/6	0/0/0	488/2/0	130/0/9	94/18/3	115/17/6	4361/10/2	7/0/3	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0			4461/5/11		8095/13/9		2076/0/0	6074/5/0	117/18/0	1/8/6	308/0/6	48988/13/0	361/10/0	108/12/0	126/9/0								3502/8/6		488/2/0	130/0/9	94/18/3	115/17/6	4361/10/2	7/0/3													
5	mas 00	mas 01	10 to 14		"4,792"	2040.23854166666	2639.42256944444	0	0	111.884375			2880	2880	2880	2880	2880	2880	2880	2880		713.647222222222	1326.09131944444	0.5	0	2639.42256944444	111.884375	0	0	0		0/0/0	5899/17/6	0/0/0	7505/17/5	0/0/0	0/0/0	4741/9/0	720/0/0	0/0/0	1201/0/3	26571/12/7	0/15/0	17/14/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	2663/17/10	0/0/0	1158/9/0	0/0/0	1787/6/6	0/0/0	6/0/0	123/3/0	5101/8/10	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0			5899/17/6		7505/17/5			4741/9/0	720/0/0		1201/0/3	26571/12/7	0/15/0	17/14/0							2663/17/10		1158/9/0		1787/6/6		6/0/0	123/3/0	5101/8/10														
6	mas 01	mas 02	10 to 14		"4,434"	1590.684375	2668.184375	0	0	175.610069444444			2880	2880	2880	2880	2880	2880	2880	2880		84.64375	1506.040625	0	0	2668.184375	175.610069444444	0	0	0		0/0/0	1015/14/6	0/0/0	13334/12/6	0/0/0	420/18/0	1442/6/6	420/18/0	0/0/0	713/13/4	26740/5/1	136/10/0	536/17/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	1081/14/10	0/0/0	1371/19/11	0/0/0	0/0/0	0/0/0	5277/19/2	39/2/3	573/3/10	108/0/0	0/0/0	0/0/0	0/0/0	0/0/0			1015/14/6		13334/12/6		420/18/0	1442/6/6	420/18/0		713/13/4	26740/5/1	136/10/0	536/17/0									1081/14/10		1371/19/11				5277/19/2	39/2/3	573/3/10	108/0/0											
7	mas 02	mas 03	9 to 15 Lon … 10 to 14 Out		"2,422"	1114.18125	1181.40069444444	0	0	126.300694444444			2880	2880	2880	2880	2880	2880	2880	2880		64.6173611111111	1049.56388888889	0	0	1181.40069444444	20.5875	0	0	106		0/0/0	419/4/0	0/0/0	8454/10/1	0/0/0	0/0/0	1321/10/0	687/3/0	0/0/0	7/1/0	11113/7/10	240/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	857/0/7	356/4/2	0/0/0	2069/11/3	0/0/0	62/1/0	0/0/0	0/0/0	0/0/0	3063/8/4	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	411/10/7			419/4/0		8454/10/1			1321/10/0	687/3/0		7/1/0	11113/7/10	240/0/0							857/0/7	356/4/2		2069/11/3		62/1/0				3063/8/4							411/10/7							
8	mas 03	mas 04	9 to 15 Lon … 10 to 14 Out		"1,209"	721.892013888889	413.918055555556	0	0	73.2225694444444			2880	2880	2880	2880	2880	2880	2880	2880		42.2652777777778	679.626736111111	0	0	413.918055555556	54.5625	0	0	19		0/0/0	329/11/5	0/0/0	6092/5/1	0/0/0	0/0/0	1275/12/0	662/8/0	0/0/0	0/0/0	3689/7/7	569/8/0	85/7/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	5/8/0	177/12/3	0/0/0	125/5/4	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	1277/12/9	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	218/10/5/5			329/11/5		6092/5/1			1275/12/0	662/8/0			3689/7/7	569/8/0	85/7/0						5/8/0	177/12/3		125/5/4						1277/12/9							218/10/5/5							
