Table 1
	Start	End	In?	Salem?	Log	p	Note								
1	31 May 1686	29 Sep 1686	1												
22	29 Sep 1687	25 Mar 1688	1		60										
44	25 Mar 1688	29 Sep 1688	1		0.5	jam									
					25	h	plus 2t sarsaparilla; 100 ? notto; 1t iron old								
					40	h									
					45	h	plus 50 dry hides								
159	25 Dec 1713	25 Dec 1714	1		1235										
					24	curasoa									
					175										
162	25 Dec 1714	25 Dec 1715	1		803										
164	25 Dec 1715	25 Dec 1716	1		275										
165	25 dec ?	24 Jun 1716	1		60										
167	29 Jul 1718	23 Aug 1718	1												
169	23 Aug 1718	13 Oct 1718	1												
171	13 Oct 1718	3 Nov 1718	1												
173	3 Nov 1718	23 Mar 1719	1												
175	23 Mar 1718	11 Apr 1718	1												
177	11 Apr 1719	6 May 1719	1												
179	6 May 1719	11 Jun 1719	1												
181	11 Jun 1719	14 Jul 1719	1												
185	25 Sep 1714	25 Dec 1714	1	1											
187	25 Dec 1714	25 Mar 1715	1	1											
189	25 Mar 1715	25 Jun 1715	1	1											
192	25 Jun 1715	29 Sep 1715	1	1			"Stopped recording Salem, & later Marblehead, Newbury & York, imports at img192"								
242	25 Sep 1752	25 Dec 1752	1												
261	25 Dec 1752	5 Apr 1753	1												
269 … 273	5 Apr 1753	5 Jul 1753	1		200	h									
282	10 Jul 1753	10 Oct 1753	1		10	SC									
					70	h									
					55	h									
298	5 Oct 1753	5 Jan 1754	1												
313	5 Apr 1754	5 Jul 1754	1												
321	10 Jul 1754	10 Oct 1754	1		136	h									
					400	h									
356	5 Oct 1754	5 Jan 1755	1												
368	5 Jan 1755	5 Apr 1755	1												
374	5 Apr 1755	5 Jul 1755	1		51.5	mosq.									
382	5 Jul 1755	10 Oct 1755	1												
413	5 Oct 1755	5 Jan 1756	1												
421	5 Jan 1756	5 Apr 1756	1												
427	5 Apr 1756	5 Jul 1756	1		75	h									
					80	h									
					145	NY	"“Foreign”, camp? img430"								
435	5 Jul 1756	10 Oct 1756	1		310	h									
					40	NY	Foreign img438								
473	5 Jan 1762	5 Apr 1762	1												
481	5 Apr 1762	5 Jul 1762	1												
491	5 Jul 1762	10 Oct 1762	1												
502	10 Oct 1762	5 Jan 63	1												
562	5 Jan 1763	5 Apr 1763	1												
573	5 Jul 1763	10 Oct 1763	1												
581	10 Oct 1763	5 Jan 1764	1												
625	5 Jan 1764	5 Apr 1764	1												
633	5 Apr 1764	5 Jul 1764	1												
641			1				Stopped here								
