Table 1
No		Start	End	Value	Car	Jam	NE	NY	PA	Vi & Mar	WI	Span WI	Car	Jam	NE	NY	PA	Vi & Mar	WI	Span WI
81		mich 96	lady day 97	8/10 Jam … 10 NE …		705/10/0	1461/15/0							204/0/0	117/10/0					
81		lady day 97	mich 97	10 Car NE NY Vi Mary … 8/10 Jam	450/10/0	1140/19/7	15/0/0	1333/15/0		317/10/0				97/4/5						
1		mich 97	mich 98	18 Jam … 17/3 Car … 17/5 NE NY … 18 VM … 	51/50/0	14082/1/4	1603/3/5	29/6/6		9/9/0			6/13/8	2200/0/3		269/11/10				
2		mich 98	mas 98	18 Jam … 17/9 Car … 17/3 NE NY … 18 VM … 	5/12/1	1023/10/6	78/0/0			331/13/0						34/10/0		1/7/0		
3		mas 98	mas 99	12 to 14	1162/0/9	18745/15/0	4396/5/6	1347/2/6						9219/16/11	344/14/3	1744/8/11				
4		mas 99	mas 00	9 to 15	4461/5/11	48988/13/0	8095/13/9	6074/5/0	117/18/0	1/8/6				4361/10/2	3502/8/6	488/2/0	130/0/9	94/18/3		
5		mas 00	mas 01	10 to 14	5899/17/6	26571/12/7	7505/17/5	4741/9/0	720/0/0				2663/17/10	5101/8/10	1158/9/0	1787/6/6		6/0/0		
6		mas 01	mas 02	10 to 14	1015/14/6	26740/5/1	13334/12/6	1442/6/6	420/18/0					5277/19/2	1081/14/10	1371/19/11				
7		mas 02	mas 03	9 to 15 Lon … 10 to 14 Out	419/4/0	11113/7/10	8454/10/1	1321/10/0	687/3/0				356/4/2	3063/8/4	2069/11/3	62/1/0				
8		mas 03	mas 04	9 to 15 Lon … 10 to 14 Out	329/11/5	3689/7/7	6092/5/1	1275/12/0	662/8/0		569/8/0		177/12/3	1277/12/9	125/5/4					
9		mas 05	mas 06	10 to 14		1200/3/9	1648/17/2	290/17/0	502/16/0				59/11/4	101/15/8	45/0/0					
10		mas 06	mas 07	10 to 14 Lon … 9 to 15 Out	1072/19/0	1568/9/8	4532/13/1	244/6/3						629/0/4	391/13/6	1318/16/1	4/4/0		22/19/0	
11		mas 07	mas 08	10 to 14	491/4/3	3381/15/4	5974/13/4	2834/0/1		11/8/0			110/4/7	86/8/6	1499/14/0	354/7/7		2/12/10		
12		mas 08	mas 09	9 to 15	1858/5/6	1268/11/6	4720/5/2	544/14/6		218/5/0			11/7/8		365/4/10	411/10/1		8/15/10		
13		mas 90	mas 10	10 to 14		3050/8/0	2101/15/8	173/2/0		39/0/0			169/2/6	1836/2/5	245/17/1	143/2/0				
14		mas 10	mas 11	10 to 14	16/13/0	1605/16/1	1302/8/8			243/6/0				1404/15/5	229/9/3	15/2/3		240/15/0		
15		mas 12	mas 13	10 to 14	1003/2/10	4064/17/4	14467/4/5	469/19/0		0/12/0			91/0/3	4456/6/7	560/8/9	894/6/3		89/14/0		
16		mas 13	mas 14	10 to 14	781/1/10	12003/12/10	21764/15/7	7224/16/11	884/3/6	1442/2/0			730/4/5	6505/1/4	857/0/2	4488/2/11		3/6/0		
