Table 1
No		Start	End	Value	Car	Jam	NE	NY	PA	Vi & Mar	WI	Span WI	Car	Jam	NE	NY	PA	Vi & Mar	WI	Span WI
63	log	mas 62	mas 63	10 to 14	291/0/0	16317/15/0	384/0/0	6684/0/0	1344/0/0	300/0/0	9948/0/0		60/14/9	3591/4/2	235/16/0	461/18/6			1931/2/3	
63	mah t			10 Lon pt Jam … 7 to 9 Out pt Jam … 		8265/0/0								3392/0/0						
63	mah p			20 s Jam …		18082/0/0								2606/0/0						
63	mah ft			3 pence per foot Jam Lon … 6 pence p ft Jam Lon		2/10/0								4/0/0						
64	log	mas 63	mas 64	10 to 14	282/0/0	12534/6/0	3672/0/0	8549/8/0	6000/0/0		1681/13/0	3714/0/0		6584/13/4	122/14/5	6301/19/1	3439/6/0	720/0/0		
64	mah t			7 to 9 pt Jam … SWI 8 pt		4896/0/0						1576/0/0		7028/12/0						
64	mah p			20 s pp Jam … 8 to 12 s pp SWI		24409/0/0						1309/0/0		3054/0/0						
65	log	mas 64	mas 65	10 to 14	3738/0/0	24633/0/0	3603/0/0	13371/14/5	2220/0/0		2040/0/0	7092/0/0	295/16/0	7160/4/7	3185/8/0	2575/2/0	633/7/8			1128/0/0
65	mah			8 pt Jam																
65				20 s pp Jam & SWI								2732/0/0								123/0/0
65				6 pence p ft Jam																
66	log																			
66	mah																			
67	log																			
67	mah																			
68	log																			
68	mah																			
