Table 1
No	Start	End	Value	Jam	Car	NE NY	Vi Mary	US Other	Car	NE NY	Vi Mary	Jam	Other	£	t	Bar	Car	FL	Canada	Jam	NE	GA	Prov	NY	PA	Vi & Mar	WI / Hav	WI	WI	Span WI / Mosq	WI	WI	Mosq	Prize	Bar	Car	FL	Jam	NE	Prov /GA	NY	PA	Vi & Mar	WI	Span WI / Mosq	WI	WI	WI	Mosq	Prize							
81	mich 96	lady day 97	8/10 Jam … 10 NE …	2040	2400	2400	2400	0	0	379020	0	218280	0	"2,489"	265					705/10/0	1461/15/0																	204/0/0	117/10/0																		
81	lady day 97	mich 97	10 Car NE NY Vi Mary … 8/10 Jam	2040	2400	2400	2400	0	108120	323700	76200	297168	600	"3,357"	357		450/10/0			1140/19/7	15/0/0			1333/15/0		317/10/0												97/4/5						2/10/0													
1	mich 97	mich 98	18 Jam Bar WI … 17/3 Car … 17/5 NE NY … 18 VM … 16/5 Canada	4320	4116	4140	4320	0	14444	456501	2268	3907699	98082	"18,662"	"1,019"	3/7/6	51/50/0		406/5/0	14082/1/4	1603/3/5			29/6/6		9/9/0	408/13/6									6/13/8		2200/0/3			269/11/10																
2	mich 98	mas 98	18 Jam Bar … 17/9 Car … 17/3 NE NY … 18 VM … 	4320	4188	4116	4320	0	1345	27000	79920	245646	0	"1,475"	82	103/10/0	5/12/1			1023/10/6	78/0/0					331/13/0									64/13/9						34/10/0		1/7/0														
3	mas 98	mas 99	12 to 14	3120	3120	3120	3120	0	278889	1879814	0	6711743	0	"36,960"	"2,843"		1162/0/9			18745/15/0	4396/5/6			1347/2/6														9219/16/11	344/14/3		1744/8/11																
4	mas 99	mas 00	9 to 15	12	12	12	12	557745	1070711	4358511	23121	12804038	88443	"78,761"	"1,567,844"	308/0/6	4461/5/11			48988/13/0	8095/13/9		2076/0/0	6074/5/0	117/18/0	1/8/6	361/10/0	108/12/0	126/9/0						115/17/6			4361/10/2	3502/8/6		488/2/0	130/0/9	94/18/3	7/0/3													
5	mas 00	mas 01	10 to 14	12	12	12	12	172800	2055304	3646343	1440	7601537	180	"56,157"	"1,123,119"	1201/0/3	5899/17/6			26571/12/7	7505/17/5			4741/9/0	720/0/0		0/15/0	17/14/0							123/3/0	2663/17/10		5101/8/10	1158/9/0		1787/6/6		6/0/0														
6	mas 01	mas 02	10 to 14	12	12	12	12	202032	243774	4135365	0	7684371	179713	"51,855"	"1,022,129"	713/13/4	1015/14/6			26740/5/1	13334/12/6		420/18/0	1442/6/6	420/18/0		136/10/0	536/17/0										5277/19/2	1081/14/10		1371/19/11			39/2/3		573/3/10	108/0/0										
7	mas 02	mas 03	9 to 15 Lon … 10 to 14 Out	12	12	12	12	164916	186098	2857828	0	3402434	57600	"27,787"	"550,940"	7/1/0	419/4/0			11113/7/10	8454/10/1			1321/10/0	687/3/0		240/0/0							857/0/7		356/4/2		3063/8/4	2069/11/3		62/1/0									411/10/7							
8	mas 03	mas 04	9 to 15 Lon … 10 to 14 Out	12	12	12	12	158976	121724	1798349	0	1192084	136656	"14,199"	"272,594"		329/11/5			3689/7/7	6092/5/1			1275/12/0	662/8/0		569/8/0	85/7/0						5/8/0		177/12/3		1277/12/9	125/5/4											218/10/5/5							
9	mas 05	mas 06	10 to 14	12	12	12	12	120672	14296	476330	0	312473	0	"3,849"	"76,981"					1200/3/9	1648/17/2			290/17/0	502/16/0											59/11/4		101/15/8	45/0/0											2/8/0							
10	mas 06	mas 07	10 to 14 Lon … 9 to 15 Out	12	12	12	12	1815503	257508	1556987	0	527400	17172	"17,394"	"346,450"	120/0/0	1072/19/0			1568/9/8	4532/13/1			244/6/3			48/12/0											629/0/4	391/13/6		1318/16/1	4/4/0		22/19/0													
11	mas 07	mas 08	10 to 14	12	12	12	12	2824136	144346	2559060	3370	832366	50040	"26,722"	"530,273"	111/7/4.5	491/4/3			3381/15/4	5974/13/4			2834/0/1		11/8/0	208/10/0									110/4/7		86/8/6	1499/14/0		354/7/7		2/12/10			408/0/0											
12	mas 08	mas 09	9 to 15	12	12	12	12	2397223	448718	1450015	54490	304458	72288	"19,697"	"387,909"		1858/5/6			1268/11/6	4720/5/2			544/14/6		218/5/0	301/4/0									11/7/8			365/4/10		411/10/1		8/15/10			191/13/9.5				8/17/0							
13	mas 90	mas 10	10 to 14	12	12	12	12	689271	40590	639321	9360	1172765	0	"10,630"	"212,609"					3050/8/0	2101/15/8			173/2/0		39/0/0		81/9/0								169/2/6		1836/2/5	245/17/1		143/2/0																
14	mas 10	mas 11	10 to 14	12	12	12	12	437690	3996	371282	116172	722538	0	"6,882"	"137,640"		16/13/0			1605/16/1	1302/8/8					243/6/0												1404/15/5	229/9/3		15/2/3		240/15/0			585/13/10											
15	mas 12	mas 13	10 to 14	12	12	12	12	4437690	262597	3934061	21672	2045087	0	"44,588"	"891,759"		1003/2/10			4064/17/4	14467/4/5			469/19/0		0/12/0									180/0/0	91/0/3		4456/6/7	560/8/9		894/6/3		89/14/0														
16	mas 13	mas 14	10 to 14	12	12	12	12	9348880	362715	8240347	346896	4442090	28800	"94,874"	"1,895,077"	363/13/3.25	781/1/10			12003/12/10	21764/15/7			7224/16/11	884/3/6	1442/2/0	120/0/0									730/4/5		6505/1/4	857/0/2		4488/2/11		3/6/0			29/18/10											
17	mas 14	mas 15	10 to 14	12	12	12	12	10150968	1142182	8537209	46136	5128456	2187	"104,196"	"2,083,746"	2257/9/2	2220/16/11			14903/10/1	25856/11/8			4176/6/9	1772/13/5	192/4/8	9/2/3	27/9/0	10/14/6		877/16/0	1116/18/0			2352/5/9	2538/4/11		6465/1/3	2443/18/0		3094/17/8																
18	mas 15	mas 16	10 to 14	12	12	12	12	4974508	1166634	2707791	20735	1703861	22492	"44,150"	"881,127"	601/0/2	4033/8/0			3886/10/11	7363/13/9			582/14/6	432/7/8	5/7/11	80/3/6								87/19/6	827/11/6		3212/17/6	2146/4/0		1189/17/0	112/18/0	81/0/0	13/10/10		10/4/4											
19	mas 16	mas 17	10 to 14	12	12	12	12	1171173	302890	643975	27811	1664768	453873	"17,769"	"317,551"	305/19/6	887/17/2			5582/8/2	1176/7/11			339/15/4		39/0/0				1883/18/9	341/8/0				237/9/0	374/3/8		1354/2/6	533/11/0		633/10/4	7/14/9	76/17/7	7/4/0													
20	mas 17	mas 18	10 to 14	12	12	12	12	995969	401906	194199	3155	1861095	733646	"17,458"	"288,027"	784/1/0	1647/17/3			5692/6/6	264/17/0			118/10/0		12/4/11				3001/10/0						26/14/11		2062/4/9			425/16/3	5/19/1	0/18/0	55/7/2													
21	mas 18	mas 19	10 to 14	12	12	12	12	366237	3129	349752	2268	1110162	143784	"8,231"	"152,629"	1862/2/9	12/0/0			3108/11/4	536/4/0			704/5/9	46/4/0	9/9/0	96/0/0			503/2/0	252/18/0				9/15/9	1/0/9		1517/2/2	26/6/6		190/9/9																
22	mas 19	mas 20	10 to 14	12	12	12	12	397698	21006	375972	720	589430	0	"5,770"	"115,402"					1648/1/7	756/0/9			485/10/3		3/0/0										87/10/6		807/17/7	165/1/11		159/18/1																
23	mas 20	mas 21	10 to 14	12	12	12	12	1856864	1485	1829405	21168	3115967	89083	"28,808"	"568,741"	485/0/6				9201/9/7	5214/0/10			380/14/0	13/7/0	88/4/0	335/17/0									6/3/9		3781/14/4	1203/14/3		824/1/4	6/13/6		35/6/7													
24	mas 21	mas 22	10 to 14	12	12	12	12	1806574	83541	1722421	612	1331081	22143	"20,693"	"412,019"	35/10/8	132/0/0			2695/10/10	5064/14/6			1380/18/7		2/11/0		363/9/0								216/1/9		2850/12/7	659/17/7		71/4/5			92/5/3													
25	mas 22	mas 23	10 to 14	12	12	12	12	2777625	107820	2669805	0	2603786	979200	"38,076"	"679,920"	191/3/0	431/5/0			4560/12/0	6931/14/0			3051/12/0			4080/0/0	589/10/0								18/0/0		6288/10/2	911/15/6		229/2/3																
26	mas 23	mas 24	10 to 14	12	12	12	12	3968312	252144	3641288	0	3253859	753120	"49,453"	"926,300"	400/3/0	750/12/0			9082/16/1	8348/5/0			3675/11/6	312/0/0		1260/0/0	1500/0/0	1068/0/0	288/0/0		3600/0/0			83/3/6	300/0/0		4474/18/10	2114/10/9		1033/13/5			402/0/0	1476/0/0												
27	mas 24	mas 25	10 to 14	12	12	12	12	4820808	58320	3956485	0	3401397	611654	"53,536"	"1,019,751"	432/0/0	78/0/0			7632/13/6	12568/1/11			1203/0/0	2412/0/0		516/0/0	1224/0/0							186/0/0	165/0/0		6539/16/3	2714/5/2			946/6/11		232/11/2	1800/0/0												
28AB	mas 25	mas 26	10 to 14	12	12	12	12	4467856	489067	3170949	0	3758253	2066049	"58,134"	"990,510"	17/8/09	1932/0/0			9714/10/3	10657/3/4			1535/2/5	3366/0/0		1798/4/0	6/0/0		3366/0/0					149/8/0	105/15/7		5944/17/6	1020/0/0						3444/6/9												
82	mas 26	mas 27	10 to 14	12	12	12	12	5756210	613072	5100226	0	2497808	339840	"59,613"	"1,163,943"	1476/0/0	1411/13/0			4227/15/6	17128/6/4			2004/0/0	72/0/0										24/0/0	1142/16/4		6179/15/2	2115/12/6		3/0/0	106/16/0		1416/0/0													
29	mas 28	mas 29	10 to 14	12	12	12	12	1830333	250769	1470124	109440	917466	659	"19,078"	"381,511"	390/0/0	897/12/0			1760/0/0	5573/10/4					456/0/0	2/14/11								26/13/10	147/5/5		2062/15/6	552/0/0																		
30	mas 29	mas 30	10 to 14	12	12	12	12	1458275	74808	1358748	24719	1314140	1513374	"23,934"	"352,558"	204/0/0	237/6/0			2699/12/2	4666/6/0			84/0/0		102/19/11	4296/0/0			2004/0/0						74/8/0		2775/19/6	567/6/6		343/16/6			5/14/6													
31	mas 30	mas 31	10 to 14	12	12	12	12	746802	68538	644712	24480	895892	605808	"12,443"	"198,369"		96/0/0			132/0/0	2206/6/0			480/0/0	37/16/0	102/0/0				2520/0/0						189/11/6		3600/17/8						4/4/0													
32	mas 31	mas 32	10 to 14	12	12	12	12	1528916	80640	1401991	0	1778488	103699	"20,391"	"399,170"	60/0/0	336/0/0			3608/1/3	5313/12/7			528/0/0	192/17/1		25/16/0			333/0/0								3802/6/1							73/5/7												
33	mas 32	mas 33	10 to 14	12	12	12	12	725472	0	725472	0	2152575	1329984	"20,556"	"300,293"					4101/1/4	2698/16/0			132/0/0						5520/0/0								4867/19/11	192/0/0						21/12/0												
34	mas 33	mas 34	10 to 14	12	12	12	12	939960	17280	900648	0	1947192	720000	"18,855"	"317,090"		72/0/0			3797/6/0	3260/14/0			492/0/0	91/16/0		3000/0/0	108/0/0			3/0/0							4316/0/0																			
35	mas 34	mas 35	10 to 14	12	12	12	12	1494939	0	1480539	14400	2239435	852892	"25,343"	"435,776"					6661/2/6	5289/18/3			744/0/0		60/0/0	2400/0/0			1153/14/4	21/0/0							2669/17/1	135/0/0																		
36	mas 35	mas 36	10 to 14	12	12	12	12	3626743	351360	3275383	0	2619547	34560	"41,282"	"822,753"	228/0/0	1464/0/0			6611/1/1	9330/8/8			996/0/0			144/0/0								384/0/0			4303/14/6	1706/12/0		1614/7/11																
