Table 1
	Start	End	In?	Salem?	Log	p	img	Date OS	Note	Note								
1	31 May 1686	29 Sep 1686	1															
22	29 Sep 1687	25 Mar 1688	1		60		22	11 oct 1687	80 pink jam									
44	25 Mar 1688	29 Sep 1688	1		0.5	jam	44	17 apr 1688	30 ketch bos									
					25	h	48	25 may 1688	35 sloop NY	plus 2t sarsaparilla; 100 ? notto; 1t iron old								
					40	h	48	1 jun	45 ketch jam									
					45	h	52	27 jun	35 ketch bos	plus 50 dry hides								
159	25 Dec 1713	25 Dec 1714	1		120		159	17 feb 1713	ship bos									
					80		159	15 mar	brig newport									
					100		159	17 mar	ship bos									
					70		159	12 apr	brig NH									
					50		159	24 apr	brig bos									
					100		159	24 apr	ship bos									
					70		159	26 apr	ship bos									
					100		159	10 may	ship bos									
					24	curasoa	159	17 may	sloop bos									
					50		159	1 jun	sloop bos									
					30		159	3 jun	sloop bos									
					38		159	4 jun	sloop bos									
					50		159	11 jun	brig NH									
					30		159	25 jun	sloop ?									
					37		159	1 jul	sloop bos									
					70		159	10 jul	ship bos									
					40		159	6 aug	loop Newport									
					150		159	9 aug	ship bos									
					50		159	10 aug	sloop bos									
					30		160	17 aug	sloop Barb									
					45		160	1 sep	brig Barb									
					100		160	20 sep	Bristoll brig									
162	25 Dec 1714	25 Dec 1715	1		80		162	8 mar	bos									
					64		162	22 mar	bos									
					80		162	28 mar	bos									
					60		162	5 apr	newport									
					37		162	5 apr	bos									
					55		162	5 apr	bos									
					64		162	6 apr	newport									
					70		162	18 apr	piscataqua									
					43		162	20 apr	bos									
					70		162	28 apr	bos									
					47		162	3 may	bos									
					58		162	4 may	charlestown									
					56		162	5 may	bos									
					80		162	5 may	newport									
					70		162	6 may	bos									
					35		162	4 jun	sloop bos									
164	25 Dec 1715	25 Dec 1716	1		60		164	1 mar	brig bos									
					45		164	25 jun	ship bos									
					60		164	11 sep	ship bos									
					60		164	24 sep	brig bos									
					50		164	4 oct	brig bos									
165	25 Dec 1716	24 Jun 1717	1		60		165	3 jan 1716	brig bos									
167	29 Jul 1718	23 Aug 1718	1															
169	23 Aug 1718	13 Oct 1718	1															
171	13 Oct 1718	3 Nov 1718	1															
173	3 Nov 1718	23 Mar 1719	1															
175	23 Mar 1718	11 Apr 1718	1															
177	11 Apr 1719	6 May 1719	1															
179	6 May 1719	11 Jun 1719	1															
181	11 Jun 1719	14 Jul 1719	1															
185	25 Sep 1714	25 Dec 1714	1	1														
187	25 Dec 1714	25 Mar 1715	1	1														
189	25 Mar 1715	25 Jun 1715	1	1														
192	25 Jun 1715	29 Sep 1715	1	1						"Stopped recording Salem, & later Marblehead, Newbury & York, imports at img192"								
242	25 Sep 1752	25 Dec 1752	1															
261	25 Dec 1752	5 Apr 1753	1															
269 … 273	5 Apr 1753	5 Jul 1753	1		200	h	271	27 may 1753	150 ship bos									
282	10 Jul 1753	10 Oct 1753	1		10	SC	282	7 aug	45 schooner SC									
					70	h	282	13 aug	60 sloop bos									
					55	h	284	23sep	55 schooner bos									
298	5 Oct 1753	5 Jan 1754	1															
313	5 Apr 1754	5 Jul 1754	1															
321	10 Jul 1754	10 Oct 1754	1		100	h	321	9 aug	70 brig bos									
					38	h	321	10 aug	40 solo pbos									
					300	h	321	20 aug	300 ship bos									
					100	h	321	23 aug	100 snow bos									
356	5 Oct 1754	5 Jan 1755	1															
368	5 Jan 1755	5 Apr 1755	1															
374	5 Apr 1755	5 Jul 1755	1		51.5	mosq.	376	4 jul	60 sloop bos									
382	5 Jul 1755	10 Oct 1755	1															
413	5 Oct 1755	5 Jan 1756	1															
421	5 Jan 1756	5 Apr 1756	1															
427	5 Apr 1756	5 Jul 1756	1		75	h	427	19 apr 1756	60 sloop bos									
					80	h	427	10 may	55 schooner bos									
					90	NY	429	12 may	50 sloop bos	"“Foreign”, camp? img430"								
					41	NY	429	13 may	45 sloop bos									
					14	NY	429	3 jul	15 sloop NY									
435	5 Jul 1756	10 Oct 1756	1		120	h	435	29 jul	70 brig bos									
					50	h	435	8 aug	50 sloop bos									
					70	h	435	11 aug	83 brig bos									
					70	h	435	13 aug	50 schooner bos									
					40	NY	437	7 oct	40 sloop ??	Foreign img438								
473	5 Jan 1762	5 Apr 1762	1															
481	5 Apr 1762	5 Jul 1762	1															
491	5 Jul 1762	10 Oct 1762	1															
502	10 Oct 1762	5 Jan 63	1															
562	5 Jan 1763	5 Apr 1763	1															
573	5 Jul 1763	10 Oct 1763	1															
581	10 Oct 1763	5 Jan 1764	1															
625	5 Jan 1764	5 Apr 1764	1															
633	5 Apr 1764	5 Jul 1764	1															
641			1							Stopped here								
