Table 1
img						p	Start	End	Amt				
4	1685	Dec 1	40 t log	bay									
	1686	Apr 19	14 log	camp									
		21 apr	31 log	cam									
		31 may	15 log	c									
		oct 16	160 tl	c									
		20 nov	tl	h	10 t brig “loaded w log”; no other merch								
19		21 dec	100 tl	h	fuzzy								
	1687	20 jan	40 tl	h	+ 7 bags pimiento								
22		24 jan	laden l	“Treece”	50 t 4 gun vessel								
		25 jan	16 tl	treece									
40		1 nov	35 tl	h									
	1688	jan 8	12 tl	c									
		jan 10	30 tl	h									
		23 jan	≤ 28 tl	h	torne								
		2 feb	150 tl	h									
		4 f	32 tl	h									
		7 f	12 tl	c									
		7m	40 tl	h									
				16 ap 20 tl h									
				25 ap 45 tl h									
				28 m 20 tl c									
				aug 16 40 tl c									
				3 sep 15 tl c									
				10 sep 25 tl c									
				15 sep 45 tl c									
				19 nov 70 tl c									
				22 nov 25 tl c									
	1689			jan 21 w 35 tl c									
				25 jan 15 tl c									
				21 feb 80 tl c									
	1690			16 dec 20 tl h									
	1691			10 jan 30 tl 1000x pimento (bags?) hond									
				exports img 140 1686									
246				midsummer 1700									
281				imports 29 sep 1683 to 25 mar 1684									
	1684			7 feb 300 tl h									
305	1688			27 sep 31 tl h									
				8 oct 20 tl c									
				12 oct 30 tl c									
				17 oct 15 tl c + 4 passangers									
				24 oct 20 tl c									
				7 nov 20 tl c									
				9 nov 5 tl h									
				17 dec 27 tl c									
			1688	17 jan 40 tl c									
				23 jan 10 tl c									
				23 jan 25 tl c									
			1689	25 jan 20 tl h									
				31 jan 10 tl c									
				31 jan 20 tl c									
				31 jan 40 tl c									
				18 feb 15 tl c									
				6 mar 25 tl h									
				8 mar 32 tl c									
			1689	3 apr 12 tl c									
				5 apr 10 tl c									
				9 apr 23 tl c									
				10 apr 15 tl h									
				24 apr 6 tl c									
				24 may 20 tl h									
				3 jun 16 tl c									
				29 jun 40 tl c									
				12 jul 16 tl c									
				29 jul 40 tl c									
				12 jul 16 tl c									
				31 jul 16 tl c									
				4 sep 6 tl c									
			1701	6 may 60 tl h									
369			1709	2 feb 41 tl c									
			1709	23 mar 30 tl h									
			1710	24 apr 70 tl c									
				30 may 40 tl h									
				29 nov 60 tl c									
			1711	28 mar 50 tl c									
			1709	31 oct 52 tl h									
395				6 dec 160 tl c									
			1709	10 feb 40 tl h		495	25 Dec 1718	25 Mar 1719	99				
				3 feb 36 tl h			25 Mar 1719	24 Jun 1719					
			1710	6 dec 30 tl c				29 Sep 1719					
			1710	9 mar 25 tl c				25 Dec 1720					
			1711	4 may 150 tl c			25/03/1719	24/06/1719	40				
				486 stop			24 Jun 1719	29 Sep 1719					
			1719				29 Sep 1719	25 ? ?					
							25 Dec 1718	25 Mar 1719					
							mas 1718 ^	lady 1719 ^					
							lady 1719	24 Jun 1719	35				
