Table 1
No	Cust	Start	End	to Eng	fm Eng	to GB	fm GB											
64	3	mas 63	mas 64	9398/11/3	0/0/0													
65	3	mas 64	mas 65	11874/5/8	113/8/8													
66	3	mas 65	mas 66	11601/2/6	3555/1/11			marked Honduras Bay in Sp. W. Indies										
67	3	mas 66	mas 67	15611/8/3	7995/4/5			marked Honduras Bay & Mosq. Shore										
68	3	mas 67	mas 68					marked Honduras Bay & Mosq. Shore; scan missing last page … rev										
69	3	mas 68	mas 69	7456/9/11	9938/8/8			marked Honduras Bay; Mosq. Shore separate										
70	3	mas 69	mas 70	85659/7/2	9115/1/9													
71	3	mas 70	mas 71	34087/9/7	3264/6/8													
72	3	mas 71	mas 72					scan missing last p … rev										
73	3	mas 72	mas 73	21377/13/9	668/11/1													
74	3	mas 73	mas 74	25253/19/7	3250/19/5													
75	3	mas 74	mas 75	43180/6/4	3639/4/9													
76	3	mas 75	mas 76	30007/9/0	2215/8/10													
77	3	mas 76	mas 77	27744/7/8	490/3/4													
78	3	mas 77	mas 78	44003/14/0	1174/14/9													
79	3	mas 78	mas 79	10690/1/6	2066/19/11													
80	3	mas 79	mas 80	14/1/0	0/0/0													
1	17	5 jan 72	5 jan 73	115482/17/4		147024/7/4		1 p36; marked FWI; exports include Florida										
2	17	5 jan 73	5 jan 74	48378/13/4		70203/10/5		1 p37; exports include Florida										
3	17	5 jan 74	5 jan 75					1 p35										
4	17	5 jan 75	5 jan 76					1 p37										
4	17	5 jan 76	5 jan 77					3 p39										
5	17	5 jan 77	5 jan 78					1 p36										
5	17	5 jan 78	5 jan 79					3 p8										
6	17	5 jan 79	5 jan 80					1 p30; marked Other or Foreign West Indies										
6	17	5 jan 80	5 jan 81					2 p62										
7	17	5 jan 81	5 jan 82					1 p34										
7	17	5 jan 82	5 jan 83					2 p72 … 3 p1										
8	17	5 jan 83	5 jan 84					1 p38										
8	17	5 jan 84	5 jan 85					3 p35										
9	17	5 jan 85	5 jan 86					1 p34										
9	17	5 jan 86	5 jan 87					2 p65										
10	17	5 jan 87	5 jan 88					1 p36										
10	17	5 jan 88	5 jan 89					3 p46 … p58										
11	17	5 jan 89	5 jan 90					2 p28 … p44 … p60										
12	17	5 jan 90	5 jan 91					2 p6 … p14 … p22										
																		
5	4	jan 1807	dec 1807	59224/18/3				3 p57; time marked simply “1807”; no index / table of contents; Honduras listed with foreign S. Amer. countries & Greenland										
6	4	jan 1810	dec 1810	74979/18/5				4 p47										
7	4	jan 1811	dec 1811	95785/0/5				3 p55										
8	4	jan 1812	dec 1812	71670/4/2		92218/3/5		4 p32; abstract in last page										
9	4	jan 1814	dec 1814	67249/7/10		80310/15/2		last page; listed under Foreign Colonies										
10	4	jan 1815	dec 1815	115521/11/0		155827/0/9												
11	4		1816	96337/8/10		118328/15/10		listed under Br. N. Amer. Colonies										
12	4		1817	74211/6/8		79263/14/7												
13	4		1818	60142/13/3		97268/3/7												
14	4		1819	80091/7/7		106419/9/5												
15	4		1820	125939/19/7		136360/9/6												
16	4		1821	89135/14/3		98282/16/1												
