so Items / Manuscript items or collections not held by a number of well known repositories.
uid	no	cnt	copy	title	faid	faid	at	date	date	faid``	
^^^	^^^	1	http://bdh-rd.bne.es/viewer.vm?id=0000143597	[Belice. Colonias. 1787. ]	https://researchworks.oclc.org/archivegrid/collection/data/431562811	^^^	bne	1787	^^^	^^^	
^^^	^^^	vars	^^^	"Archivo General de Indias records : Spanish exploration and settlement related materials, circa 1530-circa 1820"	https://researchworks.oclc.org/archivegrid/collection/data/143_vorocdliborgoaceadprime2002berkeleybancroftmze1_cubancxml?p=1&q=%22bacalar+yucatan%22%7E5	^^^	uc berk	16th cent	18th cent	^^^	
^^^	^^^	1	http://www.louisianadigitallibrary.org/cdm/compoundobject/collection/p16313coll34/id/251/rec/56	"Armand Allard Duplantier to Guy Allard Duplantier, 1805 Feb. 20"	https://researchworks.oclc.org/archivegrid/fa.php?id=25&fileloc=25_swwwliblsuedusitesdefaultfilesscfindaid5060pdf	^^^	lsu	1805	^^^	^^^	
^^^	^^^	vars	^^^	Balance books from a London trader	https://researchworks.oclc.org/archivegrid/fa.php?id=542&fileloc=542_sarchiveslibkuedurepositories3resources3998	^^^	u kansas	1810	1818	^^^	
^^^	^^^	1	^^^	Copia del manifiesto que presentó Dn. Tomás Southuel â la Superioridad en el año de 1769 : proponiendo el establecimiento de pescas en las sondas de las Indias Occidentales ê Yslas como el medio mas seguro para poblar y conservarlas ; y las costas adjacentes con algunas noticias que tal vez será util tenerlas presentes en los tratados de paz y comercio con los yngleses. El Pardo 8 de febrero de 1783	https://researchworks.oclc.org/archivegrid/collection/data/33961103	^^^	newb	1783	1769	^^^	
^^^	^^^	1	^^^	"Correspondencia del Ministerio de Relaciones Interiores, relacionada con la situación militar en el Estado de Tabasco y San Antonio de Bejar, E.U.A., así como con la compra de armamento en Belice para sostener el pronunciamiento del General Bruno Miguel Año de 1848"	https://researchworks.oclc.org/archivegrid/collection/data/143_vorocdliborgoaceadprime2002berkeleybancroftarchivohistorico_film_cubancxml?p=1&q=Belice	^^^	uc berk	1848	^^^	^^^	
^^^	^^^	vars	^^^	Documents for the history of Mexico circa 1524-1855	https://researchworks.oclc.org/archivegrid/collection/data/143_vorocdliborgoaceadprime2002berkeleybancroftmma1_cubancxml?p=1&q=%22yucatan+ingleses%22%7E5	^^^	uc berk	16th cent	18th cent	^^^	
^^^	^^^	1	^^^	Expedición de orden de S.M.C. en los territorios del palo de tinte en la Probincia de Yucatan donde morean los expediciones de los Yngleses ...	https://researchworks.oclc.org/archivegrid/collection/data/32165605?p=1&q=%22palo+tinte%22%7E3	^^^	uc berk	1762	^^^	^^^	
^^^	^^^	vars	^^^	James Card Family Papers	https://researchworks.oclc.org/archivegrid/fa.php?id=137&fileloc=137_swwwrihsorgmssinvmss1140htm	https://researchworks.oclc.org/archivegrid/fa.php?id=137&fileloc=137_swwwrihsorgmssinvpeopleofcolorwebhtm	rihs	1760s	1770s	^^^	
^^^	^^^	vars	^^^	"James Henry Cunningham family papers, 1844-1863"	https://researchworks.oclc.org/archivegrid/collection/data/1235900952	^^^	penobscot	18th cent	^^^	^^^	
^^^	^^^	1	http://nrs.harvard.edu/urn-3:HBS.Baker.GEN:37905160-2018	John Erving journal 1733-1745	https://researchworks.oclc.org/archivegrid/fa.php?id=397&fileloc=397_ss3amazonawscomharvardeadbak00701xml	^^^	harv	1744	^^^	^^^	
^^^	^^^	1	^^^	"Mexico--Descripciones de Rios y Costa, Yucatan; Comercios Clandestinos; Costas Campeche; Exp. Palo Tinto; Transcription. AGI Leg. #3099"	https://researchworks.oclc.org/archivegrid/fa.php?id=322&fileloc=322_ssearchamphilsocorgcollectionsdataeadmssmscoll67eadxml	^^^	aps	1763	1751	^^^	
^^^	^^^	vars	http://nrs.harvard.edu/urn-3:FHCL.HOUGH:34353355	Oswald correspondence concerning the negociation of the Peace of 1782 with the American commissioners in Paris. Correspondence of Mr. Grenville and Fitzherbert	https://researchworks.oclc.org/archivegrid/fa.php?id=418&fileloc=418_ss3amazonawscomharvardeadhou02706xml	^^^	harv	1782	^^^	^^^	
^^^	^^^	1	http://bdh-rd.bne.es/viewer.vm?id=0000130497&page=1	Papeles varios [Manuscrito]	https://researchworks.oclc.org/archivegrid/collection/data/1004303171	^^^	bne	17th cent	^^^	^^^	
^^^	^^^	1	https://quod.lib.umich.edu/w/wcl1ic/x-8683/wcl008754	"Plano de los Tres Rios de Valiz, Nuevo, y Hondo, situados entre et Golfo Dulce o provincia de Goatemala y de la Yucatan en et que se manifiesta les esteros, lagunas, y canales, y a que embarcaciones son accessibles ; la situacion del real presido de Sn. Phelipe de Bacalar, el camino que de el va a la capital de Merida : La laguna Peten Ytza, y parte de su camino, des poblado hasta el ultimo pieblo de Yucatan."	https://researchworks.oclc.org/archivegrid/collection/data/166638044	^^^	umich	1783	^^^	^^^	
^^^	^^^	1	^^^	"Plano ò cocris de la Ysla, su puerta y baterias / Cozar"	https://researchworks.oclc.org/archivegrid/collection/data/36553615	^^^	newb	1782	^^^	^^^	
^^^	^^^	1	^^^	"Por Domingo de Lausagarreta en el pleito con Juan de Vergara Gaviria, sobre escritura de débito otorgada en Nueva Veracruz de Indias, en mayo de 1614, entre Gaviria y Bernabé de Urquiza"	https://researchworks.oclc.org/archivegrid/collection/data/1240220650	^^^	bne	1615 ca	^^^	^^^	
^^^	^^^	vars	^^^	"Revolution and Counterrevolution in Guatemala, 1944-1963"	https://researchworks.oclc.org/archivegrid/fa.php?id=214&fileloc=214_stxarchivesorgadminutlac00073xml	^^^	ut aust	1944	1963	^^^	
^^^	^^^	vars	^^^	Shipping records	https://researchworks.oclc.org/archivegrid/fa.php?id=246&fileloc=246_findingaidwinterthurorghtmlhtml_finding_aidscol0245htm	^^^	winterthur	18th cent	^^^	^^^	
^^^	^^^	vars	^^^	Valentín Gómez Farías Collection	https://researchworks.oclc.org/archivegrid/fa.php?id=214&fileloc=214_stxarchivesorgadminutlac00068xml	^^^	ut aust	19th cent	^^^	^^^	
^^^	^^^	1	^^^	English Aggression in Honduras historical essay Kane Family Papers	https://researchworks.oclc.org/archivegrid/fa.php?id=322&fileloc=322_ssearchamphilsocorgcollectionsdataeadmssmscoll115eadxml	^^^	aps	19th cent	^^^	^^^	
^^^	^^^	1	^^^	"A private journal kept by me... of a voyage to... the West Indies to New York and Cape Ann, 1865 Feb. 21-1889 Feb. 23"	https://researchworks.oclc.org/archivegrid/fa.php?id=414&fileloc=414_slibrarydukeedurubensteinfindingaidsmccollomthomascxml	^^^	duke	19th cent	^^^	^^^	
^^^	^^^	1	http://digital.lib.ecu.edu/1905	H.M.S. Desperate Logbook	https://researchworks.oclc.org/archivegrid/collection/data/743316444	^^^	e carol	1862	1863	^^^	
^^^	^^^	1	http://hdl.loc.gov/loc.gmd/g4834o.ct002077	[Puerto de Omoa Honduras]	https://researchworks.oclc.org/archivegrid/collection/data/85413717	^^^	lc	1779	^^^	^^^	
^^^	^^^	1	http://cdm16829.contentdm.oclc.org/cdm/ref/collection/p16829coll42/id/275	"The operations of His Majesty's squadron in the Bay of Honduras, under the command of the Hon. John Luttrell from the 15th of September to the 24th of October 1779"	https://researchworks.oclc.org/archivegrid/collection/data/1262901777	^^^	mt vernon	1780	^^^	^^^	
^^^	^^^	1	http://bdh-rd.bne.es/viewer.vm?id=0000143592&page=1	San Fernando de Omoa (Honduras) Fortificaciones 1775-1777	https://researchworks.oclc.org/archivegrid/collection/data/431562804	^^^	bne	1775	1777	^^^	
^^^	^^^	1	http://hdl.loc.gov/loc.gmd/g4834o.ct002078	[Fortaleza y Puerto de San Fernando de Omoa]	https://researchworks.oclc.org/archivegrid/collection/data/85413722	^^^	lc	1770s	^^^	^^^	
^^^	^^^	1	^^^	"Diario de navegacion, que desde el puerto de Cartajena de Yndias haze en la Balandra San Juan Nepomuceno el Theniente de Navio ... Antonio de Oyarvide y Heredia ... : DS, 1763-1764"	https://researchworks.oclc.org/archivegrid/collection/data/26608979?p=1&q=%22omoa+honduras%22%7E10	^^^	uc berk	1763	1764	^^^	
^^^	^^^	1	http://hdl.loc.gov/loc.gmd/g4834o.lh000498	Plano del puerto de Omoa	https://researchworks.oclc.org/archivegrid/collection/data/22110177	^^^	lc	18th cent	^^^	^^^	
^^^	^^^	1	^^^	"Relacion puntual de toda la Costa del Mar del Norte desde Portovelo hasta el Puerto de Omoa : León Nicaragua?, 1757 May 27"	https://researchworks.oclc.org/archivegrid/collection/data/26608636?p=1&q=%22omoa+honduras%22%7E10	^^^	uc berk	1757	^^^	^^^	
^^^	^^^	1	http://hdl.loc.gov/loc.gmd/g4834p.lh000500	"Plano Depuerto [sic] Caballo y Omoa en la costa de Honduras situado en 16 grs. de latd. N. y 287 grs. 35 mtos. de longd. al meridiano de Tenerife / copiado por Juan Curado, concurrente de la Real Escuela de Navegación del Depto. de Cádiz, baxo la correcn. de Dn. Joseph Badco., mtro. delinor. por S.M. en dha. escuela, año de 1756 ; esde la Real Escuela de Navegación, en el Departamento de Cádiz, a. 1756"	https://researchworks.oclc.org/archivegrid/collection/data/22110117	^^^	lc	1756	^^^	^^^	
^^^	^^^	vars	^^^	"Papers, 1816-1850 Hosmer, Asa"	https://researchworks.oclc.org/archivegrid/collection/data/755621437	^^^	nav war coll	19th cent	^^^	^^^	
^^^	^^^	vars	^^^	"Joseph Byrne Lockey Papers, 1763-1946"	https://researchworks.oclc.org/archivegrid/collection/data/17_vorocdliborgoaceadprime2002uclamsslocke127xml?p=1&q=%22omoa+honduras%22%7E10	^^^	ucla	19th cent	^^^	^^^	
