Table 1
ID	NO	VID	PAR 0	PAR 1	FULL NAME	VAR NAME	LEVEL	TYPE	ONLINE	COUNTRY	DIST	CITY	CRL	OCLC	KEW	EU	CG	OT 0	OT 1	OFFICES 0	OFFICSE 1	RES CITY	RES POST	RES STREET	RES TEL	RES MAIL	RES FORM	RES LINK	RES NAME	LIB CITY	LIB POST	LIB STREET	LIB TEL	LIB MAIL	LIB FORM	LIB LINK	LIB NAME	GAID 0	GAID 1	GAID 2	END
s200	200	^^^	UW	^^^	University of the West Indies at Cave Hill	^^^	1	A	http://www.cavehill.uwi.edu/	Barbados	St Michael	Cave Hill	-^-	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	Cave Hill	***	-^-	-^-	-^-	-^-	-^-	-^-	-^-	-^-	-^-	-^-	-^-	-^-	-^-	-^-	^^^	^^^	^^^	###
^^^	^^^	RB	^^^	^^^	Ministry of Education Culture Science and Technology	^^^	0	R	https://www.moecst.gov.bz	Belize	^^^	Belmopan	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^			^^^	###
s4	4	^^^	RB	^^^	Archives and Records Service	^^^	1	R	https://www.archives.gov.bz	Belize	Cayo	Belmopan	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	"Burdon, Archives of British Honduras, London, Sifton, Praed & Co., 1931-1935, 3 vols, OCLC mmm"	"Nilsen, ""Commonwealth Caribbean Government Publications : Biographies and acquisition naids"", in Government Publications Review, part A, vol 7, no 6, pp 489-503, 1980, 1 paper, DOI mmm"	^^^	###
^^^	^^^	RF	^^^	^^^	Ministère de la Culture		0	R	https://www.culture.gouv.fr	France																															
s42	42	^^^	RF	^^^	Bibliothèque Nationale de France	^^^	1	R	http://www.bnf.fr/	France	Ile-de-France	Paris	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	###
s6	6	^^^	RF	^^^	Archives Nationales d'Outre-Mer	^^^	1	R	https://www.culture.gouv.fr/Thematiques/Archives	France	Provence-Alpes-Cote d'Azur	Aix-en-Provence	^^^	^^^	^^^	https://www.archivesportaleurope.net/directory/-/dir/ai/code/FR-FRANOM	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	###
s150	150	^^^	^^^	^^^	Universidad de San Carlos de Guatemala	^^^	0	A	http://www.usac.edu.gt/	Guatemala	Guatemala	Guatemala	-^-	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	Guatemala	-^-	Edificio S-11 3er nivel / Ciudad Universitaria / Zona 12	(502) 2418 - 7950 / 7952	-^-	-^-	https://digi.usac.edu.gt	Dirección General de Investigación	Guatemala	-^-	Edificio de Recursos Educativos / Ciudad Universitaria / Zona 12	"(502)24187880, (502)24188000 ext. 1114, 1116, 9608"	-^-	http://biblioteca.usac.edu.gt/biblioteca2/contactenos.php	http://biblioteca.usac.edu.gt/biblioteca2/index.php	Biblioteca Central	^^^	^^^	^^^	###
s26	26	^^^	^^^	^^^	Arquidiócesis de Guatemala	Arquidiócesis de Santiago de Guatemala / Arzobispado de Guatemala	0	I	https://m.arzobispadodeguatemala.com	Guatemala	Guatemala	Guatemala	^^^	^^^	^^^	^^^	http://censoarchivos.mcu.es/CensoGuia/archivodetail.htm?id=50948	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	###
s56	56	^^^	^^^	^^^	Centro de Investigaciones Regionales de Mesoamérica	^^^	0	I	http://cirma.org.gt/glifos/index.php/Página_principal	Guatemala	Sacatepequez	Antigua	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	###
^^^	^^^	RG	^^^	^^^	Ministerio de Cultura y Deportes		0	R	https://mcd.gob.gt	Guatemala																															
