Table 1
ID	NO	LVL	COLL ID	OID	ONO	TYPE	LFT	CFT	ITEMS	VOLS	INC L	INC U	BLK L	NLK U	TITLE	ALT TITLE	FAID 0	FAID 1	FAID 2	END	
		0	s2	S 397	397	M	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	Special Collections	^^^	https://www.cavehill.uwi.edu/mainlibrary/search/special-collections.aspx	^^^	^^^	###	
		^^^	s202	S 9	9	M	^^^	^^^	^^^	2	1863	1864	^^^	^^^	Votes of Assembly	^^^	^^^	^^^	^^^	###	
		^^^	s202	S 11	11	M	^^^	^^^	^^^	1	1786	1896	^^^	^^^	"British Honduras Civil List, 1895–1896"	^^^	^^^	^^^	^^^	###	
		^^^	s202	S 13	13	M	^^^	^^^	^^^	2	1850	1853	^^^	^^^	Civil Records	^^^	^^^	^^^	^^^	###	
		^^^	s202	S 15	15	M	^^^	^^^	^^^	16	1790	1854	^^^	^^^	Grand Court of Assize	^^^	^^^	^^^	^^^	###	
		^^^	s202	S 17	17	M	^^^	^^^	^^^	1	1829	1829	^^^	^^^	Indian Papers	^^^	^^^	^^^	^^^	###	
		^^^	s202	S 19	19	M	^^^	^^^	^^^	1	1765	1810	^^^	^^^	"Laws of Honduras, 1806–1810"	^^^	^^^	^^^	^^^	###	
		^^^	s202	S 21	21	M	^^^	^^^	^^^	17	1871	1887	^^^	^^^	Minutes of Legislative Council	^^^	^^^	^^^	^^^	###	
		^^^	s202	S 23	23	M	^^^	^^^	^^^	4	1830	1849	^^^	^^^	Legislative Assembly	^^^	^^^	^^^	^^^	###	
		^^^	s202	S 25	25	M	^^^	^^^	^^^	4	1791	1812	^^^	^^^	Magistrates’ Letters	^^^	^^^	^^^	^^^	###	
		^^^	s202	S 27	27	M	^^^	^^^	^^^	13	1793	1844	^^^	^^^	Magistrates’ Meetings	^^^	^^^	^^^	^^^	###	
		^^^	s202	S 29	29	M	^^^	^^^	^^^	^^^	1771	1787	^^^	^^^	Mosquito Shore Records	^^^	^^^	^^^	^^^	###	
		^^^	s202	S 31	31	M	^^^	^^^	^^^	1	1789	1798	^^^	^^^	Police Court Records and Magistrates' Meetings	^^^	^^^	^^^	^^^	###	
		^^^	s202	S 33	33	M	^^^	^^^	^^^	23	1774	1849	^^^	^^^	Private Records	^^^	^^^	^^^	^^^	###	
		^^^	s202	S 35	35	M	^^^	^^^	^^^	139	1805	1892	^^^	^^^	Letters and Despatches	^^^	^^^	^^^	^^^	###	
		^^^	s202	S 37	37	M	^^^	^^^	^^^	4	1817	1850	^^^	^^^	Summary Courts	^^^	^^^	^^^	^^^	###	
		^^^	s202	S 39	39	M	^^^	^^^	^^^	6	1820	1859	^^^	^^^	Supreme Court	^^^	^^^	^^^	^^^	###	
		^^^	^^^	S 		^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	###	
		^^^	^^^	S 		^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	###	
		^^^	^^^	S 		^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	###	
		^^^	^^^	S 		^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	###	
