Table 1
name	ult hd	imm hd	ac		in	^^^	^^^	^^^	^^^
archives and records service	reg	p sec	0		belize	^^^	^^^	^^^	^^^
uwi cave hill	itl	chanc	1		barbados	^^^	^^^	^^^	^^^
uwi st aug	itl	mag	1		trinidad	^^^	^^^	^^^	^^^
uwi mona	itl	mag	1		jam	^^^	^^^	^^^	^^^
commonwealth sec	itl	sec gen	0		uk	^^^	^^^	^^^	^^^
bnf	reg	lib	0		fr	^^^	^^^	^^^	^^^
anom	reg	p sec	0		fr	^^^	^^^	^^^	^^^
usac	reg	chan	1		guat	^^^	^^^	^^^	^^^
arquidioc guat	priv	bish	0		^^^	^^^	^^^	^^^	^^^
cirma	priv	sec	1		^^^	^^^	^^^	^^^	^^^
bib guat	reg	lib	0		^^^	^^^	^^^	^^^	^^^
^^^	^^^				^^^	^^^	^^^	^^^	^^^
^^^	^^^				^^^	^^^	^^^	^^^	^^^
^^^	^^^				^^^	^^^	^^^	^^^	^^^
^^^	^^^				^^^	^^^	^^^	^^^	^^^
^^^	^^^				^^^	^^^	^^^	^^^	^^^
^^^	^^^				^^^	^^^	^^^	^^^	^^^
^^^	^^^				^^^	^^^	^^^	^^^	^^^
^^^	^^^				^^^	^^^	^^^	^^^	^^^
^^^	^^^				^^^	^^^	^^^	^^^	^^^
^^^	^^^				^^^	^^^	^^^	^^^	^^^
