C 1—47 / Event clusters.
ID	No	ALT ID	NAME	BEG	END	FT	FT	DESCRIPTION	PRESS	CF	VIA	NOTE	
C 1	1	War 13		1 Jan 1625	30 Dec 1630	Sp		England declares war on Spain					
C 2	2	Hos 13	Providence Raids	1 Apr 1636	30 Aug 1677	 	Ai Bu Du	"Buccaneers or privateers, at times with non-English and Amerindian allies, raid Spanish and Amerindian settlements along Bay of Hon coast"					
C 3	3	Hos 19	Tortuga Slavery	1 Jan 1638			Ai Bu	Buccaneers or privateers impress or enslave Amerindians					
C 4	4	War 10	Cromwell’s	15 Dec 1654	23 May 1667	Sp	Bu Fr	England declares war on Spain					
C 5	5	War 14	Portuguese Restoration	1 Jan 1662	13 Feb 1668	Sp		England declares war on Spain					
C 6	6	Hos 1	Soberanis y Centeno Offensives	1 Jan 1694	30 Dec 1710	Sp	Ai	"Guatemala launch 2 military campaigns against Settlement / Yucatan launch 4 paramilitary campaigns against Settlement / Baymen, possibly with Amerindian allies, raid Spanish and Amerindian settlements in Guatemala or Yucatan"					
C 7	7	War 1	Spanish Succession	1 Jul 1701	11 Sep 1714	Sp	Fr	England declares war on Spain					
C 8	8	Hos 20	Mosquito Slavery	1 Jan 1702			Ai	"Miskito and possibly other Amerindians, at times with Baymen’s aid, enslave Amerindians"					
C 9	9	Hos 2	Golden Age of Piracy	10 Jan 1718	28 Feb 1725		Bu	Buccaneers surprise Fleet					
C 10	10	War 2	Quadruple Alliance	2 Aug 1718	17 Feb 1720	Sp	 	Great Britain declares war on Spain					
C 11	11	Hos 16	Jamaica Slavery	1 Jan 1722	1 Jul 1838	 	Af Du Fr Po	"Jamaicans and others, with Baymen’s aid, enslave Africans"					
C 12	12	Hos 14	Cortaire y Terreros Siege	1 Aug 1722	21 Feb 1733	Sp	 	"Yucatan lay siege on Settlement / Yucatan launch 8 military campaigns against Settlement /  Royal Navy, Fleet and Baymen engage"					
C 13	13	War 3		1 Mar 1726	9 Nov 1729	Sp	 	Great Britain declares war on Spain					
C 14	14	Hos 3	Salcedo Siege	10 Mar 1734	30 Jun 1741	Sp	 	"Yucatan lay siege on Settlement / Yucatan launch 1 military campaign against Settlement / Royal Navy, Fleet, and Baymen, at times with Amerindian allies, engage"	Read’s Weekly Journal or British Gazetteer 375 p3				
C 15	15	Ill 1	Diphtheria	1 Jun 1737	30 Dec 1737	 	 	Epidemic among Baymen and Fleet					
C 16	16	War 4	Jenkins' Ear	22 Oct 1739	18 Oct 1748	Sp	 	Great Britain declares war on Spain					
C 17	17	Hos 4	Bazán y Molina Siege	1 Mar 1744	30 Jun 1761	Sp	 	"Yucatan lay siege to Settlement / Cuba, Guatemala and Yucatan launch xxx military campaigns against Settlement / Fleet and Baymen, possibly with Amerindian allies, engage"					
C 18	18	Ill 2	Malaria	7 Mar 1750	30 Sep 1750	 	 	Epidemic among Baymen					
C 19	19	Ill 3	Measles	1 Nov 1751	30 May 1752	 	 	Epidemic among Baymen and Fleet					
C 20	20	War 5	Seven Years’	5 May 1762	10 Feb 1763	Sp	Fr	Great Britain declares war on Spain					
C 21	21	Crs 5	Estenoz Prohibition	23 Dec 1763	5 Mar 1765	Sp	 	Yucatan prohibits logging along northern rivers					
C 22	22	Crs 1	Alien Logging	1 Jan 1765	30 Dec 1770	 	Du Fr	Alien loggers saturate Settlement					
C 23	23	Crs 6	Logwood Exhaustion	1 Jun 1765	30 Nov 1766	 	 	Logwood becomes significantly scarce					
C 24	24	Rev 1	Cook’s	1 Aug 1765	30 Sep 1765	 	 	"Mr. Cook’s slaves lead revolt / Revolters lay siege to New River / British Army, Fleet and Baymen engage"					
C 25	25	Crs 2	Zayas Asylum	1 Jan 1766	30 Dec 1771	Sp	 	Yucatan offers asylum to Settlement slaves					
C 26	26	Hos 8	Zayas Siege	1 Mar 1767	23 Aug 1773	Sp	 	Yucatan lay siege to Settlement / Yucatan launch at least 2 military or paramilitary campaigns against Settlement / Fleet and Baymen engage				Yucatan is assumed.	
C 27	27	Hos 12	Naismith Raid	25 Jul 1767	25 Jul 1767	 	Ai	Amerindian assault or raid Settlement					
C 28	28	Nat 1	Great Famine	1 Jun 1771	30 Apr 1772	 	 	Amerindians seek refuge in Settlement / Provisions become significantly scarce					
C 29	29	Rev 2	Davidson’s	28 May 1773	30 Sep 1773	Sp	 	"Mr. Davidson’s slaves, with Spanish allies, lead revolt / Royal Navy, Fleet and Baymen engage"					
C 30	30	Hos 10	Arms Raids	1 Sep 1773	30 Nov 1773	 	Ai	Amerindian assault or raid Settlement					
C 31	31	War 6	American Revolution	19 Apr 1775	3 Sep 1783	Sp	Am Fr	"America, Spain declare war on Great Britain / American Royalists seek refuge in Settlement / Americans sack Settlement / Yucatan launch 1 military campaign against Settlement / Royal Navy, British Army, Baymen, Shoremen and Amerindian allies engage"					
C 32	32	Nat 2		1 Dec 1784	30 Nov 1785	 	 	Severe wet season / Epidemic among Baymen					
C 33	33	Hur 1		20 Aug 1785	20 Aug 1785			Unnamed hurricane strikes Hon					
C 34	34	Rev 3	Old River	1 Jun 1786	30 Jul 1786	 	 	Slaves lead revolt / xxx					
C 35	35	Crs 4	Despard Affair	1 Jun 1787	30 May 1791	Sp		Shoremen evacuated to Settlement / Civil unrest / Constitutional crisis / Market destabilised	"Independent Journal NYC NY 295 p2
Independent Journal NYC NY 311 p2
New-York Journal 2091 p2"	"MEXICO,3109 [L. Gálvez a Valdés, Mérida a 8 jun 1790]
MEXICO,3023 [L. Gálvez a C. Alange, Mérida a 16 dic 1790]"	"Calderon 368 no 18 img 984
Calderon 384 img 1020"	"DIARIO DE D. RAFAEL LLOBET, BACALAR A 3-12-790. Día 23.--Fuí a comer en casa de Mr. Francisco O'Brien, llegué antes que los convidados y entre otras cosas dijo: que la conducta de D. Juan Bautista Gual era lo que tenía al Coronel Despard en muy mal estado; le respondí, me alegrara tener yo una conducta irreprensible como la de Gual, y arguyó que D. Juan Bautista Gual nunca debió haberles cortado los plátanos ni menos el dicho coronel haber convenido en ello, pues todo lo que no determinaba prohibido la Convención era concedido; ... /via Calderon 384 img 1020 /MEXICO,3023 [L. Gálvez a C. Alange, Mérida a 16 dic 1790]"	
C 36	36	Hur 2		2 Sep 1787	2 Sep 1787			Unnamed hurricane strikes Hon					
C 37	37	Ill 4	Measles	1 Feb 1788	30 Aug 1788	 	 	Epidemic among Baymen					
C 38	38	War 7	French Revolution	20 Apr 1792	27 Mar 1802	Sp	Fr	"Great Britain declares war on Spain / Yucatan launch 1 military campaign against Settlement / Royal Navy, Fleet and Baymen engage"				Great Britain = UK on 1801.	
C 39	39	Nat 3		1 Nov 1792	30 Nov 1792	 	 	Severe wet season / Severe flooding of Belize Town					
C 40	40	Hos 11		1 Nov 1793	30 Nov 1793	 	Ai	Amerindian assault or raid Settlement / Baymen engage					
C 41	41	Ill 5	Yellow fever	29 Sep 1797	30 Dec 1797	 	 	Epidemic among Irish Brigade					
C 42	42	War 8	Napoleonic	18 May 1803	20 Nov 1815	Sp	Fr	"UK declares war on France, Spain"					
C 43	43	Hur 3		28 Aug 1805	28 Aug 1805			Unnamed hurricane strikes Hon					
C 44	44	War 11	Spanish-American Revolution	25 Sep 1808	29 Sep 1833	Sp	 	Civil unrest / xxx					
C 45	45	War 9		18 Jun 1812	17 Feb 1815	 	Am	UK declares war on US					
C 46	46	Rev 4	New River	1 Jan 1813		 	 	Slaves lead revolt / xxx					
C 47	47	Rev 5	Will & Sharper’s	1 Apr 1820		 	 	Messrs. Will and Shaper lead revolt / xxx					
