E 1—320 / Events.
ID	NO	TYPE	PART OF	LOWER START	UPPER END	SUMMARY	DESCRIPTION	NEAR	SP	ALLY	ALLY	LIVES	HELD	MOVED	CRAFT	PROPERTY	OTHER	PRESS	CF	VIA	NOTE	
E 1	1	O		1 January 1549	xxx	Sp logwood trade	"Sp in Yucatan start logging [first in west coast of Yuc and probably Bahía de Ascención, later by Champoton River] and exporting logwood"	"Campeche, Veracruz, Havanna, Puerto Caballos"	Marcos de Ayala Trujeque										"PATRONATO,80,N.3,R.4
INDIFERENTE,1530"	"McJunkin 88–90, 104–7"	"First exports probably went through Veracruz [fm Campeche], some informally shipped through Havana, and some fraction shipped to Puerto Caballos [most likely from lower reaches of Bahía de la Ascención or northern Belize] /McJunkin 88–90"	
E 2	2	O		17 February 1603	7 March 1603	Battle of Puerto Caballos	Eng privateers capture Puerto Caballos	Puerto Caballos	Capt. Juan de Monasterios / Francisco Ferrufino / 2 Galleons 100 militia	Christopher Newport / Sir Michael Geare / 8 Ships 400 men									xxx	Marley p144-145	Inc. Pie de Palo and Diego el Mulato? And 4 Eng buccaneer attacks in 1590s /p316 of Link: https://link.gale.com/apps/doc/U0104495763/MOME?u=camb55135&sid=MOME&xid=d3efa3b2 /Link: https://www.afehc-historia-centroamericana.org/index-php/_action_fi_aff_id_2531.html	
E 3	3	O		1 January 1606	28 June 1606	Bu assault	Buccaneers or privateers attempt twice to sack Sp galleons at Sto Tomás de Castillo	Santo Tomás de Castilla	2 Galleons	Dutch									"Mus Nav, Col Nav, v 23, 226 ff [a 28 jun 1606]"	Goslinga p152		
E 		O		1 January 1615	30 December 1615	Sánchez de Aguilar reduction	Valladolid-based alcalde ordinario of Bacalar Juan Sánchez de Aguilar creates reduction towns of Petentzub and Zaczuz near Tipu	"Valladolid, Bacalar, Tipuj, Petentzub, Zaczuz"											"MEXICO,148,R.1,N.27 [1630]
MEXICO,xxx [Title of encomienda towns in Bacalar province, 1622]
CONTADURIA,912"	"Jones 1 p132, 192–3"	"In 1622, when these [Petentzub, Zaczuz, Tipuj] and other reductions were finally organised as a new encomienda, they turned out to be small communities with a total of only 136 casados. /via Jones 1 /"	
E 			xxx	1 January 1617	30 December 1617		Eng buccaneers or privateers raid Bacalar	Bacalar		1 Boat			5 vecinos for c ? m						"MEXICO,906"	Jones 1 p320 no 19	"captured = Pedro Rojo, Antonio Gómez, three other vecinos of Bacalar /via Jones 1"	
E 		O		15 April 1618	8 December 1618	Orbita and Fuensalida misión	Franciscan friars Orbita and Fuensalida appointed for a misión to Ma towns by Lake Peten Itza	"Merida, Tekax, Bacalar, Hondo, New, New R Lagoon, Labouring Creek, Old, Tipuj, Lake Peten Itza"	Franciscan Fray Juan de Orbita / Fray Bartolomé de Fuensalida / provincial Fray Juan de Acevedo / Bishop Fray Gonzalo de Salazar / Priest of Bacalar Gregorio Marín de Aguilar / Alcalde of Bacalar Andrés Carillo de Pernia	Tipu cacique Cristóbal Na / Principal resident of Tipu Isabel Pech / Principal resident of Tipu Francisco Cumux / Can Ek of Tah Itza / Itza Capt Ah Chata Pol / Itza Capt Ahau Puc									"Cogolludo, lib 9, cap 4—13"	Jones 1 p135–48	"There were some 100 vecinos in all in Tipu, suggesting a total population of about 340 /via Jones 1 p139 /xxx"	
E 		O		1 January 1620	30 December 1620	Díaz de Aguilar visita	Alcalde ordinario of Bacalar Juan Alonso Díaz de Aguilar carries out a general visita of the Bacalar province 	"Bacalar, xxx"	Juan Alonso Díaz de Aguilar										"CONTADURIA,913"	Jones 1 p193		
E 4	4	O		3 June 1621	3 June 1621	Old WIC chartered	Dutch Republic grants charter for trade monopoly to Geoctrooieerde Westindische Compagnie	Hague											"Old WIC, 1.05.01.01, 13"			
E 		O		9 March 1622	27 January 1624	Mirones y Lezcano entrada and Sacalum massacre	"Sp entrada by Capt Francisco de Mirones y Lezcano attempts to conquer Ma at Lake Peten Itza, but does not cross Hondo, after which Franciscan Fray Diego Delgado continues on to Lake Peten Itza by himself, and which ends in massacre of the entrada party and Sp vecinos by Ma party led by priest Ah Kin Pol"	"Merida, Hecelchakan, Hopelchen, Ixpimienta, Sacalum [Chanchanha?]"	Franciscan Fray Diego Delgado / Capt. Francisco de Mirones y Lezcano / Corporal Fulano de Acosta / Gov of Yuc Diego de Cárdenas	Ma priest Ah Kin Pol / Cacique of Ixpimienta Agustín Zima / Alcalde of Ixpimienta Sebastián Dzib / Regidor of Ixpimienta Diego Yam / Cacique of Sacalum Diego Keh									"BL Egerton MS 1791
MEXICO,141
MEXICO,145 [Petition by Francisco Camul, 1624] 
MEXICO,246 [Méritos y servicios de Juan Bernardo Casanova, 1627]
Maya R
Cogolludo, lib 10, cap 2—3
Cardenas 76"	Jones 1 p155	The massacres of 1623–1624 at Tah Itza and Sacalum are a major departure from previous Maya strategies of rebellion. Not since 1546 had execution as a tool of rebellion on such a large scale been seen in Yucatan. /Jones 1 p187	
E 		O		1 January 1623	15 December 1623	Delgado misión and Tah Itza massacre	"Franciscan Fray Diego Delgado carries misión to Ma towns by Lake Peten Itza, via Tipu and with Tipu residents, all of whom are killed at Lake Peten Itza, along with a rescue party sent after them"	"Sacalum [Chachanha?], Tipuj, Lake Peten Itza, Bacalar"	Franciscan Fray Diego Delgado / Corporal Fulano de Acosta / 12 men / [later] 2 Sp sev Ma inc Bernardino Ek	Cacique of Tipu Cristóbal Na / 80 Tipu residents									"BL Egerton MS 1791
MEXICO,141
MEXICO,145 [Petition by Francisco Camul, 1624] 
MEXICO,246 [Méritos y servicios de Juan Bernardo Casanova, 1627]
Maya R
Cogolludo, lib 10, cap 2—3
Cardenas 76"	Jones 1 p176		
