P 1—50 / Pre-censal estimates of population or of proxies for population.
ID	NO	TYPE	LOWER START	PERIOD	PUB	TALLY	PLACE	PLACES	FOR	CF	VIA	NOTE	
P 1	1	P	1 Nov 1642	Nov 1642	xxx	70	Bacalar	Bacalar	Crew of Diego el Mulatto	xxx	Molina 2 p138		
P 2	2	P	1 Jun 1648	Jun 1648	xxx	50	Bacalar	Bacalar	Crew of Abraham Blauvelt	"Bod. Lib. MSS. Rawl. A. 26, 31, 32, 175, 347"	Haring 273	"Assuming Blauvelt crew of 1648 = that of 1663

15 Eng buccaneering crews belonging to Jam, Tortuga in 1663, with total men nearing 1,000 [median crew size 60] /Haring 273

Though Letters written from Jamaica in 1664 placed the number scattered abroad in privateering at from 1500 to 2000, sailing in fourteen or fifteen ships. /Haring 124 /744, 765, 786, 812 CSPC 5"	
P 3	3	P	1 Feb 1666	Feb 1666—74	27 Feb 1674	300	Yucatan	Yucatan	English loggers resident winter and summer	1226 III CSPC 7		"Feb. 27. 1226. Petition of Thomas Jarvis, William How, Robert Higgins, Richard Ashall, Edmond Cooke, Matthew Fox, and divers others trading into the Western Plantations to the King in Council. ... 1226. III. Minutes of the Committee for Trade and Plantations. ... Cooke says there have been 300 of his Majesty's subjects inhabiting winter and summer at Yucatan for eight years past, and not any of them within 45 leagues of any Spanish Plantations."	
P 4	4	P	1 Nov 1669	Nov 1669—72	5 Nov 1672	100 or 200	W—NE Yucatan	"from Boca Couil to Cape Catoche, thence to Cozumel"	English loggers resident	954 I CSPC 7		"Nov. 5. Jamaica. ... 954. I. Depositions of William and John Coxen, Philip Osborne, John Mitchell, James Smith, and James Risby, all captains of ships, sworn before Sir Thomas Lynch, Governor of Jamaica. They have used the trade of logwood cutting for about 2 1/2 or 3 years on the coast of Yucatan, from Boca Couil to Cape Catoche, and thence to Cozumel, and during that time the English have had and now have huts and people to the number of 100 or 200 there resident;"	
P 5	5	O	1 Oct 1670	Oct 1670	31 Oct 1670	12	Yucatan	"Cape Gracias a Dios, Darien, Mosquito, Campeachy, Cuba, Hispaniola"	Merchant craft trading exclusively /6	310 CSPC 7		"Oct. 31. Jamaica. 310. Governor Sir Thos. Modyford to Sec. Lord Arlington. ... There are about a dozen vessels that only ply this trade [logwood], and make great profit selling the wood at 25l. to 30l. per ton; they were privateers, but will not leave the trade again. They go to places either inhabited by Indians or void, and trespass not at all upon the Spaniard, ... [Gov. Modyford] Is persuaded above two thirds of the privateers will betake themselves to this [logwood] trade when there is peace with Spain, ... The places they now trade at are Cape Gracia Dios, Darien, Mosquito, and many deserted places in Campeachy, Cuba, and Hispaniola.

On Places, note -- 1671. March 10th. Gov Lynch to Council of Plantations ... I never gave license to any to goe [to Campeachy or to cut logwood?], for which Reason most [logwood] thats cutt is carryed directly away and those few that come in the Masters and Company sweare they neither steale nor take it by force but cutt it in desolate places of which I inquire no further, because I know theres so many places islands and Cayos where Strangers hunt, fish and cutt Wood /via Burdon 1 p51 /CO 1/28/27"	
P 6	6	O	1 Feb 1671	Feb 1671	4 Mar 1671	32	Yucatan	"Campeachy, Port Royal"	Jamaica merchant craft trading /5	704 IV CSPC 7		"704. IV. Account of ships, &c. that trade for logwood at Campeachy and belong to this harbour of Port Royal, in Jamaica, with names of the captains, ships, and number of tons, men, and guns; amounting to 32 ships, of 1,170 tons, with 424 men and 74 guns. 1671, March 4."	
P 7	7	O	1 Jun 1671	< 6 Jul 1671	6 Jul 1671	40	Yucatan		Craft logging or trading	587 CSPC 7		July 6. Jamaica. 587. Rich. Browne to Joseph Williamson. ... they [old Governor and Sir Thos. Lynch] have agreed to suffer ships to fetch logwood out of the Bay of Campeachy. Is informed there are about 40 ships cutting logwood:	
P 8	8	P	1 Sep 1672	< 28 Sep 1672	28 Sep 1672	900	W Yucatan	Beef Island	Loggers	940 CSPC 7		"Sept. 28. Bristol. 940. Richard Browne to Sir Joseph Williamson. ... It is inestimable the injury the logwood men do the Spaniards, there being at one time, as informed, 900 men cutting wood at Beef Island by Triste, and presumes many more to the eastward at Cape Catoche, Lambeth Bay, and Ballinah;"	
P 9	9	P	1 Jul 1673	Jul 1673	8 Jul 1673	500 or 600	Yucatan		Loggers and privateers	1115 CSPC 7		"July 8. Jamaica. 1115. Lieut.-Governor Sir Thos. Lynch to Dr. Worsley. ... fears it [privateers under Spanish letters, sent out from Havanna, Campeachy] will force the logwood cutters and desperate privateers, which may be 500 or 600, to join the French, against whom it is reported the Spaniards have declared war."	
P 10	10	P	1 Aug 1675	Aug 1675	15 Jul 1699	250	W Yucatan	Trist	Individuals settled	Dampier 2 part 2 p18		"Date = “We [Dampier, Capt. Hudsel] sailed from Port-Royal about the beginning of August, 1675. in Company with Capt. Wren in a small Jamaica Bark, and Capt. Johnson Commander of a Ketch belonging to New-England. / This Voyage is all the way before the Wind, and therefore Ships commonly sail it in 12 or 14 Days; Neither were we longer in our Passage;” /Dampier 2 part 2 p9

Estimate = Our Cargo to purchase Logwood was Rum and Sugar; a very good Commodity for the Logwood-Cutters, who were then about 250 Men, most English, that had settled themselves in several Places hereabouts [Trist] : /Dampier 2 part 2 p18"	
