Table 1
Series F 0—170 / Public Finances.															
ID	NO	YR	REV	EXP	LOAN EXP	DEBT	CF	NOTE	REV	EXP	LOAN EXP	DEBT	CF	NOTE	
F 0	0	1800													
F 1	1	1801													
F 2	2	1802													
F 3	3	1803													
F 4	4	1804													
F 5	5	1805													
F 6	6	1806													
F 7	7	1807	" £	7,566 "	" £	8,291 "			Martin 140–141								
F 8	8	1808	" £	6,005 "	" £	5,170 "			Martin 140–141								
F 9	9	1809	" £	6,829 "	" £	6,066 "			Martin 140–141								
F 10	10	1810	" £	9,523 "	" £	9,604 "			Martin 140–141								
F 11	11	1811	" £	8,643 "	" £	8,981 "			Martin 140–141								
F 12	12	1812	" £	6,590 "	" £	6,312 "			Martin 140–141								
F 13	13	1813	" £	5,438 "	" £	5,548 "			Martin 140–141								
F 14	14	1814	" £	5,474 "	" £	5,629 "			Martin 140–141								
F 15	15	1815	" £	12,944 "	" £	12,527 "			Martin 140–141								
F 16	16	1816	" £	10,672 "	" £	9,276 "			Martin 140–141								
F 17	17	1817	" £	8,168 "	" £	8,838 "			Martin 140–141								
F 18	18	1818	" £	16,501 "	" £	18,193 "			Martin 140–141								
F 19	19	1819	" £	15,967 "	" £	16,896 "			Martin 140–141								
F 20	20	1820	" £	17,249 "	" £	17,266 "			Martin 140–141								
F 21	21	1821	" £	12,306 "	" £	12,027 "			Martin 140–141								
F 22	22	1822	" £	14,831 "	" £	14,296 "			Martin 140–141								
F 23	23	1823	" £	19,294 "	" £	21,012 "			Martin 140–141								
F 24	24	1824	" £	14,125 "	" £	14,163 "			Martin 140–141								
F 25	25	1825	" £	17,594 "	" £	17,634 "			Martin 140–141								
F 26	26	1826	" £	13,256 "	" £	13,755 "			Martin 140–141								
F 27	27	1827	" £	17,416 "	" £	17,562 "			Martin 140–141								
F 28	28	1828	" £	12,460 "	" £	10,760 "			Martin 140–141								
F 29	29	1829	" £	11,057 "	" £	11,150 "			Martin 140–141								
F 30	30	1830	" £	24,885 "	" £	15,807 "			Martin 140–141		" ""BZ$""	74,658 "	" ""BZ$""	66,391 "			CP 1005 p 163		
F 31	31	1831	" £	13,943 "	" £	13,721 "			Martin 140–141		" ""BZ$""	58,563 "	" ""BZ$""	57,629 "			CP 1005 p 163		
F 32	32	1832	" £	16,824 "	" £	16,997 "			Martin 140–141		" ""BZ$""	70,251 "	" ""BZ$""	84,990 "			CP 1005 p 163		
F 33	33	1833	" £	15,157 "	" £	16,802 "			Martin 140–141		" ""BZ$""	63,660 "	" ""BZ$""	70,569 "			CP 1005 p 163		
F 34	34	1834	" £	17,507 "	" £	16,954 "			CP 869 p 103		" ""BZ$""	73,530 "	" ""BZ$""	71,208 "			CP 1005 p 163		
F 35	35	1835	" £	20,072 "	" £	16,566 "			CP 869 p 103		" ""BZ$""	84,300 "	" ""BZ$""	69,578 "			CP 1005 p 163		
F 36	36	1836	" £	21,188 "	" £	15,205 "			CP 869 p 103		" ""BZ$""	88,999 "	" ""BZ$""	63,860 "			CP 1005 p 163		
F 37	37	1837	" £	16,602 "	" £	16,393 "			CP 869 p 103		" ""BZ$""	69,728 "	" ""BZ$""	68,851 "			CP 1005 p 163		
F 38	38	1838	" £	15,740 "	" £	16,593 "			CP 869 p 103		" ""BZ$""	78,698 "	" ""BZ$""	82,963 "			CP 1005 p 163		
F 39	39	1839	" £	13,753 "	" £	15,971 "			CP 869 p 103		" ""BZ$""	68,764 "	" ""BZ$""	79,854 "			CP 1005 p 163		
F 40	40	1840	" £	12,246 "	" £	12,538 "			CP 869 p 103		" ""BZ$""	61,231 "	" ""BZ$""	62,688 "			CP 1005 p 163		
F 41	41	1841	" £	13,880 "	" £	12,696 "			CP 869 p 103		" ""BZ$""	69,400 "	" ""BZ$""	63,480 "			CP 1005 p 163		
F 42	42	1842	" £	12,516 "	" £	13,460 "			CP 869 p 103		" ""BZ$""	62,578 "	" ""BZ$""	67,298 "			CP 1005 p 163		
F 43	43	1843	" £	17,229 "	" £	14,921 "			CP 869 p 103		" ""BZ$""	86,145 "	" ""BZ$""	74,605 "			CP 1005 p 163		
F 44	44	1844	" £	17,370 "	" £	14,163 "			"BB 1845 p 30
CP 869 p 103"		" ""BZ$""	86,850 "	" ""BZ$""	70,813 "			CP 1005 p 163		
F 45	45	1845	" £	22,373 "	" £	18,302 "			"BB 1845 p 30
CP 869 p 103"		" ""BZ$""	111,863 "	" ""BZ$""	91,510 "			CP 1005 p 163		
F 46	46	1846	" £	21,667 "	" £	19,201 "			CP 869 p 103		" ""BZ$""	108,336 "	" ""BZ$""	96,003 "			CP 1005 p 163		
F 47	47	1847	" £	16,679 "	" £	21,809 "			CP 1126 p 269	"No revenue from loans < 1847, from haphazard sample of rev statemetns"	" ""BZ$""	83,395 "	" ""BZ$""	109,045 "			CP 1005 p 163		
F 48	48	1848	" £	12,394 "	" £	17,017 "			CP 1126 p 269								
F 49	49	1849													
