Table 1
Series L 0—382 / Currency and exchange.																		
ID	NO	YR	SP $ HON TREAS	US $ HON TREAS	HON $ HON TREAS	HON £ HON TREAS	£ HON TREAS	PENCE HON TREAS	CF	NOTE	SP $ JAM MARK	J £ JAM MARK	J PENCE 78 JAM MARK	J PENCE 93 JAM MARK	£ JAM MARK	PAR JAM MARK	CF	NOTE
L 0	0	1638	" ""BZ$""	1.00 "				" £	0.21 "	50	McCusker									
L 1	1	1639	" ""BZ$""	1.00 "				" £	0.21 "	50	McCusker									
L 2	2	1640	" ""BZ$""	1.00 "				" £	0.21 "	50	McCusker									
L 3	3	1641	" ""BZ$""	1.00 "				" £	0.21 "	50	McCusker									
L 4	4	1642	" ""BZ$""	1.00 "				" £	0.21 "	50	McCusker									
L 5	5	1643	" ""BZ$""	1.00 "				" £	0.21 "	50	McCusker									
L 6	6	1644	" ""BZ$""	1.00 "				" £	0.21 "	50	McCusker									
L 7	7	1645	" ""BZ$""	1.00 "				" £	0.21 "	50	McCusker									
L 8	8	1646	" ""BZ$""	1.00 "				" £	0.21 "	50	McCusker									
L 9	9	1647	" ""BZ$""	1.00 "				" £	0.21 "	50	McCusker									
L 10	10	1648	" ""BZ$""	1.00 "				" £	0.21 "	50	McCusker									
L 11	11	1649	" ""BZ$""	1.00 "				" £	0.21 "	50	McCusker									
L 12	12	1650	" ""BZ$""	1.00 "				" £	0.21 "	50	McCusker									
L 13	13	1651	" ""BZ$""	1.00 "				" £	0.21 "	50	McCusker									
L 14	14	1652	" ""BZ$""	1.00 "				" £	0.21 "	50	McCusker									
L 15	15	1653	" ""BZ$""	1.00 "				" £	0.21 "	50	McCusker									
L 16	16	1654	" ""BZ$""	1.00 "				" £	0.21 "	50	McCusker									
L 17	17	1655	" ""BZ$""	1.00 "				" £	0.21 "	50	McCusker									
L 18	18	1656	" ""BZ$""	1.00 "			" £	0.20 "	" £	0.20 "		McCusker		" ""BZ$""	1.00 "	" £	0.20 "	48	48	" £	0.20 "	100	"McCusker
Chalmers"	Generally accepted value in 1600s in Jam
L 19	19	1657	" ""BZ$""	1.00 "			" £	0.20 "	" £	0.20 "		McCusker		" ""BZ$""	1.00 "	" £	0.20 "	48	48	" £	0.20 "	100	"McCusker
Chalmers"	Jam currency = Sterl c 1660s
L 20	20	1658	" ""BZ$""	1.00 "			" £	0.20 "	" £	0.20 "		McCusker		" ""BZ$""	1.00 "	" £	0.20 "	48	48	" £	0.20 "	100	"McCusker
Chalmers"	
L 21	21	1659	" ""BZ$""	1.00 "			" £	0.20 "	" £	0.20 "		McCusker		" ""BZ$""	1.00 "	" £	0.20 "	48	48	" £	0.20 "	100	"McCusker
Chalmers"	
L 22	22	1660	" ""BZ$""	1.00 "			" £	0.20 "	" £	0.20 "		McCusker		" ""BZ$""	1.00 "	" £	0.20 "	48	48	" £	0.20 "	100	"McCusker
Chalmers"	
L 23	23	1661	" ""BZ$""	1.00 "			" £	0.20 "	" £	0.20 "		McCusker		" ""BZ$""	1.00 "	" £	0.20 "	48	48	" £	0.20 "	100	"McCusker
Chalmers"	
L 24	24	1662	" ""BZ$""	1.00 "			" £	0.20 "	" £	0.20 "		McCusker		" ""BZ$""	1.00 "	" £	0.20 "	48	48	" £	0.20 "	100	"McCusker
Chalmers"	
L 25	25	1663	" ""BZ$""	1.00 "			" £	0.20 "	" £	0.20 "		McCusker		" ""BZ$""	1.00 "	" £	0.20 "	48	48	" £	0.20 "	100	"McCusker
Chalmers"	
L 26	26	1664	" ""BZ$""	1.00 "			" £	0.20 "	" £	0.20 "		McCusker		" ""BZ$""	1.00 "	" £	0.20 "	48	48	" £	0.20 "	100	"McCusker
Chalmers"	
L 27	27	1665	" ""BZ$""	1.00 "			" £	0.20 "	" £	0.20 "		McCusker		" ""BZ$""	1.00 "	" £	0.20 "	48	48	" £	0.20 "	100	"McCusker
Chalmers"	
L 28	28	1666	" ""BZ$""	1.00 "			" £	0.20 "	" £	0.20 "		McCusker		" ""BZ$""	1.00 "	" £	0.20 "	48	48	" £	0.20 "	100	"McCusker
Chalmers"	
L 29	29	1667	" ""BZ$""	1.00 "			" £	0.20 "	" £	0.20 "		McCusker		" ""BZ$""	1.00 "	" £	0.20 "	48	48	" £	0.20 "	100	"McCusker
Chalmers"	
L 30	30	1668	" ""BZ$""	1.00 "			" £	0.20 "	" £	0.20 "		McCusker		" ""BZ$""	1.00 "	" £	0.20 "	48	48	" £	0.20 "	100	"McCusker
Chalmers"	
L 31	31	1669	" ""BZ$""	1.00 "			" £	0.20 "	" £	0.20 "		McCusker		" ""BZ$""	1.00 "	" £	0.20 "	48	48	" £	0.20 "	100	"McCusker
Chalmers"	
L 32	32	1670	" ""BZ$""	1.00 "			" £	0.20 "	" £	0.20 "		McCusker		" ""BZ$""	1.00 "	" £	0.20 "	48	48	" £	0.20 "	100	"McCusker
Chalmers"	
L 33	33	1671	" ""BZ$""	1.00 "			" £	0.20 "	" £	0.20 "		McCusker		" ""BZ$""	1.00 "	" £	0.20 "	48	48	" £	0.20 "	100	"McCusker
Chalmers"	"> 21 Dec; by Order of Gov of Jam, de jure rate fixed at Sp silver $ 1 = 0.5.0 Sterl"
L 34	34	1672	" ""BZ$""	1.00 "			" £	0.23 "	" £	0.20 "		McCusker		" ""BZ$""	1.00 "	" £	0.23 "	60	48	" £	0.20 "	111	"McCusker
Chalmers"	
L 35	35	1673	" ""BZ$""	1.00 "			" £	0.23 "	" £	0.20 "		McCusker		" ""BZ$""	1.00 "	" £	0.23 "	60	48	" £	0.20 "	111	"McCusker
Chalmers"	
