Table 1
Series T 0—300 / Trade.																																																									
ID	NO	YR	LOG T ENG F ALL	Q	CF	LOG T JAM F ALL	Q	CF	LOG T BOS F ALL	Q	CF	LOG T NYC F ALL	Q	CF	ALL T ENG F SWI	LOG T ENG F SWI	MAH T ENG F SWI	CF	ALL T ENG F HON	LOG T ENG F HON	MAH T ENG F HON	CF	ALL T ENG F MOS	LOG T ENG F MOS	MAH T ENG F MOS	CF	ALL T SCOT F HON	LOG T SCOT F HON	MAH T SCOT F HON	CF	ALL T GB F FWI	LOG T GB F FWI	MAH T GB F FWI	CF	ALL T GB F BWI	LOG T GB F BWI	MAH T GB F BWI	CF	ALL T GB F HON	LOG T GB F HON	MAH T GB F HON	CF	ALL T HON F ALL	ALL T ALL F HON	ALL T ALL F HON REEXP	ALL T HON F GB	ALL T GB F HON	CF	NOTE	ALL T HON F ALL	ALL T ALL F HON	ALL T ALL F HON REEXP	ALL T HON F GB	ALL T GB F HON	CF	NOTE	
T 0	0	1670																																																							
T 1	1	1671	460	2.0	CO 1/43 f 59 [f Jam]																																																				
T 2	2	1672	920	4.0	CO 1/43 f 59 [f Jam]																																																				
T 3	3	1673	920	4.0	CO 1/43 f 59 [f Jam]																																																				
T 4	4	1674	920	4.0	CO 1/43 f 59 [f Jam]																																																				
T 5	5	1675	430	4.0	CO 1/43 f 59 [f Jam]																																																				
T 6	6	1676	430	4.0	CO 1/43 f 59 [f Jam]																																																				
T 7	7	1677	430	4.0	CO 1/43 f 59 [f Jam]																																																				
T 8	8	1678	554	4.0	CO 1/43 f 59 [f Jam]																																																				
T 9	9	1679																																																							
T 10	10	1680																																																							
T 11	11	1681																																																							
T 12	12	1682	623	4.0	CO 142/13 [f Jam]																																																				
T 13	13	1683	506	4.0	CO 142/13 [f Jam]	0.0	1.0	CO 142/13																																																	
T 14	14	1684				300.0	1.0	CO 142/13																																																	
T 15	15	1685				40.0	1.0	CO 142/13																																																	
T 16	16	1686	651	4.0	CO 142/13 [f Jam]	221.5	4.0	CO 142/13																																																	
T 17	17	1687	506	4.0	CO 142/13 [f Jam]	141.0	4.0	CO 142/13																																																	
T 18	18	1688	"1,079"	4.0	CO 142/13 [f Jam]	881.0	4.0	CO 142/13																																																	
T 19	19	1689	"1,132"	4.0	CO 142/13 [f Jam]	520.0	4.0	CO 142/13																																																	
T 20	20	1690				160.0	4.0	CO 142/13																																																	
T 21	21	1691				0.0	4.0	CO 142/13																																																	
T 22	22	1692				30.0	1.0	CO 142/13																																																	
T 23	23	1693																																																							
T 24	24	1694																																																							
T 25	25	1695																																																							
T 26	26	1696																																																							
T 27	27	1697	622.56	4.0	CUST 3/81																																																				
T 28	28	1698	"1,067.00"	4.0	CUST 3/1																																																				
T 29	29	1699	"2,843.09"	4.0	CUST 3/3																																																				
T 30	30	1700	"6,618.30"	4.0	CUST 3/4																																																				
T 31	31	1701	"4,791.55"	4.0	CUST 3/5																																																				
T 32	32	1702	"4,434.48"	4.0	CUST 3/6																																																				
T 33	33	1703	"2,421.88"	4.0	CUST 3/7																																																				
T 34	34	1704	"1,209.03"	4.0	CUST 3/8																																																				
T 35	35	1705																																																							
T 36	36	1706	320.95	4.0	CUST 3/9																																																				
T 37	37	1707	829.47	4.0	CUST 3/10																																																				
T 38	38	1708	"1,289.52"	4.0	CUST 3/11																																																				
T 39	39	1709	825.73	4.0	CUST 3/12	321.5	3.0	CO 142/14																																																	
T 40	40	1710	653.33	4.0	CUST 3/13	372.0	4.0	CO 142/14																																																	
T 41	41	1711	470.33	4.0	CUST 3/14	239.0	3.0	CO 142/14																																																	
T 42	42	1712				0.0	3.0	CO 142/14																																																	
T 43	43	1713	"2,189.80"	4.0	CUST 3/15	0.0	4.0	CO 142/14							£	£	" £	-  "	CUST 3/15																																							
T 44	44	1714	"4,766.50"	4.0	CUST 3/16				"1,434.0"	4.0	CO 5/848				£	£	" £	-  "	CUST 3/16																																							
T 45	45	1715	"5,859.67"	4.0	CUST 3/17				969.0	4.0	CO 5/848	440.0	2.0	CO 5/1222	" £	-  "	" £	-  "	" £	-  "	CUST 3/17																																							
T 46	46	1716	"2,055.62"	4.0	CUST 3/18				275.0	4.0	CO 5/848	127.0	4.0	CO 5/1222	" £	16,413.45 "	" £	-  "	" £	-  "	CUST 3/18																																							
T 47	47	1717	"1,148.45"	4.0	CUST 3/19				60.0	2.0	CO 5/848	60.0	4.0	CO 5/1222	" £	163,219.06 "	" £	1,883.94 "	" £	9.00 "	CUST 3/19																																							
T 48	48	1718	"1,174.86"	4.0	CUST 3/20	45.0	3.0	CO 142/14	0.0	1.5	CO 5/848	13.5	4.0	CO 5/1222	" £	73,071.28 "	" £	3,001.50 "	" £	-  "	CUST 3/20																																							
T 49	49	1719	739.63	4.0	CUST 3/21	40.0	4.0	CO 142/14	0.0	2.5	CO 5/848	60.0	4.0	CO 5/1222	" £	18,417.49 "	" £	503.10 "	" £	-  "	CUST 3/21																																							
T 50	50	1720	342.75	4.0	CUST 3/22	35.0	2.0	CO 142/14				12.0	4.0	CO 5/1222	" £	-  "	" £	-  "	" £	-  "	CUST 3/22																																							
T 51	51	1721	"1,798.03"	4.0	CUST 3/23	0.0	1.0	CO 142/14				92.0	4.0	CO 5/1222	" £	1,012.10 "	" £	-  "	" £	-  "	CUST 3/23																																							
T 52	52	1722	"1,130.40"	4.0	CUST 3/24							266.0	4.0	CO 5/1222-3	" £	8,125.00 "	" £	-  "	" £	-  "	CUST 3/24																																							
T 53	53	1723	"2,273.60"	4.0	CUST 3/25							223.0	4.0	CO 5/1223	" £	6,013.26 "	" £	-  "	" £	-  "	CUST 3/25																																							
T 54	54	1724	"3,347.48"	4.0	CUST 3/26							125.0	4.0	CO 5/1223	" £	156,083.45 "	" £	1,764.00 "	" £	69.24 "	CUST 3/26																																							
T 55	55	1725	"3,220.81"	4.0	CUST 3/27							15.0	3.0	CO 5/1223	" £	20,136.04 "	" £	1,800.00 "	" £	-  "	CUST 3/27																																							
T 56	56	1726	"3,588.07"	4.0	CUST 3/28B										£	£	" £	-  "	CUST 3/28B																																							
T 57	57	1727	"3,108.98"	4.0	CUST 3/82	40.0	1.0	CO 142/15							£	£	" £	0.60 "	CUST 3/82																																							
T 58	58	1728				"1,240.0"	2.0	CO 142/15																																																	
T 59	59	1729	989.05	4.0	CUST 3/29	88.0	4.0	CO 142/15																																																	
T 60	60	1730	"1,505.12"	4.0	CUST 3/30	275.0	1.0	CO 142/15							£	£	" £	-  "	CUST 3/30																																							
