Table 1
				to Scot			Log to S			Mah to S							
Yr	No	ff	Desc	L	s	d	L	s	d	L	s	d	Note				
1695																	
1696																	
1697																	
1698																	
1699																	
1700																	
1701																	
1702																	
1703																	
1704																	
1705																	
1706																	
1707																	
1708																	
1709																	
1710																	
1711																	
1712																	
1713																	
1714																	
1715																	
1716																	
1717																	
1718																	
1719																	
1720																	
1721																	
1722																	
1723																	
1724																	
1725																	
1726																	
1727																	
1728																	
1729																	
1730																	
1731																	
1732																	
1733																	
1734																	
1735																	
1736																	
1737																	
1738																	
1739																	
1740																	
1741																	
1742																	
1743																	
1744																	
1745																	
1746																	
1747																	
1748																	
1749																	
1750																	
1751																	
1752																	
1753																	
1754																	
1755	1A	1	Amer				136	10	0	2791	5	0	7L pt Log; 27.5L pt Mah				
1756	1A	20	Amer				691	7	7.5	3108	17	6	do				
1757	1A	37	Amer				406	0	0	1778	2	7.75	do				
1758	1A	54	Amer				520	0	3	1472	4	4.5	do				
1759	1A	72	Amer				313	5	0	3295	14	0	do				
1760	1A	88	Amer				581	0	0	2791	5	0	do				
1761	1A	116											divided into states & colonies; no SWI				
1762																	
1763																	
1764	1B	161											div; no SWI				
1765	1B	69											div; no SWI				
1766	1B	255											div; no SWI				
1767	1B	128											div; no SWI				
1768	1B	96											div; no SWI				
1769																	
1770	1B	192											div; no SWI				
1771	1B	225	Hon	5119	3	0	182	0	0	4936	5	0		5119.15	182	4936.25	Cust 14/1B
1772	1B	287	Hon	31542	10	0	0	0	0	31542	10	0		31542.5	0	31542.5	Cust 14/1B
1773	1B	35	Hon	5415	10	0	273	0	0	5142	10	0		5415.5	273	5142.5	Cust 14/1B
1774	1B	3	Hon	29444	5	6	301	0	0	29129	7	6	7L pt Log; 27.5L pt Mah	29444.275	301	29129.375	Cust 14/1B
1775	2	1	Hon	0	3	3	0	0	0	0	0	0		0.1625	0	0	Cust 14/2
1776	2	29	Hon	9851	16	0	245	0	0	9605	15	0		9851.8	245	9605.75	Cust 14/2
1777	2	56															
1778	2	87															
1779	2	116															
1780	2	145															
1781	3	67															
1782	3	94															
1783	4	56	Hon	1240	0	0	140	0	0	1100	0	0	7L pt Log; 27.5L pt Mah	1240	140	1100	Cust 14/4
1784	4	94															
1785	5	1	Hon	825	0	0	0	0	0	825	0	0		825	0	825	Cust 14/5
1786	5	46															
1787	6	1	Hon	3868	19	5	55	4	3	3813	15	7		3868.97083333333	55.2125	3813.77916666667	Cust 14/6
1788	7	1	Hon	8071	14	3	392	0	0	7587	6	0		8071.7125	392	7587.3	Cust 14/7
1789	8	1	Hon	11974	13	0	510	9	3	11439	12	2		11974.65	510.4625	11439.6083333333	Cust 14/8
1790	9	1	Hon	4060	5	8	159	17	0	3857	2	5		4060.28333333333	159.85	3857.12083333333	Cust 14/9
1791	10	1	Hon	15899	5	3	360	10	0	15382	2	6		15899.2625	360.5	15382.125	Cust 14/10
1792	11	1	Hon	9599	4	0	413	0	0	9166	14	0		9599.2	413	9166.7	Cust 14/11
1793	12	1	Hon	4763	8	3	145	5	0	4565	0	0		4763.4125	145.25	4565	Cust 14/12
1794	12	93	Hon	19321	4	5	535	0	0	18712	9	0		19321.2208333333	535	18712.45	Cust 14/12
1795	13A	1															
1796	13A	40	Hon	2963	3	0	238	0	0	2725	3	0		2963.15	238	2725.15	Cust 14/13A
1797	13A	1															
1798	13A	47															
1799	13A	1															
1800	13A	1	Hon	6642	3	7	294	4	9	6341	16	5		6642.17916666667	294.2375	6341.82083333333	Cust 14/13A
1801	14	1	Hon	232	5	3	0	0	0	232	5	3		232.2625	0	232.2625	Cust 14/14
1802	15	1	Hon	3478	16	9	83	18	3	3394	18	6		3478.8375	83.9125	3394.925	Cust 14/15
1803	16	3	Hon	12668	6	6	582	13	0	12073	13	9		12668.325	582.65	12073.6875	Cust 14/16
1804	17	3	Hon	13327	10	3	439	14	6	12887	15	9		13327.5125	439.725	12887.7875	Cust 14/17
1805	18	3	Hon	11678	12	9	587	9	8	11091	3	1		11678.6375	587.483333333333	11091.1541666667	Cust 14/18
1806	19	2	Hon	15598	3	1	749	3	9	14848	19	4		15598.1541666667	749.1875	14848.9666666667	Cust 14/19
1807	20	3	Hon	11859	11	7	435	0	6	11395	5	0		11859.5791666667	435.025	11395.25	Cust 14/20
1808	21	3	Hon	17166	19	3	581	13	9	16560	18	1		17166.9625	581.6875	16560.9041666667	Cust 14/21
1809																	
1810	22	4	Hon	17144	16	3	425	3	7	16677	9	11		17144.8125	425.179166666667	16677.4958333333	Cust 14/22
1811	23	4	Hon	9581	9	2	338	19	6	9237	4	8		9581.45833333333	338.975	9237.23333333333	Cust 14/23
1812	24	3	Hon	20547	19	3	951	12	0	19596	7	3		20547.9625	951.6	19596.3625	Cust 14/24
1813	25	3	Hon	15146	8	0	599	12	6	14533	18	11		15146.4	599.625	14533.9458333333	Cust 14/25
1814	26	2	Hon	13061	7	4	307	3	0	12752	8	11	7L pt Log; 27.5L pt Mah	13061.3666666667	307.15	12752.4458333333	Cust 14/26
1815	27	3	Hon	40305	9	9	1581	4	0	38656	15	0		40305.4875	1581.2	38656.75	Cust 14/27
1816	28	23	Hon	21991	7	0	611	15	4	21375	16	8		21991.35	611.766666666667	21375.8333333333	Cust 14/28
1817																	
1818																	
1819																	
1820																	
1821																	
1822	34	29	Hon	21772	8	2	629	6	9	18430	11	10		21772.4083333333	629.3375	18430.5916666667	Cust 14/34
1823																	
1824																	
1825																	
1826																	
1827																	
1828																	
1829																	
1830																	
