Table 1
					to GB			to Eng			to Scot			Log			Mah						
Yr	No	ff	Desc	Inc	L	s	d	L	s	d	L	s	d	L	s	d	L	s	d				
1695																							
1696																							
1697																							
1698																							
1699																							
1700																							
1701																							
1702																							
1703																							
1704																							
1705																							
1706																							
1707																							
1708																							
1709																							
1710																							
1711																							
1712																							
1713																							
1714																							
1715																							
1716																							
1717																							
1718																							
1719																							
1720																							
1721																							
1722																							
1723																							
1724																							
1725																							
1726																							
1727																							
1728																							
1729																							
1730																							
1731																							
1732																							
1733																							
1734																							
1735																							
1736																							
1737																							
1738																							
1739																							
1740																							
1741																							
1742																							
1743																							
1744																							
1745																							
1746																							
1747																							
1748																							
1749																							
1750																							
1751																							
1752																							
1753																							
1754																							
1755																							
1756																							
1757																							
1758																							
1759																							
1760																							
1761																							
1762																							
1763																							
1764																							
1765																							
1766																							
1767																							
1768																							
1769																							
1770																							
1771																							
1772	1	18	FWI	"Hon, Mos?"				115482	17	4	31541	10	0	40568	18	8	25469	18	4				
1773	2	17	FWI	"Hon, Mos?"				48378	13	4	21824	17	1	10347	5	6	17213	0	0				
1774	3	18	BWI	"Mont, Nev, St V, Tob, Tort, Hon, Mos"	507140	4	8	457254	0	1				9979	13	0	18660	12	9				
	3	18	Hon					25253	19	7													
	3	18	Mos					8694	9	8													
1775	4	19	BWI		509546	15	4	485817	3	6				18581	9	0	27480	13	1				
1776	4	80	BWI		470586	19	4	454451	5	5				9364	7	9	20441	10	0				
1777	5	17	BWI		352319	10	6	331311	2	1				7821	9	2	22221	0	0				
1778	5	73	BWI		461535	3	5	439363	6	9				10746	3	10	36270	0	0				
1779	6	15	BWI		349527	3	1	328106	15	10				2918	4	0	6607	0	0	blurry			
1780	6	75	BWI		262111	19	1	219991	3	10				570	0	0	192	0	0				
1781	7	17	BWI		248897	17	10	240206	2	4				35	14	0	0	0	0				
1782	7	86	BWI		562790	6	6							11	17	5	194	0	0	sum missing			
1783	8	17	BWI					446092	0	8	28363	19	4	52	17	8	650	0	0				
1784	8	78	BWI					380215	7	8	8704	13	9	1200	0	0	12788	15	0				
1785	9	18	BWI					405512	17	3	21217	6	4	6410	7	4	41136	7	3				
1786	9	77	BWI					370144	15	10	11141	16	5	10815	15	2	44358	17	10				
1787	10	19	BWI					478167	3	1	30357	13	3	16036	12	2	75609	11	4	blurry			
1788	10	104	Hon					271356	7	3	8071	14	3	20348	3	0	189340	8	0				
1789	11	71	Hon					107574	0	4	11974	13	0	25327	3	3	92623	6	2				
1790	12	108	Hon		100298	19	7							19280	6	6	78928	8	1				
1791	13	51	Hon		52900	9	0							8350	3	9	40923	7	0				
1792	14	75	Hon		64509	2	3							13492	2	11	45963	10	2				
1793	15	27	Hon		47192	10	0							5106	2	10	35375	5	7				
1794	16	86	Hon		42885	4	7							8064	18	5	33009	17	0				
1795	17	42	Hon		20366	7	0							4693	19	6	15217	13	1				
1796	18	50	Hon		26418	6	6							10529	6	1	15113	13	11				
1797	19	48	Hon		38276	19	8							11974	2	8	26163	0	5				
1798	20	50	Hon		6579	7	10							1927	15	5	4406	16	8				
1799	21	49	Hon		920	0	6							0	0	0	0	0	0				
1800	22	106	Hon		16777	14	11							1658	8	0	14805	5	6				
1801	23	113	Hon		17642	7	10							2804	2	8	13632	12	0				
1802	24	117	Hon		59848	16	5							9148	19	11	49883	18	0				
1803	25	72	Hon		91934	3	10							14886	13	5	75432	11	3				
1804	26	61	Hon		86115	16	1							11153	19	8	73284	2	7				
1805	27	69	Hon		83777	1	11							11427	2	10	71360	6	10				
1806	28	69	Hon		76244	14	11							10934	3	5	64881	19	2				
1807	29	83	Hon		60013	2	0							10429	16	10	49154	14	1				
1808	30	206	Hon		61045	11	5							8252	1	1	52334	8	6				
1809																							
1810																							
