Table 1
Ser	Parlm	No	Start	End	CF
			1807	1836	"R. M. Martin Statistics of the colonies of the British Empire in the West Indies, South America, North America, Asia, Austral-Asia, Africa, and Europe… London 1839 p 140-1"
HCP	1845	49	1842	1842	HCP 1845 v 31 no 49
CP	1865	3508	1850	1863	
CP	1878	C.2093	1862	1876	
CP	1890	C.6160	1875	1889	
CP	1900	Cd.307	1885	1899	
CP	1914	Cd.7165	1898	1912	
CP	1926	Cmd. 2738	1909	1923	
CP	1929-30	Cmd. 3434	1922	1927	
CP	1936-37	Cmd. 5298	1926	1935	
CP	1939-40	Cmd. 6140	1929	1938	
CP	1946-47	Cmd. 7224	1936	1945	
CP	1950	Cmd. 8051	1945	1947	
					cf 1946-47 Cmd. 7167?
					cf 1944-45 Cmd. 6607
