Table 1
Ser	Parlm	No	Start	End	Cf / note
HCP	1836	607	1824	1836	Expenses
CP	1888	C.5249-38	1887	1887	On blue book
CP	1890	C.5897-1	1888	1888	On blue book
CP	1890-91	C.6269	1889	1889	Colonial report
CP	1892	C.6563-3	1890	1890	Colonial report
CP	1893-94	C.6857-23	1891	1891	Colonial report
CP	1893-94	C.6857-44	1892	1892	Colonial report
CP	1894	C.7319-14	1893	1893	Colonial report
CP	1896	C.7944-14	1894	1894	Colonial report
CP	1897	C.8279-8	1895	1895	Colonial report
CP	1898	C.8650-5	1896	1896	Colonial report
CP	1899	C.9046-10	1897	1897	Colonial report
CP	1900	Cd.3-1	1898	1898	Colonial report
CP	1901	Cd. 431-2	1899	1899	Colonial report
CP	1902	Cd. 788-9	1900	1900	Colonial report
CP	1902	Cd. 788-32	1901	1901	Colonial report
CP	1903	Cd. 1388-14	1902	1902	Colonial report
CP	1904	Cd. 1768-22	1903	1903	Colonial report
CP	1906	Cd. 2684-1	1904	1904	Colonial report
CP	1907	Cd. 3285-2	1905	1905	Colonial report
CP	1908	Cd. 3729-16	1906	1906	Colonial report
CP	1908	Cd. 3729-36	1907	1907	Colonial report
CP	1910	Cd. 4964-5	1908	1908	Colonial report
CP	1911	Cd. 5467-3	1909	1909	Colonial report
CP	1912-13	Cd. 6007-6	1910	1910	Colonial report
CP	1912-13	Cd. 6007-33	1911	1911	Colonial report
CP	1914	Cd. 7050-25	1912	1912	Colonial report
CP	1933-34	Cmd. 4586	1913	1933	Survey
CP	1914-16	Cd. 7622-18	1913	1913	Colonial report
CP	1914-16	Cd. 7622-59	1914	1914	Colonial report
CP	1917-18	 Cd. 8434-2	1915	1915	Colonial report
CP	1918	Cd. 8973-6	1916	1916	Colonial report
CP	1919	Cmd. 1-17	1917	1917	Colonial report
CP	1920	Cmd. 508-10	1918	1918	Colonial report
CP	1921	Cmd. 1103-13	1919	1919	Colonial report
					MISSING Blue Books; Reports on BH at UFDC; & Annual report on the social and economic progress of the people of British Honduras at ?
					Cf 1948 Cmd. 7533?
					Cf CP 1857 Session 1 no 2198?
CP	1846	728	1845	1845	
					Cf HCP 1847 710-IV
CP	1847	869	1846	1846	
CP	1847-48	1005	1847	1847	
CP	1849	1126	1848	1848	
CP	1849	239			
CP	1850	1232	1849	1849	
CP	1850	1287	1849	1849	
CP	1851	1421	1850	1850	
CP	1852	1539	1851	1851	
CP	1852-53	1693	1852	1852	
CP	1852-53	1595	1851	1851	
CP	1854-55	1919	1853	1853	
CP	1856	2050	1854	1854	
CP	1857 Sess 1	2198	1855	1855	
CP	1857-58	2403	1856	1856	
CP	1859 Sess 2	2567	1857	1857	
CP	1860	2711	1858	1858	
CP	1861	2841	1859	1859	
CP	1862	2955	1860	1860	
CP	1863	3165	1861	1861	
CP	1864	3304	1862	1862	
CP	1865	3423	1863	1863	
CP	1866	3719	1864	1864	
CP	1867	3812	1865	1865	
CP	1867-68	3995	1866	1866	
CP	1868-69	4090	1867	1867	
CP	1870	C.85	1868	1868	
CP	1871	C.334	1869	1869	
CP	1872	C.523	1870	1870	
CP	1873	C.709	1873	1873	
CP	1875	C.1335	1875	1875	
CP	1876	C.1622	1876	1876	
CP	1877	C.1825	1875	1877	
CP	1878-79	C.2444	1878	1878	STOPPED HERE; REPORTS CONT. TO 1899
FCO			1836	1836	Blue book img 1
FCO			1837	1837	Blue book img 92
FCO			1845	1845	Blue book img 184
FCO			1865	1865	Blue book img 285
FCO			1867	1867	Blue book img 437
			1868	1686	Blue book img 1
			1869	1869	Blue book img 116
			1870	1870	Blue book img 222
			1871	1871	Blue book img 336
			1872	1872	Blue book img 439
			1873	1873	Blue book img 1
			1875	1875	Blue book img 129
			1876	1876	Blue book img 264
			1877	1877	Blue book img 396
			1878	1878	Blue book img 521
			1893	1893	Blue book img 1
			1901	1901	Blue book img 86
