Table 1
		fm All	to All	to All Re	fm GB	to GB	Rev	Exp	Exp Ln	Debt				f All	t All	t All Re	f GB	t GB
Auth Yr	Yr	L	L	L	L	L	L	L	L	L	Notes	FX	FX £	$	$	$	$	
Martin 1839	1807						7566	8291			Spanish silver dollar fixed for all WI at 0.4.2 on 7 Sep 1838; Appendix I p 25	?						
	1808						6005	5170										
	1809						6829	6066										
	1810						9523	9604										
	1811						8643	8981										
	1812						6590	6312										
	1813						5438	5548										
	1814						5474	5629										
	1815						12944	12527										
	1816						10672	9276										
	1817						8168	8838										
	1818						16501	18193										
	1819						15967	16896										
	1820						17249	17266										
	1821						12306	12027										
	1822						14831	14296										
	1823						19294	21012										
	1824	262988	272826		235335	218522	14125	14163										
	1825	289871	295111		244131	232052	17594	17634										
	1826	412727	350370		303882	283076	13256	13755										
	1827	313502	394132		271209	374394	17416	17562										
	1828	233756	301255		185929	219798	12460	10760										
	1829	244464	255282		209199	219662	11057	11150										
	1830	234379	316151		193692	195192	24885	15807										
	1831	278627	197860		216617	106280	13943	13721										
	1832	153830	182267		108797	145497	16824	16997										
	1833	235156	242330		194950	154344	15157	16802										
	1834	318234	286800		272609	209118	17507	16954										
	1835	182614	267811		122630	205603	21187	16566										
	1836	340554	493115		278699	399546	20071	15204										
																		
CP 3508	1850	197555	261015		141379	211145					Debt exclusive of loans for reproductive Public Works.	?						
	1851	289819	153777		209541	96071												
	1852	262112	391223		109695	340908												
	1853	198186	345377		120762	276520												
	1854	241764	452313		152411	384640												
	1855	245486	462591		159969	391527												
	1856	254994	446649		160659	357153												
	1857	268691	440271		169927	329052												
	1858	207908	380377		121934	286612												
	1859	175203	288161		101595	183113												
	1860	200869	315918		128081	224065												
	1861	231744	292576		149887	214688												
	1862	211358	356390		108843	201379												
	1863	265752	390644		147809	235205				5625								
																		
C.2093	1862	211358	356390		108843	210379	27294	32175			Rev and exp exc loans raised and repaid	?						
	1863	265752	390644		147809	235205	27898	28642		5625	Bullion and specie not specified by Honduras returns							
	1864	291144	373197		196373	218131	31544	28365		21562								
	1865	210675	323170		130426	220077	26530	35614		28239								
	1866	169033	277156		107734	169013	27334	31094										
	1867	190495	186169		112051	102806	35720	32644		34515								
	1868	177684	203659		105100	115482	42416	39720		39277								
	1869	151189	175033		95737	91788	36630	30404		34121								
	1870	184338	171988		131348	79925	32674	26220		29591								
	1871	180662	207672		125380	116119	42881	25454		29591								
	1872	167809	203560		113574	105898	38720	29350		22321								
	1873	236615	216993		159542	129317	51946	34407		15591								
	1874	178398	240628		98301	134655	43723	40063		15391								
	1875	175321	202512		95936	104331	41906	40839		13062								
	1876	163403	206420		99946	127547	40231	36615		5041								
																		
C.6160	1875	164363	189855		89096	97810	39287	38287		12246	1877; 1878 Exp exclude re-Exp	0.3.9	0.1875	876602.666666667	1012560		475178.666666667	521653.333333333
	1876	144678	182768		88494	112932	35621	32420		4463	Rev and exp exc loans raised and repaid	0.3.6(1/2)	0.167083333333333	865903.241895264	1093873.31670823		529639.900249378	675902.244389029
	1877	146763	110237		74853	83714	36823	35354		4463		0.3.6(1/2)	0.167083333333333	878382.044887782	659772.568578555		447998.004987532	501031.421446385
	1878	161571	110537		93486	79660	34054	43111		3806		0.3.4(1/2)	0.16625	971855.639097744	664884.210526316		562321.804511278	479157.894736842
	1879	134902	158349		66896	99475	34023	42777		937		0.3.4(1/2)	0.16625	811440.601503759	952475.187969925		402381.954887218	598345.864661654
	1880	200141	213346		103667	98961	36479	51998				0.3.4(1/2)	0.16625	1203855.63909774	1283284.21052632		623560.902255639	595254.135338346
	1881	170278	208746		92435	116024	36823	34351				0.3.4(1/2)	0.16625	1024228.57142857	1255615.03759398		556000	697888.721804511
	1882	196494	211463		99379	113044	39137	37547				0.3.4(1/2)	0.16625	1181918.79699248	1271957.89473684		597768.421052632	679963.909774436
	1883	221342	249237		122477	146055	43020	33100				0.3.3(1/2)	0.165833333333333	1334725.62814071	1502936.68341709		738554.773869348	880733.66834171
	1884	195474	261234		105006	168724	42681	44095				0.3.3(1/2)	0.165833333333333	1178737.68844221	1575280.40201005		633202.010050253	1017431.1557789
	1885	201761	193388		87619	112227	41361	50061	9684			0.3.2	0.158333333333333	1274280	1221397.89473684		553383.157894738	708802.105263159
	1886	172054	204201		68562	131742	39639	45613		7838		0.2.11	0.145833333333333	1179798.85714286	1400235.42857143		470139.42857143	903373.714285716
	1887	160084	196833		69651	114552	40854	42918		8130		0.2.11	0.145833333333333	1097718.85714286	1349712		477606.857142858	785499.42857143
	1888	206450	213020		95569	101368	43511	41587	7105	16782		0.2.9(1/2)	0.114166666666667	1808321.16788321	1865868.61313868		837100.729927005	887894.890510946
	1889	260089	300879		125234	162997	50523	45487	1280	16032		0.2.9(1/2)	0.114166666666667	2278151.82481751	2635436.49635036		1096940.1459854	1427710.94890511
																		
Cd.307	1885	201761	193388		87619	112227	41361	50061	9684		Rev and exp exc loans raised and repaid	0.3.2	0.158333333333333	1274280	1221397.89473684		553383.157894738	708802.105263159
	1886	172054	204201		68562	131742	39639	45613		8130		0.2.11	0.145833333333333	1179798.85714286	1400235.42857143		470139.42857143	903373.714285716
	1887	160084	196833		69651	114552	40854	42918		8130		0.2.11	0.145833333333333	1097718.85714286	1349712		477606.857142858	785499.42857143
	1888	206450	213020		95569	101368	43511	41587	7105	16782		0.2.9(1/2)	0.114166666666667	1808321.16788321	1865868.61313868		837100.729927005	887894.890510946
	1889	260089	300879		125234	162997	50523	43516	1280	16782		0.2.9(1/2)	0.114166666666667	2278151.82481751	2635436.49635036		1096940.1459854	1427710.94890511
	1890	282045	287690		131846	170855	51204	45249	7854	17595		0.3.1	0.154166666666667	1829481.08108108	1866097.29729729		855217.297297295	1108248.64864865
	1891	272214	280521		112102	154619	52528	45270	5884	17000		0.2.11(1/4)	0.109833333333333	2478427.92109257	2554060.69802732		1020655.538695	1407760.24279211
	1892	230610	228536		89535	104450	44449	43791	5259	16317		0.2.7(1/2)	0.113333333333333	2034794.11764706	2016494.11764706		790014.705882355	921617.647058826
	1893	169226	247318		64830	137405	34973	42339	3380	30458		0.2.3(1/2)	0.111666666666667	1515456.71641791	2214788.05970149		580567.164179103	1230492.53731343
	1894						38212	45057	2327	34736		0.4.1(31/81)	0.218677983539095					
	1895	299103	264197		88025	120749	49071	56537	2097	34736		0.4.1(31/81)	0.218677983539095	1367778.29738185	1208155.46093952		402532.520994565	552177.215308978
	1896	300954	283663		107656	156486	64339	55416	114	34736		0.4.1(31/81)	0.218677983539095	1376242.79833455	1297172.19543177		492303.789607395	715600.159958598
	1897	292613	288969		100095	158409	64613	65716	743	34736		0.4.1(31/81)	0.218677983539095	1338099.95530568	1321436.18357601		457727.835148549	724393.912163909
	1898	256977	263908		86446	175550	56521	62019		34736		0.4.1(31/81)	0.218677983539095	1175138.87699654	1206833.88299499		395311.858107313	802778.574957069
	1899	212237	263090		66562	177033	51535	53994		34736		0.4.1(31/81)	0.218677983539095	970545.806967607	1203093.22293053		304383.63717626	809560.236174165
																		
HCP 49	1842				414103	864502					Exp imp in official values	?						
																		
Cd.7165	1898	256977	263908		86446	175550	56521	62019		34736	Rev and Exp > 1900 for 12 months ended 31 Mar year following the given yr.	0.4.1(1/3)	0.218472222222222	1176245.64526383	1207970.50222505		395684.17037508	803534.647171012
	1899	212237	263090		86562	177033	51535	53994		34736	Exp Ln for 12 months ended 31 Mar yr following the given yr	0.4.1(1/3)	0.218472222222222	971459.885568977	1204226.31913541		396215.130324222	810322.695486333
	1900	246661	267606		77402	126248	59615	50659		34736	STOPPED GB DATA HERE	0.4.1(1/3)	0.218472222222222	1129026.82771774	1224897.13922441		354287.603305785	577867.514303879
	1901	252511	285514		76853	130840	55940	52809		34736		0.4.1(1/3)	0.218472222222222	1155803.68722187	1306866.36999364		351774.698029244	598886.204704387
