Table 1
CF	OID	URL	URL	DATE	DATE	SCOPE	MIL	OLD NOTES	NOTES	EXTRACT	
GT 39 ram 14 no 93	c0	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348734	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348734	28 Sep 1610	1610-09-28.	"CARTAS DE GOBERNADORES/Carta de Juan Guerra de Ayala, Gobernador de Honduras."	0	re haver puesto guardas al obpo de honduras /v covering fol in img 5 / ^^^	NOTE REVIEWED ON 29 JUL 2022		
GT 39 ram 14 no 94	c1	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348735	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348735	15 May 1611	1611-05-15.	"CARTAS DE GOBERNADORES/Carta de Juan Guerra de Ayala, Gobernador de Honduras."	0	re gob and obpo de honduras vs pres and aud guat re authority over puerto de amatique /v covering in img 2 / ^^^	NOTE REVIEWED ON 29 JUL 2022		
GT 39 ram 14 no 95	c2	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348736	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348736	21 May 1611	1611-05-21.	"CARTAS DE GOBERNADORES/Carta de Juan Guerra de Ayala, Gobernador de Honduras."	0	re conventos de frayles que ay en el distrito ie hon /v covering img 4 / ^^^	NOTE REVIEWED ON 29 JUL 2022		
GT 39 ram 14 no 96	c3	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348737	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348737	12 Nov 1611	1611-11-12.	"CARTAS DE GOBERNADORES/Carta de Juan Guerra de Ayala, Gobernador de Honduras."	0	"re daños recrecido a la provinçia y vecinos aber despoblado a puerto de caballos, re drawbacks of puerto de santo tomas de castilla, re puerto de fonseca, re noticias, etc /v ff 1-3 img 1-3 / ^^^"	NOTE REVIEWED ON 29 JUL 2022		
GT 39 ram 14 no 97	c4	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348738	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348738	14 Mar 1612	1612-03-14.	"CARTAS DE GOBERNADORES/Testimonio de autos sobre información secreta hecha de oficio a petición del Gobernador de Honduras, Juan Guerra de Ayala, sobre problemas con el obispo por motivos de jurisdicción."	^^^	re testimonio de autos sobre información secreta hecha de oficio a petición del gob sobre problemas con obpo por motivos de jurisdicción /v PARES cat / ^^^	NOTE REVIEWED ON 29 JUL 2022		
GT 43 no 104	c987	http://pares.mcu.es/ParesBusquedas20/catalogo/description/349315	http://pares.mcu.es/ParesBusquedas20/catalogo/description/349315	6 Apr 1614	1614-04-06.	"Cartas de cabildos seculares/Carta del cabildo secular de Valladolid de Comayagua, agradeciendo el nombramiento de D. Fray Alonso de Galdo, como obispo de Honduras e informando de la Visita que lleva a cabo en dicho Obispado"	^^^	^^^	NOTE REVIEWED ON 29 JUL 2022		
GT 39 ram 14 no 98	c5	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348739	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348739	22 May 1614	1614-05-22.	"CARTAS DE GOBERNADORES/Testimonio de lo que envía el fiscal de las condenaciones de Rodrigo Ponce, Gobernador de Honduras y Martin de Soto Pachón, su teniente."	^^^	re testimonio de lo que envía el fiscal de las condenaciones del gob y su teniente /v PARES cat / ^^^	NOTE REVIEWED ON 29 JUL 2022		
GT 39 ram 14 no 99	c6	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348740	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348740	22 May 1614	1614-05-22.	CARTAS DE GOBERNADORES/Testimonio de que el fiscal de la Audiencia de Guatemala pidió que un oidor fuese a la provincia de Honduras para tratar el asunto de los cuentos reales y otros aspectos.	^^^	re testimonio de que el fiscal de aud pidió un oidor fuese a hon para tratar el asunto de cuentas reales etc /v PARES cat / ^^^	NOTE REVIEWED ON 29 JUL 2022		
GT 39 ram 15 no 100	c7	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348741	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348741	3 Mar 1615	1615-03-03.	"CARTAS DE GOBERNADORES/Memorial de García Garabito de León y Mendoza, Gobernador de Honduras."	0	re memo de gob re personal household /v PARES cat /v f 1 img 1 / ^^^	NOTE REVIEWED ON 29 JUL 2022		
GT 39 ram 15 no 101	c8	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348742	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348742	15 Mar 1615	1615-03-15.	"CARTAS DE GOBERNADORES/Memorial de García Garabito de León y Mendoza, Gobernador de Honduras."	0	re memo de gob re personal household /v f 1 img 1 / ^^^	NOTE REVIEWED ON 29 JUL 2022		
