Table 1
	TITLE	DATE	LINK	LOC	NOTES	EXTRACT	
	Le miroir de la cruelle et horrible tyrannie espagnole perpétrée au Pays-Bas par le tyran duc de Albe et aultres commandeurs de par le roy Philippe le deuxième	1620	https://gallica.bnf.fr/ark:/12148/bpt6k117329c/f229.image.r=honduras	p 22	re Sp conquest or cruelty in Hond	"Les deux Capitains envojez au Royaumes riches. Avec çeste juste et droicte tiltre, envoya le grãd Capitain tyran 2 autres Capitaines plus cruels, meschant, mauvaix, et de moindre pitie que luy mesme, envers les grands et fleurissants Royaume, pleins de peuple, et habitées: à sçavoir a guatimala: sirve a la mer du Zur: et enders les autre: NACO, HONDURAS, et Guaymura: a la mer du Nort, vis à vis l'un de l'autre: en le Royaume de Mexico estoyt au milieu d'eux: separez l'un de l'autre trois cent lieux. Il envoya l'un par terre, l'autre par Mer: et avec luy gens à pied et à cheval. Ie dis la verite, si je vouloye mettre en escrit tout ce qu'ilz on perpetré, et principalement cest homme qui alloit vers Guatimala, [para continues]"	
	Le miroir de la cruelle et horrible tyrannie espagnole perpétrée au Pays-Bas par le tyran duc de Albe et aultres commandeurs de par le roy Philippe le deuxième	1620	https://gallica.bnf.fr/ark:/12148/bpt6k117329c/f230.item.r=honduras	p 23	ditto	"Ils tuent un Capitain general. [para begins] a la coustume: en telle maniere depuis l'an 1524. jusques au l'an 1535. ils ruinerent toutes les Provençes, et Royaumes Naco et Honduras, si beaux comme le Paradis mesme, en plaisirs, et abondance du peuple comme au Royaume du monde est à ceste heure: [para continues]"	
	"Le monde, ou la Description générale de ses quatre parties"	1637	https://gallica.bnf.fr/ark:/12148/bpt6k8726689j/f768.image.r=honduras%20hondur%20?rk=42918;4	v 2 p 92	re description of Hond		
	"Le Monde, ou La description générale de ses quatre parties"	1643	https://gallica.bnf.fr/ark:/12148/bpt6k5768550f/f191.image.r=honduras%20hondur%20?rk=64378;0	v 1 p 154	re description of waters of New Spain		
	Histoire generale des plantes	1653	https://gallica.bnf.fr/ark:/12148/bpt6k5408308s/f880.image.r=honduras%20hondur%20?rk=107296;4	v 1 p 757	re description of sarsaparilla		
	Histoire generale des voyages et conquestes des Castillans dans les isles & Terre-ferme des Indes occidentales	1660	https://gallica.bnf.fr/ark:/12148/bpt6k87272726/f624.image.r=honduras%20hondur%20?rk=128756;0	v 3 p 632	re conquest of Hond / vars other quotes in same volume re same topic		
	Relation de divers voyages curieux	1663	https://gallica.bnf.fr/ark:/12148/bpt6k116506w/f227.image.r=honduras%20hondur%20?rk=150215;2	pt 4 p 14	re description of Hond / vars other quotes in same volume re voyages or description		
	Le petit tout dans lequel l'homme aura la connoissance de soy-mesme par l'intelligence de ses propres causes	1664	https://gallica.bnf.fr/ark:/12148/bpt6k9609816p/f370.image.r=honduras%20hondur%20?rk=171674;4	pt 2 p 358	re description of sarsaparilla		
	"Le Monde, ou la Géographie universelle, contenant les descriptions, les cartes et le blason des principaux païs du monde"	1670	https://gallica.bnf.fr/ark:/12148/bpt6k87126520/f378.image.r=honduras%20hondur%20?rk=214593;2	p 364	re description of Hond / vars other quotes in same volume re description		
	Voyage de François Pyrard	1679	https://gallica.bnf.fr/ark:/12148/bpt6k87269247/f640.image.r=honduras%20hondur%20?rk=236052;4	p 82	re description or voyage to Hond		
	"Académie des sciences et des arts, contenant les vies, & les éloges historiques des hommes illustres, qui ont excellé en ces professions depuis environ quatre siècles parmy diverses nations de l'Europe"	1682	https://gallica.bnf.fr/ark:/12148/bpt6k96265450/f285.image.r=honduras%20hondur%20?rk=257512;0	v 2 p 271	re fourth Columbus voyage		
	"Description de l'univers, contenant les différents systèmes du monde, les cartes générales et particulières de la géographie ancienne et moderne, les plans et les profils des principales villes et des autres lieux plus considérables de la terre"	1683	https://gallica.bnf.fr/ark:/12148/bpt6k8702814q/f328.image.r=honduras%20hondur%20?rk=278971;2	v 5 p 306	re geographic publications on New Spain		
	"Le grand dictionnaire historique, ou Le mélange curieux de l'histoire sacrée et profane"	1683	https://gallica.bnf.fr/ark:/12148/bpt6k57127282/f500.image.r=honduras%20hondur%20?rk=300430;4	v 1 pt 2 p 1206	re descripton of New Spain / vars other quotes in same volume re description		
	Histoire métallique de la République de Hollande 	1687	https://gallica.bnf.fr/ark:/12148/bpt6k8727250m/f192.image.r=honduras%20hondur%20?rk=321890;0	p 158	re WIC focus on New Spain fleet		
	"La geographie ancienne, moderne et historique"	1689	https://gallica.bnf.fr/ark:/12148/bpt6k8727539m/f65.image.r=honduras%20hondur%20?rk=343349;2	v 1 p 45	re description of Hond		
	Relation du voyage d'Espagne	1691	https://gallica.bnf.fr/ark:/12148/bpt6k83296r/f119.image.r=honduras%20hondur%20?rk=364808;4	v 2 p 116	re description or voyage to Hond		
	"Histoire des aventuriers, flibustiers et boucaniers"	1699	https://gallica.bnf.fr/ark:/12148/bpt6k9799984k/f308.image.r=honduras%20hondur%20?rk=429186;4	^^^	trans of Exquemeling / vars matches		
